LAM_MK;SSV_Action;LU_Key;SSV_Action_LU;Opdrachtnummer;LAM MK
69197;DELETE;10928551;DELETE;;
5322785;DELETE;10928459;DELETE;;
71864;DELETE;10865274;DELETE;;
69198;DELETE;10865691;DELETE;;
70213;DELETE;10734601;DELETE;;
71863;DELETE;1169274;DELETE;;
2419240;DELETE;10928577;DELETE;;
4856285;DELETE;10865766;DELETE;;
69196;DELETE;10865506;DELETE;;
4847066;DELETE;1164329;DELETE;;
70295;DELETE;10865451;DELETE;;
NB-30001111dc5836;DELETE;1157206;DELETE;;
6150970;DELETE;10928629;DELETE;;
70301;DELETE;10731670;DELETE;;
655281;DELETE;10928513;DELETE;;
4856385;DELETE;10928560;DELETE;;
2449082;DELETE;10928581;DELETE;;
675835;DELETE;10928587;DELETE;;
4846253;DELETE;10865544;DELETE;;
1491100;DELETE;10865898;DELETE;;
675826;DELETE;10865528;DELETE;;
2427094;DELETE;1535242;DELETE;;
3937589;DELETE;10865369;DELETE;;
2426114;DELETE;10736735;DELETE;;
2419243;DELETE;1187897;DELETE;;
677182;DELETE;1183341;DELETE;;
677208;DELETE;1152527;DELETE;;
4846517;DELETE;10731671;DELETE;;
655412;DELETE;1538970;DELETE;;
2419244;DELETE;1152580;DELETE;;
70292;DELETE;1187698;DELETE;;
70214;DELETE;1153266;DELETE;;
71859;DELETE;1169869;DELETE;;
;;10865767;DELETE;;
;;1152546;DELETE;;
;;10928453;DELETE;;
;;10865905;DELETE;;
;;10865724;DELETE;;
;;10865779;DELETE;;
;;10928461;DELETE;;
;;1152117;DELETE;;
;;1173919;DELETE;;
;;10928567;DELETE;;
;;10928585;DELETE;;
;;1169861;DELETE;;
;;1152553;DELETE;;
;;10731645;DELETE;;
;;10865512;DELETE;;
;;1164202;DELETE;;
;;10928696;DELETE;;
;;1185327;DELETE;;
;;10928447;DELETE;;
;;10865509;DELETE;;
;;10928595;DELETE;;
;;10928611;DELETE;;
;;1160546;DELETE;;
;;10928549;DELETE;;
;;1176239;DELETE;;
;;1153264;DELETE;;
;;10928450;DELETE;;
;;1152528;DELETE;;
;;10865824;DELETE;;
;;1172620;DELETE;;
;;10928543;DELETE;;
;;10865794;DELETE;;
;;10731556;DELETE;;
;;10865659;DELETE;;
;;1170403;DELETE;;
;;10865768;DELETE;;
;;10865793;DELETE;;
;;10865809;DELETE;;
;;10865332;DELETE;;
;;1153070;DELETE;;
;;10865138;DELETE;;
;;10928588;DELETE;;
;;10804617;DELETE;;
;;10865831;DELETE;;
;;10731644;DELETE;;
;;10928469;DELETE;;
;;10865302;DELETE;;
;;10928741;DELETE;;
;;10865229;DELETE;;
;;1152561;DELETE;;
;;1157367;DELETE;;
;;1186520;DELETE;;
;;10928473;DELETE;;
;;1169871;DELETE;;
;;10729510;DELETE;;
;;10865422;DELETE;;
;;10928456;DELETE;;
;;10865198;DELETE;;
;;1164964;DELETE;;
;;10928465;DELETE;;
;;10865827;DELETE;;
;;10865134;DELETE;;
;;1183245;DELETE;;
;;10865446;DELETE;;
;;10928748;DELETE;;
;;10928475;DELETE;;
;;10865147;DELETE;;
;;10928574;DELETE;;
;;1152336;DELETE;;
;;10928612;DELETE;;
;;1152584;DELETE;;
;;1152559;DELETE;;
;;10865459;DELETE;;
;;1173992;DELETE;;
;;1164087;DELETE;;
;;10928671;DELETE;;
;;1173935;DELETE;;
;;1152513;DELETE;;
;;10928482;DELETE;;
;;10865641;DELETE;;
;;10736736;DELETE;;
;;1164287;DELETE;;
;;1152537;DELETE;;
;;10928565;DELETE;;
;;10865527;DELETE;;
;;10865830;DELETE;;
;;10928698;DELETE;;
;;1169759;DELETE;;
;;10928674;DELETE;;
;;10865841;DELETE;;
;;10737143;DELETE;;
;;10865670;DELETE;;
;;10928556;DELETE;;
;;10865207;DELETE;;
;;10928737;DELETE;;
;;1166498;DELETE;;
;;10928486;DELETE;;
;;10734950;DELETE;;
;;10865404;DELETE;;
;;10865559;DELETE;;
;;10928672;DELETE;;
;;10865162;DELETE;;
;;10733285;DELETE;;
;;10928695;DELETE;;
;;10865396;DELETE;;
;;10865518;DELETE;;
;;1157238;DELETE;;
;;1173032;DELETE;;
;;10865796;DELETE;;
;;10734677;DELETE;;
;;10928472;DELETE;;
;;10928573;DELETE;;
;;10804606;DELETE;;
;;10928572;DELETE;;
;;10865275;DELETE;;
;;10736745;DELETE;;
;;10928602;DELETE;;
;;10928756;DELETE;;
;;10865190;DELETE;;
;;10928584;DELETE;;
;;10928470;DELETE;;
;;1170953;DELETE;;
;;1168785;DELETE;;
;;10865738;DELETE;;
;;10928479;DELETE;;
;;10736746;DELETE;;
;;10865505;DELETE;;
;;10928467;DELETE;;
;;10865385;DELETE;;
;;10865510;DELETE;;
;;10865160;DELETE;;
;;10928462;DELETE;;
;;10865740;DELETE;;
;;10928514;DELETE;;
;;10865242;DELETE;;
;;1152532;DELETE;;
;;10865368;DELETE;;
;;10928610;DELETE;;
;;1157365;DELETE;;
;;1153282;DELETE;;
;;10865801;DELETE;;
;;10865243;DELETE;;
;;10865429;DELETE;;
;;10865301;DELETE;;
;;10733286;DELETE;;
;;1187418;DELETE;;
;;10865521;DELETE;;
;;10865669;DELETE;;
;;10928596;DELETE;;
;;10865545;DELETE;;
;;10865795;DELETE;;
;;1152556;DELETE;;
;;10865895;DELETE;;
;;1152563;DELETE;;
;;10804608;DELETE;;
;;10865145;DELETE;;
;;1152308;DELETE;;
;;10865802;DELETE;;
;;10865778;DELETE;;
;;1180757;DELETE;;
;;10736967;DELETE;;
;;10928481;DELETE;;
;;10865698;DELETE;;
;;10731666;DELETE;;
;;10928505;DELETE;;
;;10865232;DELETE;;
;;10928474;DELETE;;
;;1169862;DELETE;;
;;10736202;DELETE;;
;;10928512;DELETE;;
;;10865306;DELETE;;
;;10928458;DELETE;;
;;10804609;DELETE;;
;;4856341--61;DELETE;;
;;1153234;DELETE;;
;;10928511;DELETE;;
;;1183322;DELETE;;
;;10804621;DELETE;;
;;1152217;DELETE;;
;;10928449;DELETE;;
;;1164169;DELETE;;
;;10867001;DELETE;;
