LAM_MK;SSV_Action;LU_Key;SSV_Action_LU
NB-35004155917;;10730999;DELETE
4272953;DELETE;10730840;DELETE
707201;DELETE;10940578;DELETE
2436868;DELETE;10730603;DELETE
NB-35001272911;;10730838;DELETE
4897438;DELETE;10730605;DELETE
6518689;DELETE;10730607;DELETE
1458269;DELETE;10940529;DELETE
;;10940525;DELETE
;;10940840;DELETE
;;10940540;DELETE
;;10940518;DELETE
;;10940833;DELETE
;;10734411;DELETE
;;10733291;DELETE
;;10940503;DELETE
;;10730604;DELETE
;;10733088;DELETE
;;10734745;DELETE
;;1161462;DELETE
;;10940530;DELETE
;;10940834;DELETE
;;10940602;DELETE
;;10940815;DELETE
;;10940492;DELETE
;;10940513;DELETE
;;10940641;DELETE
;;10940516;DELETE
;;10940786;DELETE
;;10940682;DELETE
;;10940811;DELETE
;;10940784;DELETE
;;10940517;DELETE
;;10940690;DELETE
;;10734864;DELETE
;;10940724;DELETE
;;10940819;DELETE
;;10940813;DELETE
;;10940429;DELETE
;;10940497;DELETE
;;10730610;DELETE
;;10734807;DELETE
;;10940820;DELETE
;;10940510;DELETE
;;10940789;DELETE
;;10734812;DELETE
;;10940781;DELETE
;;10940810;DELETE
;;1180802;DELETE
;;10940770;DELETE
;;10940524;DELETE
;;10940579;DELETE
;;10940522;DELETE
;;10940759;DELETE
;;10940431;DELETE
;;10730990;DELETE
;;10940527;DELETE
;;10940803;DELETE
;;10940688;DELETE
;;10940532;DELETE
;;1152577;DELETE
;;10940821;DELETE
;;10940577;DELETE
;;10940693;DELETE
;;10940782;DELETE
;;10940581;DELETE
;;10940507;DELETE
;;10940778;DELETE
;;10940501;DELETE
;;10736558;DELETE
;;10940491;DELETE
;;11068348;DELETE
;;10940779;DELETE
;;10940535;DELETE
;;1169828;DELETE
;;10940625;DELETE
;;10940495;DELETE
;;10940539;DELETE
;;10940428;DELETE
;;10940766;DELETE
;;10940506;DELETE
;;10940521;DELETE
;;10940736;DELETE
;;10940512;DELETE
;;10940430;DELETE
;;10940728;DELETE
;;11068347;DELETE
;;10940439;DELETE
;;1156435;DELETE
;;10734817;DELETE
;;10940836;DELETE
;;10940767;DELETE
;;10940659;DELETE
;;10940769;DELETE
;;10940515;DELETE
;;10940745;DELETE
;;10940765;DELETE
;;10940645;DELETE
;;1152880;DELETE
;;10730987;DELETE
;;10940672;DELETE
;;1163130;DELETE
;;10940822;DELETE
;;10940698;DELETE
;;10940528;DELETE
;;10730841;DELETE
;;10940536;DELETE
;;10940626;DELETE
;;10940679;DELETE
;;10940509;DELETE
;;10730839;DELETE
;;10940839;DELETE
;;10940816;DELETE
;;10940624;DELETE
;;10940590;DELETE
;;11067082;DELETE
;;10940726;DELETE
;;10940598;DELETE
;;10940533;DELETE
;;10940514;DELETE
;;10940490;DELETE
;;10940576;DELETE
;;10734738;DELETE
;;NB-35009B6c69---1;DELETE
;;10940634;DELETE
;;1163127;DELETE
;;10940640;DELETE
;;10940684;DELETE
;;1158257;DELETE
;;10940801;DELETE
;;10730606;DELETE
;;10940531;DELETE
;;10940670;DELETE
;;10940563;DELETE
;;1181835;DELETE
;;10940686;DELETE
;;10940814;DELETE
;;10940787;DELETE
;;10940798;DELETE
;;10734862;DELETE
;;10940427;DELETE
;;10940508;DELETE
;;10940504;DELETE
;;10940520;DELETE
;;10940496;DELETE
;;10940678;DELETE
;;10940760;DELETE
;;10940601;DELETE
;;10940818;DELETE
;;10733293;DELETE
;;10940780;DELETE
;;10940660;DELETE
;;10940541;DELETE
;;10940635;DELETE
;;10940493;DELETE
;;10940788;DELETE
;;10940783;DELETE
;;10940817;DELETE
;;10940526;DELETE
;;10734412;DELETE
;;10940505;DELETE
;;1163129;DELETE
;;1184249;DELETE
;;10940534;DELETE
;;10733631;DELETE
;;10940725;DELETE
;;10940500;DELETE
;;10940636;DELETE
;;10940511;DELETE
;;10940680;DELETE
;;10940600;DELETE
;;10940498;DELETE
;;10940654;DELETE
;;10940494;DELETE
;;11013492;DELETE
;;NB-35009B6c69---0;DELETE
;;10940575;DELETE
;;10735705;DELETE
;;1163128;DELETE
;;NB-35005e60790---0;DELETE
;;10940537;DELETE
;;10730602;DELETE
;;10940523;DELETE
;;10940499;DELETE
;;10940735;DELETE
;;10733292;DELETE
;;10940502;DELETE
;;10940785;DELETE
;;11068349;DELETE
;;10940538;DELETE
;;10940802;DELETE
;;11165820;DELETE
;;1176707;DELETE
;;10730837;DELETE
;;10940569;DELETE
;;10940812;DELETE
;;10940519;DELETE
;;10940653;DELETE
;;1189662;DELETE
