Zoning_FID;Area;Zoning_ID;Lamkey_FINAL;Lu_Key;E;Area;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;VCA_Status;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;B1_FINAL;B2_FINAL
8105287;W03-C-Antwerpen-West-FH01;19074;1786953;11320460;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200712;20200801
8105287;W03-C-Antwerpen-West-FH01;19074;1786953;11320461;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200712;20200801
8105287;W03-C-Antwerpen-West-FH01;19074;1786953;11320462;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200712;20200801
8105287;W03-C-Antwerpen-West-FH01;19074;1786953;11320463;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200712;20200801
8105287;W03-C-Antwerpen-West-FH01;19074;1786953;11320464;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200712;20200801
8105287;W03-C-Antwerpen-West-FH01;19074;1786953;1785648;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200712;20200801
8105287;W03-C-Antwerpen-West-FH01;19074;1786953;1785649;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200712;20200801
8105287;W03-C-Antwerpen-West-FH01;19074;4506389;11076496;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200712;20200801
8105287;W03-C-Antwerpen-West-FH01;19074;1089007;10364963;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200525;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;108939;11076329;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200525;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;108948;11077012;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200525;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;1892443;11077036;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200602;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;1905643;1809169;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200309;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;1949013;11076971;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200525;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;1960564;1824535;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200525;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;1960572;1655320;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200525;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;1960880;1824536;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200602;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;1960882;1640491;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200602;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;4505462;1751989;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200602;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;5492426;11076972;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20200525;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;1015486;11076664;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;;;;;;;;;;;;;;;;;;20200801;20210201
8105287;W03-C-Antwerpen-West-FH01;19074;108065;11077554;;W03-C-Antwerpen-West-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OK;;;;;;;;;;;;;;;;;;;;;20200429;20201031
