Zoning_FID;Area;Zoning_ID;Lamkey;Lu_Key;E;Area;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;B1;B2_new
5623248;W02-D-Leuven-FH01;15481;3030193;10984481;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984482;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984483;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984484;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984485;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984486;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984487;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984488;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984489;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984490;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984491;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984492;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984493;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;10984494;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;1894854;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3030193;1894855;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3923585;10984316;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3923585;10984317;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3923585;10984318;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3923585;10984319;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3923585;1899804;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;3923585;1899805;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;5307145;1884839;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;5467738;1930377;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;5504940;10524492;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;5504941;10524493;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;5541203;10524494;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;5547314;10966453;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;5602518;10524363;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;5705604;10524447;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;5906630;10524085;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20200706
5623248;W02-D-Leuven-FH01;15481;1186739;10900668;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1186739;10900669;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1186739;10900670;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1186739;10900671;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1186739;10900672;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1186739;10900673;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1186739;10900674;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1186739;10900675;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1186739;1881723;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1186845;11191056;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1269672;1884233;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1269672;1884235;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1269672;1884237;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1269672;1884240;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1269672;1884241;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1269672;1884244;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1269672;1884250;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
5623248;W02-D-Leuven-FH01;15481;1269672;1884252;;W02-D-Leuven-FH01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20190603;20210106
