Lamkey;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;Quadrant_PR;BG_Name;VCA_Status;VCA
4362419;Westlaan;84;;;;;;OK
4367018;Meensesteenweg;154;;;;;;OK
4367590;Ooststraat;34;;;;;;OK
4368467;Rumbeeksesteenweg;4;;D - Facade Box;D;Rumbeeksesteenweg 4-4a;;OK
4368514;Zuidstraat;48;;;;;;OK
4368533;Rijselstraat;24;;D - Facade Box;D;;;OK
4368536;Rijselstraat;36;;D - Facade Box;D;Rijselstraat 36_Meensesteenweg 75;;OK
4373017;Rumbeeksesteenweg;69;;D - Facade Box;D;;;OK
4373019;Rumbeeksesteenweg;73;;D - Facade Box;D;;;OK
532987;Veldstraat;84;;D - Facade Box;D;Veldstraat 84-86-88;;OK
534951;Rumbeeksesteenweg;70;;C - Precabled ONTP;D;;;OK
5398689;Delaerestraat;33;;;;;;OK
5453178;Delaerestraat;11;A;D - Facade Box;D;Delaerestraat 11-11A;;OK
5580417;Botermarkt;20;;D - Facade Box;D;;;OK
5580531;Veldstraat;88;;D - Facade Box;D;Veldstraat 84-86-88;;OK
5580533;Vijfwegenstraat;6;;D - Facade Box;D;;;OK
5909571;Bollenstraat;21;A;;;;;OK
723968;Sint-Alfonsusstraat;4;;D - Facade Box;D;;;OK
724000;Delaerestraat;2;;D - Facade Box;D;;;OK
724001;Delaerestraat;31;;;;;;OK
861981;Koning Albert I-laan;88;;D - Facade Box;D;;;OK
866579;Rode-Kruisstraat;13;;D - Facade Box;D;;;OK
876482;Vijfwegenstraat;3;;;;;;OK
876526;Rumbeeksesteenweg;26;;D - Facade Box;D;Rumbeeksesteenweg 24a-26;;OK
876527;Rumbeeksesteenweg;24;;D - Facade Box;D;;;OK
876535;Bollenstraat;42;;D - Facade Box;D;;;OK
876543;Meensesteenweg;34;;D - Facade Box;D;;;OK
876546;Veldstraat;5;;D - Facade Box;D;;;OK
876548;Zuidstraat;40;;D - Facade Box;D;Iepersestraat 1_Zuidstraat 40;;OK
876549;Zuidstraat;43;;D - Facade Box;D;;;OK
876555;Hof van t Henneken;26;;D - Facade Box;D;Hof van t Henneken 24-26;;OK
876562;Hof van t Henneken;1;;;;;;OK
876593;Delaerestraat;11;;D - Facade Box;D;Delaerestraat 11-11A;;OK
876595;Poststraat;25;;;;;;OK
876602;Sint-Alfonsusstraat;37;;;;;;OK
876604;Sint-Alfonsusstraat;50;;D - Facade Box;D;;;OK
876612;Ooststraat;86;;;;;;OK
877074;Meensesteenweg;105;;D - Facade Box;D;;;OK
877076;Meensesteenweg;195;;;;;;OK
877089;Meensesteenweg;173;;D - Facade Box;D;;;OK
877090;Meensesteenweg;113;;;;;;OK
877096;Hof van t Henneken;99;;D - Facade Box;D;;;OK
877098;Hof van t Henneken;88;;D - Facade Box;D;;;OK
