Lamkey;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;Quadrant_PR;BG_Name;VCA_Status;VCA
1016761;Martelarenplein;7;;D - Facade Box;D;;;OK
1016762;Bondgenotenlaan;148;;D - Facade Box;D;;;OK
1083162;Diestsestraat;182;;D - Facade Box;D;;;OK
1083163;Diestsestraat;176;;D - Facade Box;D;;;OK
1083164;Diestsestraat;160;;D - Facade Box;D;;;OK
1083166;Lepelstraat;1;;;;;;OK
1083167;Lepelstraat;22;A;D - Facade Box;D;;;OK
1097865;Diestsestraat;76;;D - Facade Box;D;;;OK
1097868;Diestsestraat;87;;D - Facade Box;D;;;OK
1097875;Vital Decosterstraat;16;;D - Facade Box;D;;;OK
1097876;Vital Decosterstraat;22;;D - Facade Box;D;;;OK
1097877;Vital Decosterstraat;24;;D - Facade Box;D;;;OK
1100179;Diestsestraat;145;;D - Facade Box;D;;;OK
1100182;Jean-Baptiste Van Monsstraat;109;;D - Facade Box;D;;;OK
1150466;Ravenstraat;77;;;;;;OK
1168982;Maria-Theresiastraat;117;;D - Facade Box;D;;;OK
1186733;Koning Leopold I-straat;17;;D - Facade Box;D;;;OK
1186735;Koning Leopold I-straat;10;;D - Facade Box;D;;;OK
1186823;Vital Decosterstraat;8;;D - Facade Box;D;;;OK
1186824;Vital Decosterstraat;2;;D - Facade Box;D;;;OK
1186827;Vital Decosterstraat;10;;;;;;OK
1186990;Monseigneur Ladeuzeplein;9;;D - Facade Box;D;;;OK
1186991;Bondgenotenlaan;42;;D - Facade Box;D;;;OK
1190290;Bondgenotenlaan;54;;;;;;OK
1190291;Bondgenotenlaan;49;;D - Facade Box;D;;;OK
1321509;Diestsestraat;114;;D - Facade Box;D;;;OK
1349620;Bondgenotenlaan;52;;D - Facade Box;D;;;OK
1453426;Jean-Baptiste Van Monsstraat;26;;D - Facade Box;D;;;OK
1455342;Vanden Tymplestraat;65;;D - Facade Box;D;;;OK
1499850;Vital Decosterstraat;12;;D - Facade Box;D;;;OK
1504807;Diestsestraat;133;;D - Facade Box;D;;;OK
1521168;Vanden Tymplestraat;4;;D - Facade Box;D;;;OK
1521170;Vanden Tymplestraat;15;;D - Facade Box;D;;;OK
1521173;Diestsestraat;215;;D - Facade Box;D;;;OK
172651;Diestsevest;88;;D - Facade Box;D;;;OK
172652;Diestsevest;74;;D - Facade Box;D;;;OK
172653;Diestsevest;72;;D - Facade Box;D;;;OK
172655;Diestsevest;60;;D - Facade Box;D;;;OK
172662;Diestsevest;96;;D - Facade Box;;;;OK
172790;Jean-Baptiste Van Monsstraat;125;;D - Facade Box;D;;;OK
172795;Diestsevest;89;;;;;;OK
172801;Diestsevest;107;;D - Facade Box;D;;;OK
173023;Vanden Tymplestraat;42;;D - Facade Box;D;;;OK
173044;Vanden Tymplestraat;41;;D - Facade Box;D;;;OK
173045;Vanden Tymplestraat;45;;D - Facade Box;D;;;OK
173047;Vanden Tymplestraat;100;;D - Facade Box;D;;;OK
173153;Jean-Baptiste Van Monsstraat;2;;D - Facade Box;D;;;OK
173160;Jean-Baptiste Van Monsstraat;55;;;;;;OK
173161;Jean-Baptiste Van Monsstraat;71;;D - Facade Box;D;;;OK
173162;Jean-Baptiste Van Monsstraat;24;;D - Facade Box;D;;;OK
173178;Weidestraat;2;;D - Facade Box;D;;;OK
173270;Jan-Pieter Minckelersstraat;128;;D - Facade Box;D;;;OK
173272;Jan-Pieter Minckelersstraat;94;;D - Facade Box;D;;;OK
173897;Sint-Maartenstraat;53;;D - Facade Box;D;;;OK
182280;Vital Decosterstraat;72;;D - Facade Box;D;;;OK
182281;Vital Decosterstraat;70;;D - Facade Box;D;;;OK
182287;Vital Decosterstraat;28;;;;;;OK
184139;Diestsestraat;252;;;;;;OK
184143;Martelarenplein;15;;D - Facade Box;D;;;OK
184144;Martelarenplein;13;;D - Facade Box;D;;;OK
184145;Tiensevest;2;;;;;;OK
184146;Tiensevest;22;;D - Facade Box;D;;;OK
184149;Diestsevest;23;;D - Facade Box;D;;;OK
235704;Ravenstraat;86;;D - Facade Box;D;;;OK
235711;Mussenstraat;14;;;;;;OK
235714;Mussenstraat;18;;D - Facade Box;D;;;OK
235955;Bogaardenstraat;29;;D - Facade Box;D;Bogaardenstraat 29-31;;OK
254302;Professor Roger Van Overstraetenplein;1;;;;;;OK
263429;Rijschoolstraat;45;;D - Facade Box;D;;;OK
3010616;Bogaardenstraat;12;;D - Facade Box;D;;;OK
3010624;Bogaardenstraat;24;;D - Facade Box;D;;;OK
3010663;Bogaardenstraat;57;;D - Facade Box;D;;;OK
3010674;Bogaardenstraat;65;;D - Facade Box;D;;;OK
3010677;Bogaardenstraat;67;;D - Facade Box;D;;;OK
3010692;Bogaardenstraat;75;;;;;;OK
3010779;Bondgenotenlaan;37;;;;;;OK
3010782;Bondgenotenlaan;43;;;;;;OK
3010783;Bondgenotenlaan;44;;D - Facade Box;D;;;OK
3010786;Bondgenotenlaan;46;;;;;;OK
3010789;Bondgenotenlaan;50;;D - Facade Box;D;;;OK
3010791;Bondgenotenlaan;53;;D - Facade Box;D;Bondgenotenlaan 51-53;;OK
3010807;Bondgenotenlaan;70;;;;;;OK
3010810;Bondgenotenlaan;76;;D - Facade Box;D;;;PENDING
