Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
KNOKKE-HEIST - FH10;Anemonenlaan;11;;8300;Knokke-Heist;72575;226275;NB-83001101403;NB-83001101403;BUILDING template
KNOKKE-HEIST - FH10;Arcadelaan;2;;8300;Knokke-Heist;73401;226366;NB-8300201404;NB-8300201404;BUILDING template
KNOKKE-HEIST - FH10;Bocheldreef;3;;8300;Knokke-Heist;73023;226542;NB-8300301405;NB-8300301405;BUILDING template
KNOKKE-HEIST - FH10;Bocheldreef;11;;8300;Knokke-Heist;72974;226520;NB-83001101406;NB-83001101406;BUILDING template
KNOKKE-HEIST - FH10;Brieshelling;7;;8300;Knokke-Heist;72759;226685;NB-8300701407;NB-8300701407;BUILDING template
KNOKKE-HEIST - FH10;Duinbergenlaan;59;;8300;Knokke-Heist;72853;226276;NB-83005901408;NB-83005901408;BUILDING template
KNOKKE-HEIST - FH10;Duinbergenlaan;87;;8300;Knokke-Heist;72761;226514;NB-83008701409;NB-83008701409;BUILDING template
KNOKKE-HEIST - FH10;Duinbergenlaan;105;;8300;Knokke-Heist;72652;226601;NB-830010501410;NB-830010501410;BUILDING template
KNOKKE-HEIST - FH10;Duinbergenlaan;113;;8300;Knokke-Heist;72641;226629;NB-830011301411;NB-830011301411;BUILDING template
KNOKKE-HEIST - FH10;Duinbergenlaan;115;;8300;Knokke-Heist;72636;226635;NB-830011501412;NB-830011501412;BUILDING template
KNOKKE-HEIST - FH10;Duinendreef;26;;8300;Knokke-Heist;72755;226413;NB-83002601413;NB-83002601413;BUILDING template
KNOKKE-HEIST - FH10;Duinendreef;39;;8300;Knokke-Heist;72915;226447;NB-83003901414;NB-83003901414;BUILDING template
KNOKKE-HEIST - FH10;Duinendreef;43;;8300;Knokke-Heist;72920;226450;NB-83004301415;NB-83004301415;BUILDING template
KNOKKE-HEIST - FH10;Duinendreef;46;;8300;Knokke-Heist;72881;226409;NB-83004601416;NB-83004601416;BUILDING template
