LAM MK;xPos;yPos
NB-830132c7095;72953;226403
NB-83016Ab019;72904;226362
NB-83012A1e72;73035;226553
NB-83013c63283;72921;226495
NB-830024901419;73204;226506
NB-830032093080;72512;226621
NB-83008A01453;72786;226325
NB-830039397759;72792;226734
NB-8300290673;73299;226727
NB-83001009934;73297;226663
NB-830032488918;72533;226630
