Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
EVERE - FH03;August De Boeckstraat - Rue Auguste De Boeck;68;B;1140;Evere;152253;173035;NB-114068B89847;NB-114068B89847;BUILDING template
EVERE - FH03;Friulilaan - Avenue du Frioul;40;;1140;Evere;152758;152758;NB-11404002993;NB-11404002993;BUILDING template
EVERE - FH03;Haachtsesteenweg - Chaussee de Haecht;1058;;1140;Evere;152320;173743;NB-11401058e16540;NB-11401058e16540;BUILDING template
EVERE - FH03;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;1;;1140;Evere;152242;173182;NB-11401cdff74;NB-11401cdff74;BUILDING template
EVERE - FH03;Lindestraat - Rue du Tilleul;339;;1140;Evere;151926;173156;NB-11403392ac579;NB-11403392ac579;BUILDING template
EVERE - FH03;Louis Pierardlaan - Avenue Louis Pierard;34;;1140;Evere;152623;173733;NB-114034415e23;NB-114034415e23;BUILDING template
EVERE - FH03;Louis Pierardlaan - Avenue Louis Pierard;32;;1140;Evere;152620;173719;NB-114032206204;NB-114032206204;BUILDING template
EVERE - FH03;Optimismelaan;99;;1140;Evere;152711;172491;NB-11409971370;NB-11409971370;BUILDING template
EVERE - FH03;Pater Damiaanstraat - Rue Pere Damien;45;;1140;Evere;152297;173289;NB-114045ec3564;NB-114045ec3564;BUILDING template
EVERE - FH03;Pater Damiaanstraat - Rue Pere Damien;76;;1140;Evere;152236;173226;NB-1140762ce306;NB-1140762ce306;BUILDING template
EVERE - FH03;S. Hoedemaekerssquare - Square Servaas Hoedemaekers;9;B;1140;Evere;152431;173557;NB-11409Bf514;NB-11409Bf514;BUILDING template
EVERE - FH03;S. Hoedemaekerssquare - Square Servaas Hoedemaekers;9;C;1140;Evere;152434;173563;NB-11409C4878;NB-11409C4878;BUILDING template
