Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
HASSELT - FH08;Monseigneur Kerkhofsstraat;7;;3500;Hasselt;217473;180226;NB-3500700881;NB-3500700881;BUILDING template
HASSELT - FH08;Sint-Servaasstraat;94;;3500;Hasselt;216 545;180647;NB-35009408d940;NB-35009408d940;BUILDING template
HASSELT - FH08;Monseigneur Schruerslaan;1;;3500;Hasselt;216715;180541;NB-3500100905;NB-3500100905;BUILDING template
HASSELT - FH08;Sint-Servaasstraat;96;;3500;Hasselt;216 550;180657;NB-350096ac9279;NB-350096ac9279;BUILDING template
HASSELT - FH08;Spoorwegstraat;159;;3500;Hasselt;216 673;180587;NB-3500159ac6982;NB-3500159ac6982;BUILDING template
HASSELT - FH08;Acaciastraat;57;;3500;Hasselt;217171;180133;NB-35005700746;NB-35005700746;BUILDING template
HASSELT - FH08;Bertold-Brechtstraat;1;;3500;Hasselt;216721;180353;NB-3500100748;NB-3500100748;BUILDING template
HASSELT - FH08;Djef Antenstraat;6;;3500;Hasselt;217031;180049;NB-3500600749;NB-3500600749;BUILDING template
HASSELT - FH08;Djef Antenstraat;8;;3500;Hasselt;217025;180052;NB-3500800750;NB-3500800750;BUILDING template
HASSELT - FH08;Djef Antenstraat;40;;3500;Hasselt;216904;180118;NB-35004000751;NB-35004000751;BUILDING template
HASSELT - FH08;Djef Swennenstraat;3;;3500;Hasselt;216907;180091;NB-3500300752;NB-3500300752;BUILDING template
HASSELT - FH08;Ertbeekstraat;76;;3500;Hasselt;217338;180147;NB-35007600753;NB-35007600753;BUILDING template
HASSELT - FH08;Kapellekensbampdstraat;5;;3500;Hasselt;216779;180228;NB-3500500755;NB-3500500755;BUILDING template
HASSELT - FH08;Monseigneur Kerkhofsstraat;1;;3500;Hasselt;217488;180212;NB-3500100758;NB-3500100758;BUILDING template
HASSELT - FH08;Monseigneur Kerkhofsstraat;3;;3500;Hasselt;217484;180217;NB-3500300759;NB-3500300759;BUILDING template
HASSELT - FH08;Monseigneur Kerkhofsstraat;9;;3500;Hasselt;217468;180229;NB-3500900760;NB-3500900760;BUILDING template
HASSELT - FH08;Runkstersteenweg;181;;3500;Hasselt;217149;179902;NB-350018100761;NB-350018100761;BUILDING template
HASSELT - FH08;Spoorwegstraat;45;;3500;Hasselt;217534;180375;NB-35004500797;NB-35004500797;BUILDING template
HASSELT - FH08;Ertbeekstraat;87;;3500;Hasselt;217340;180259;NB-35008700819;NB-35008700819;BUILDING template
HASSELT - FH08;Hendrik van Veldekesingel;11;;3500;Hasselt;216 472;180445;NB-3500111fca25;NB-3500111fca25;BUILDING template
HASSELT - FH08;Spoorwegstraat;180;;3500;Hasselt;215 953;180937;NB-350018006ba85;NB-350018006ba85;BUILDING template
HASSELT - FH08;Kapellekensbampdstraat;5;;3500;Hasselt;216 775;180229;NB-3500581e987;NB-3500581e987;BUILDING template
HASSELT - FH08;Ertbeekstraat;55;;3500;Hasselt;217 333;180260;NB-350055732c52;NB-350055732c52;BUILDING template
HASSELT - FH08;Sint-Servaasstraat;11;;3500;Hasselt;216 573;180359;NB-3500111bd607;NB-3500111bd607;BUILDING template
