Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Adres;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
KNOKKE-HEIST - FH12;Krommedijk;1;A;Krommedijk1A;8300;Knokke-Heist;72237;225528;NB-83001A88150;NB-83001A88150;BUILDING template
KNOKKE-HEIST - FH12;Krommedijk;45;;Krommedijk45;8300;Knokke-Heist;72570;225641;NB-83004560551;NB-83004560551;BUILDING template
KNOKKE-HEIST - FH12;Krommedijk;62;;Krommedijk62;8300;Knokke-Heist;72424;225988;NB-83006230619;NB-83006230619;BUILDING template
KNOKKE-HEIST - FH12;Krommedijk;70;A;Krommedijk70A;8300;Knokke-Heist;72416;226031;NB-830070A73657;NB-830070A73657;BUILDING template
KNOKKE-HEIST - FH12;Krommedijk;75;;Krommedijk75;8300;Knokke-Heist;72441;226035;NB-83007588205;NB-83007588205;BUILDING template
KNOKKE-HEIST - FH12;Krommedijk;77;;Krommedijk77;8300;Knokke-Heist;72442;226049;NB-83007798531;NB-83007798531;BUILDING template
KNOKKE-HEIST - FH12;Laurierstraat;24;;Laurierstraat24;8300;Knokke-Heist;72377;225431;NB-83002438791;NB-83002438791;BUILDING template
KNOKKE-HEIST - FH12;Laurierstraat;26;;Laurierstraat26;8300;Knokke-Heist;72395;225438;NB-83002637074;NB-83002637074;BUILDING template
KNOKKE-HEIST - FH12;Laurierstraat;28;;Laurierstraat28;8300;Knokke-Heist;72416;225444;NB-83002815711;NB-83002815711;BUILDING template
KNOKKE-HEIST - FH12;Logenhoek;26;;Logenhoek26;8300;Knokke-Heist;72661;225979;NB-83002655777;NB-83002655777;BUILDING template
KNOKKE-HEIST - FH12;Paasleliehof;2;;Paasleliehof2;8300;Knokke-Heist;72464;225994;NB-8300252550;NB-8300252550;BUILDING template
KNOKKE-HEIST - FH12;Paasleliehof;4;;Paasleliehof4;8300;Knokke-Heist;72480;225998;NB-8300452340;NB-8300452340;BUILDING template
KNOKKE-HEIST - FH12;Paasleliehof;8;;Paasleliehof8;8300;Knokke-Heist;72472;226029;NB-8300833672;NB-8300833672;BUILDING template
KNOKKE-HEIST - FH12;Paasleliehof;9;;Paasleliehof9;8300;Knokke-Heist;72458;226024;NB-8300922519;NB-8300922519;BUILDING template
KNOKKE-HEIST - FH12;Paasleliehof;10;;Paasleliehof10;8300;Knokke-Heist;72445;226014;NB-83001000958;NB-83001000958;BUILDING template
KNOKKE-HEIST - FH12;Pannenstraat;154;;Pannenstraat154;8300;Knokke-Heist;71781;225893;NB-830015415735;NB-830015415735;BUILDING template
KNOKKE-HEIST - FH12;Pannenstraat;177;;Pannenstraat177;8300;Knokke-Heist;71893;225866;NB-830017713979;NB-830017713979;BUILDING template
KNOKKE-HEIST - FH12;Pannenstraat;198;;Pannenstraat198;8300;Knokke-Heist;71905;225842;NB-830019898099;NB-830019898099;BUILDING template
KNOKKE-HEIST - FH12;Pannenstraat;212;A;Pannenstraat212A;8300;Knokke-Heist;71931;225789;NB-8300212A30308;NB-8300212A30308;BUILDING template
KNOKKE-HEIST - FH12;Pannenstraat;218;;Pannenstraat218;8300;Knokke-Heist;71976;225817;NB-830021894865;NB-830021894865;BUILDING template
KNOKKE-HEIST - FH12;Pannenstraat;220;;Pannenstraat220;8300;Knokke-Heist;71989;225821;NB-830022081822;NB-830022081822;BUILDING template
KNOKKE-HEIST - FH12;Pannenstraat;236;;Pannenstraat236;8300;Knokke-Heist;72046;225857;NB-830023609524;NB-830023609524;BUILDING template
KNOKKE-HEIST - FH12;Pannenstraat;298;;Pannenstraat298;8300;Knokke-Heist;72390;226049;NB-830029853023;NB-830029853023;BUILDING template
KNOKKE-HEIST - FH12;Peter Benoitlaan;4;;Peter Benoitlaan4;8300;Knokke-Heist;72001;225985;NB-8300455486;NB-8300455486;BUILDING template
KNOKKE-HEIST - FH12;Peter Benoitlaan;22;;Peter Benoitlaan22;8300;Knokke-Heist;71988;225937;NB-83002208297;NB-83002208297;BUILDING template
KNOKKE-HEIST - FH12;Peter Benoitlaan;41;C;Peter Benoitlaan41C;8300;Knokke-Heist;72021;225932;NB-830041C34773;NB-830041C34773;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;9;;Walstraat9;8300;Knokke-Heist;72041;225662;NB-8300927577;NB-8300927577;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;15;;Walstraat15;8300;Knokke-Heist;72030;225689;NB-83001598946;NB-83001598946;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;17;;Walstraat17;8300;Knokke-Heist;72025;225694;NB-83001752595;NB-83001752595;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;28;;Walstraat28;8300;Knokke-Heist;71965;225630;NB-83002864075;NB-83002864075;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;29;;Walstraat29;8300;Knokke-Heist;71966;225659;NB-83002901567;NB-83002901567;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;30;;Walstraat30;8300;Knokke-Heist;71956;225630;NB-83003096687;NB-83003096687;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;31;;Walstraat31;8300;Knokke-Heist;71960;225659;NB-83003194068;NB-83003194068;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;32;;Walstraat32;8300;Knokke-Heist;71947;225631;NB-83003262696;NB-83003262696;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;33;;Walstraat33;8300;Knokke-Heist;71952;225660;NB-83003303854;NB-83003303854;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;34;;Walstraat34;8300;Knokke-Heist;71940;225632;NB-83003492578;NB-83003492578;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;35;;Walstraat35;8300;Knokke-Heist;71946;225660;NB-83003518990;NB-83003518990;BUILDING template
KNOKKE-HEIST - FH12;Walstraat;37;;Walstraat37;8300;Knokke-Heist;71939;225659;NB-83003716564;NB-83003716564;BUILDING template
KNOKKE-HEIST - FH12;Weibroekstraat;17;;Weibroekstraat17;8300;Knokke-Heist;72072;225695;NB-83001744535;NB-83001744535;BUILDING template
KNOKKE-HEIST - FH12;Weibroekstraat;19;;Weibroekstraat19;8300;Knokke-Heist;72063;225708;NB-83001969031;NB-83001969031;BUILDING template
KNOKKE-HEIST - FH12;Weibroekstraat;28;;Weibroekstraat28;8300;Knokke-Heist;72101;225716;NB-83002800454;NB-83002800454;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;123;;Westkapellestraat123;8300;Knokke-Heist;71863;225611;NB-830012353464;NB-830012353464;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;134;;Westkapellestraat134;8300;Knokke-Heist;71824;225601;NB-830013463511;NB-830013463511;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;139;;Westkapellestraat139;8300;Knokke-Heist;71915;225585;NB-830013903242;NB-830013903242;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;141;;Westkapellestraat141;8300;Knokke-Heist;71922;225583;NB-830014104337;NB-830014104337;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;143;;Westkapellestraat143;8300;Knokke-Heist;71928;225581;NB-830014317767;NB-830014317767;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;145;;Westkapellestraat145;8300;Knokke-Heist;71933;225578;NB-830014574502;NB-830014574502;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;147;;Westkapellestraat147;8300;Knokke-Heist;71939;225575;NB-830014761153;NB-830014761153;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;159;;Westkapellestraat159;8300;Knokke-Heist;71980;225563;NB-830015910158;NB-830015910158;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;161;;Westkapellestraat161;8300;Knokke-Heist;71986;225561;NB-830016142246;NB-830016142246;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;163;;Westkapellestraat163;8300;Knokke-Heist;71991;225560;NB-830016305100;NB-830016305100;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;174;;Westkapellestraat174;8300;Knokke-Heist;71935;225551;NB-830017446781;NB-830017446781;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;180;;Westkapellestraat180;8300;Knokke-Heist;72009;225527;NB-830018037322;NB-830018037322;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;189;;Westkapellestraat189;8300;Knokke-Heist;72246;225432;NB-830018967453;NB-830018967453;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;194;;Westkapellestraat194;8300;Knokke-Heist;72073;225494;NB-830019468506;NB-830019468506;BUILDING template
KNOKKE-HEIST - FH12;Westkapellestraat;198;;Westkapellestraat198;8300;Knokke-Heist;72134;225480;NB-830019898967;NB-830019898967;BUILDING template
KNOKKE-HEIST - FH12;Zuidstraat;20;;Zuidstraat20;8300;Knokke-Heist;71949;225990;NB-83002096654;NB-83002096654;BUILDING template
KNOKKE-HEIST - FH12;Zuidstraat;28;;Zuidstraat28;8300;Knokke-Heist;71942;225970;NB-83002816272;NB-83002816272;BUILDING template
