Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Adres;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
KNOKKE-HEIST - FH12;Breed Veertien;3;;Breed Veertien3;8300;Knokke-Heist;71980;225489;NB-8300327858;NB-8300327858;BUILDING template
KNOKKE-HEIST - FH12;Emanuel Hielstraat;6;;Emanuel Hielstraat6;8300;Knokke-Heist;71969;225940;NB-8300694007;NB-8300694007;BUILDING template
KNOKKE-HEIST - FH12;Emanuel Hielstraat;16;;Emanuel Hielstraat16;8300;Knokke-Heist;71950;225959;NB-83001669657;NB-83001669657;BUILDING template
KNOKKE-HEIST - FH12;Emanuel Hielstraat;21;;Emanuel Hielstraat21;8300;Knokke-Heist;71957;225911;NB-83002165945;NB-83002165945;BUILDING template
KNOKKE-HEIST - FH12;Emanuel Hielstraat;24;;Emanuel Hielstraat24;8300;Knokke-Heist;71903;225998;NB-83002426505;NB-83002426505;BUILDING template
KNOKKE-HEIST - FH12;Emanuel Hielstraat;37;A;Emanuel Hielstraat37A;8300;Knokke-Heist;71911;225953;NB-830037A87100;NB-830037A87100;BUILDING template
KNOKKE-HEIST - FH12;Heestersstraat;1;;Heestersstraat1;8300;Knokke-Heist;72240;225487;NB-8300142582;NB-8300142582;BUILDING template
KNOKKE-HEIST - FH12;Heestersstraat;5;;Heestersstraat5;8300;Knokke-Heist;72288;225508;NB-8300500304;NB-8300500304;BUILDING template
KNOKKE-HEIST - FH12;Heestersstraat;7;;Heestersstraat7;8300;Knokke-Heist;72306;225515;NB-8300794913;NB-8300794913;BUILDING template
KNOKKE-HEIST - FH12;Heestersstraat;15;;Heestersstraat15;8300;Knokke-Heist;72347;225536;NB-83001583600;NB-83001583600;BUILDING template
KNOKKE-HEIST - FH12;Heestersstraat;20;;Heestersstraat20;8300;Knokke-Heist;72363;225490;NB-83002031804;NB-83002031804;BUILDING template
KNOKKE-HEIST - FH12;Heestersstraat;28;;Heestersstraat28;8300;Knokke-Heist;72423;225513;NB-83002845551;NB-83002845551;BUILDING template
KNOKKE-HEIST - FH12;Heestersstraat;42;;Heestersstraat42;8300;Knokke-Heist;72622;225552;NB-83004211144;NB-83004211144;BUILDING template
KNOKKE-HEIST - FH12;Hendrik Consciencestraat;43;;Hendrik Consciencestraat43;8300;Knokke-Heist;71774;225766;NB-83004307957;NB-83004307957;BUILDING template
KNOKKE-HEIST - FH12;Hendrik Consciencestraat;49;;Hendrik Consciencestraat49;8300;Knokke-Heist;71773;225744;NB-83004952809;NB-83004952809;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;228;;Knokkestraat228;8300;Knokke-Heist;72180;226077;NB-830022808540;NB-830022808540;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;230;;Knokkestraat230;8300;Knokke-Heist;72184;226076;NB-830023093740;NB-830023093740;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;232;;Knokkestraat232;8300;Knokke-Heist;72192;226075;NB-830023297223;NB-830023297223;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;252;;Knokkestraat252;8300;Knokke-Heist;72249;226069;NB-830025215002;NB-830025215002;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;260;;Knokkestraat260;8300;Knokke-Heist;72272;226067;NB-830026034555;NB-830026034555;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;270;;Knokkestraat270;8300;Knokke-Heist;72304;226063;NB-830027025729;NB-830027025729;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;272;;Knokkestraat272;8300;Knokke-Heist;72309;226063;NB-830027275198;NB-830027275198;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;274;;Knokkestraat274;8300;Knokke-Heist;72315;226063;NB-830027495573;NB-830027495573;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;276;;Knokkestraat276;8300;Knokke-Heist;72319;226064;NB-830027632301;NB-830027632301;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;278;;Knokkestraat278;8300;Knokke-Heist;72324;226064;NB-830027829444;NB-830027829444;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;280;;Knokkestraat280;8300;Knokke-Heist;72330;226064;NB-830028001202;NB-830028001202;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;290;;Knokkestraat290;8300;Knokke-Heist;72407;226057;NB-830029035756;NB-830029035756;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;292;;Knokkestraat292;8300;Knokke-Heist;72411;226056;NB-830029230683;NB-830029230683;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;296;;Knokkestraat296;8300;Knokke-Heist;72417;226052;NB-830029604220;NB-830029604220;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;310;;Knokkestraat310;8300;Knokke-Heist;72478;226065;NB-830031076026;NB-830031076026;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;316;;Knokkestraat316;8300;Knokke-Heist;72492;226067;NB-830031693153;NB-830031693153;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;330;;Knokkestraat330;8300;Knokke-Heist;72525;226071;NB-830033036511;NB-830033036511;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;339;;Knokkestraat339;8300;Knokke-Heist;72485;226083;NB-830033932838;NB-830033932838;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;355;;Knokkestraat355;8300;Knokke-Heist;72541;226089;NB-830035537653;NB-830035537653;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;357;;Knokkestraat357;8300;Knokke-Heist;72550;226089;NB-830035747173;NB-830035747173;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;359;;Knokkestraat359;8300;Knokke-Heist;72559;226090;NB-830035901748;NB-830035901748;BUILDING template
KNOKKE-HEIST - FH12;Knokkestraat;361;;Knokkestraat361;8300;Knokke-Heist;72567;226091;NB-830036190385;NB-830036190385;BUILDING template
