Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking;SS_FOTO_FACADE1_URL
KNOKKE-HEIST - FH12;;NB-830029817115;Knokkestraat;298;;;72448;226059;MDU;;5;0;0;5;Y;NA;4;;_;Y;;BUILDING template;;;https://web.appeee.nl/Files/FormEntry/55607-3d08059e-6097-46e7-b821-ac330066d8db200911081456676759.jpg
KNOKKE-HEIST - FH12;;NB-83001A89065;Pastuurdijk;1;A;;72579;226133;SDU;;1;0;0;1;N;IRREG;2;;_;Y;;BUILDING template;;;https://web.appeee.nl/Files/FormEntry/55607-4321056c-5045-4ea2-8df5-ac4400f4e05d200928165241424000.jpg
KNOKKE-HEIST - FH12;;NB-83001B47059;Pastuurdijk;1;B;;72579;226133;SDU;;1;0;0;1;N;IRREG;2;;_;Y;;BUILDING template;;;https://web.appeee.nl/Files/FormEntry/55607-b8117749-2aec-4457-ac98-ac4400f5cc6a200928165512713000.jpg
KNOKKE-HEIST - FH12;;NB-830019879996;Westkapellestraat;198;;;72029;225338;SDU;;0;1;0;1;N;IRREG;3;;_;Y;;BUILDING template;;;https://web.appeee.nl/Files/FormEntry/55607-e2f51509-c89f-4b83-a7ee-ac390094886a200917110135502000.jpg
KNOKKE-HEIST - FH12;;NB-8300163A80395;Westkapellestraat;163;A;;71998;225554;SDU;;1;0;0;1;Y;NA;3;;_;Y;;BUILDING template;;;https://web.appeee.nl/Files/FormEntry/55607-522b1854-4a55-4820-8a22-ac3200afed7a200910124019606000.jpg
