adres_full;SU;BU;LU;File_SSV_Action;File_SSV_Status;File_SSV_Error;Area_Type;Area_FID;Area_Version;Area_Name;Zoning_FID;Zoning_Version;Zoning_Name;Zoning_Id;Zoning_Tech;BG_Id;BG_Version;BG_Name;BG_SSV_Action;BG_SSV_Status;BG_SSV_Error;BG_Building_SSV_Action;BG_Building_SSV_Status;BG_Building_SSV_Error;Building_FID;Building_Version;LAM_MK;LAM_City_Code;LAM_Street_Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall_Mount;SS_Reason;Number_Floors;Height_Cable;Orig_VC_Type;New_VC_Type;VC_Method;Intro_Tube;Prov_Status;Prov_Reason;Prov_Planned;Prov_Mod_By;Prov_Mod_Date;Comments;SSV_Flag;SSV_Action;SSV_Status;SSV_Error;SSV_Date;Seq;LU_Key;LAM_SK;Nature;Nr_TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD_Details;CAD_Type;CAD_Type_Descr;CAD_SubType;Prov_Status_LU;Prov_Reason_LU;Prov_Planned_LU;Prov_Mod_By_LU;Prov_Mod_Date_LU;Comments_LU;SSV_Flag_LU;SSV_Action_LU;SSV_Status_LU;SSV_Error_LU;SSV_Date_LU;planrrr_bid;planrrr_uid;BT;GUESSED_UNITS_FLOOR;Seq_test;maxSeq;newSeq;LAM Nature index;Unit Counter_x;GUESSED_FLOOR;GUESSED_FLOOR_TRUNC;SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP;Unit Counter_y;MERGED_FLOOR;MERGED_APP;MERGED_PBOX
Anne Frankplein 11;1;1;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;379912;'20200508104107;1323149;'26300000;'85;Anne Frankplein;'11;';3500;Hasselt;;'218619,97;'179458,909;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';9;11125006;;SU;1;;;;;;Y;;;;APPART;;;;;;;N;KEEP;;;';1323149;11125006;MDU;2.0;9;9;9;1323149-SU1;8.0;3.5;3;W03-D-Hasselt-FH05;1323149;;11b3;;1;101;0.0;0;SU3;11b3
Anne Frankplein 11;1;1;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;379912;'20200508104107;1323149;'26300000;'85;Anne Frankplein;'11;';3500;Hasselt;;'218619,97;'179458,909;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';9;11125006;;SU;1;;;;;;Y;;;;APPART;;;;;;;N;KEEP;;;';1323149;11125006;MDU;2.0;9;9;9;1323149-SU1;8.0;3.5;3;W03-D-Hasselt-FH05;1323149;;11b4;;1;102;0.0;0;SU4;11b4
Anne Frankplein 11;1;1;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;379912;'20200508104107;1323149;'26300000;'85;Anne Frankplein;'11;';3500;Hasselt;;'218619,97;'179458,909;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';9;11125006;;SU;1;;;;;;Y;;;;APPART;;;;;;;N;KEEP;;;';1323149;11125006;MDU;2.0;9;9;9;1323149-SU1;8.0;3.5;3;W03-D-Hasselt-FH05;1323149;;11b5;;2;201;0.0;0;SU5;11b5
Anne Frankplein 11;1;1;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;379912;'20200508104107;1323149;'26300000;'85;Anne Frankplein;'11;';3500;Hasselt;;'218619,97;'179458,909;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';9;11125006;;SU;1;;;;;;Y;;;;APPART;;;;;;;N;KEEP;;;';1323149;11125006;MDU;2.0;9;9;9;1323149-SU1;8.0;3.5;3;W03-D-Hasselt-FH05;1323149;;11b6;;2;202;0.0;0;SU6;11b6
Anne Frankplein 11;1;1;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;379912;'20200508104107;1323149;'26300000;'85;Anne Frankplein;'11;';3500;Hasselt;;'218619,97;'179458,909;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';9;11125006;;SU;1;;;;;;Y;;;;APPART;;;;;;;N;KEEP;;;';1323149;11125006;MDU;2.0;9;9;9;1323149-SU1;8.0;3.5;3;W03-D-Hasselt-FH05;1323149;;11b7;;3;301;0.0;0;SU7;11b7
Anne Frankplein 11;1;1;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;379912;'20200508104107;1323149;'26300000;'85;Anne Frankplein;'11;';3500;Hasselt;;'218619,97;'179458,909;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';9;11125006;;SU;1;;;;;;Y;;;;APPART;;;;;;;N;KEEP;;;';1323149;11125006;MDU;2.0;9;9;9;1323149-SU1;8.0;3.5;3;W03-D-Hasselt-FH05;1323149;;11b8;;3;302;0.0;0;SU8;11b8
Anne Frankplein 11;1;1;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;379912;'20200508104107;1323149;'26300000;'85;Anne Frankplein;'11;';3500;Hasselt;;'218619,97;'179458,909;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';9;11125006;;SU;1;;;;;;Y;;;;APPART;;;;;;;N;KEEP;;;';1323149;11125006;MDU;2.0;9;9;9;1323149-SU1;8.0;3.5;3;W03-D-Hasselt-FH05;1323149;;Lift;;3;1;0.0;0;SU9;Lift
Anne Frankplein 11;1;1;7;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;;';';;;;;;;379912;'20200508104107;1323149;'26300000;'85;Anne Frankplein;'11;';3500;Hasselt;;'218619,97;'179458,909;;N;ORN;4;3;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';9;11125006;;SU;1;;;;;;Y;;;;APPART;;;;;;;N;KEEP;;;';1323149;11125006;MDU;2.0;9;9;9;1323149-SU1;8.0;3.5;3;W03-D-Hasselt-FH05;1323149;SU;3;;0;3;8.0;0;SU10;3
Gouverneur Roppesingel 165;0;6;0;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;33629369;'20200508112853;'Gouverneur Roppesingel 165_Luikersteenweg 230-232;KEEP;;;KEEP;;;380822;'20200508112853;2405875;'26300000;'10;Gouverneur Roppesingel;'165;';3500;Hasselt;;'218859,254;'178952,897;;N;ORN;3;0;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';1;1161178;;BU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;COMM;;;;;;;N;KEEP;;;';2405875;1161178;MDU;2.0;1;2;1;2405875-BU1;1.0;0.0;0;;;;;;;;;0;001;001
Gouverneur Roppesingel 165;0;6;0;;;;Zoning;10433858;'20200529134526;W03-D-Hasselt-FH05;10433858;'20200529134526;W03-D-Hasselt-FH05;23998;FTTH-Cu;33629369;'20200508112853;'Gouverneur Roppesingel 165_Luikersteenweg 230-232;KEEP;;;KEEP;;;380822;'20200508112853;2405875;'26300000;'10;Gouverneur Roppesingel;'165;';3500;Hasselt;;'218859,254;'178952,897;;N;ORN;3;0;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';2;11138411;;BU;1;;;;;;Y;;;;COMM;;;;SSV_IMPORT;'09/07/2019 07:40:09;;N;MODIFY;;;';2405875;11138411;MDU;2.0;2;2;2;2405875-BU2;2.0;0.5;0;;;;;;;;;0;002;002
