File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;6674153;20191203133630;3035083;37370000;22206;Nerviersstraat;10;;3000;Leuven;;173891;174686;;Y;NA;2;4;Undefined;Unknown;;None;;;;;;;;;;;;1;10930474;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;6674154;20191203133627;3035085;37370000;22206;Nerviersstraat;11;;3000;Leuven;;173873,017;174702,119;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;10930475;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;6674161;20191203133627;3035088;37370000;22206;Nerviersstraat;13;;3000;Leuven;;173876,244;174703,977;;Y;NA;2;4;Undefined;Unknown;;None;;;;;;;;;;;;1;10930477;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;6674165;20191203133627;3035091;37370000;22206;Nerviersstraat;14;;3000;Leuven;;173897;174691;;Y;NA;2;4;Undefined;Unknown;;None;;;;;;;;;;;;1;10930478;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;6674166;20191203133627;3035093;37370000;22206;Nerviersstraat;15;;3000;Leuven;;173879,57;174706,715;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;10930479;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;6674169;20191203133630;3035096;37370000;22206;Nerviersstraat;16;;3000;Leuven;;173898;174696;;N;IRREG;3;4;Undefined;Unknown;;None;;;;;;;;;;;;1;10930480;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;6674171;20191203133630;3035099;37370000;22206;Nerviersstraat;17;;3000;Leuven;;173882,113;174708,916;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;10930481;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;6674176;20191203133631;3035102;37370000;22206;Nerviersstraat;18;;3000;Leuven;;173903;174693;;N;IRREG;3;4;Undefined;Unknown;;None;;;;;;;;;;;;1;10930482;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;6674182;20191203133631;3035104;37370000;22206;Nerviersstraat;21;;3000;Leuven;;173888,812;174712,975;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;10930485;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;6674183;20191203133631;3035105;37370000;22206;Nerviersstraat;22;;3000;Leuven;;173912;174703;;N;IRREG;3;4;Undefined;Unknown;;None;;;;;;;;;;;;1;10930486;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU
