SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP
W03-D-Sint-Niklaas-FH02;3484841;SU;0;;4;
W03-D-Sint-Niklaas-FH02;68409;LU;101;;1;
W03-D-Sint-Niklaas-FH02;68409;LU;201;;2;
W03-D-Sint-Niklaas-FH02;68409;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3484826;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484826;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3484829;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3484829;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484829;LU;102;;1;
W03-D-Sint-Niklaas-FH02;3484829;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3484829;LU;202;;2;
W03-D-Sint-Niklaas-FH02;3484829;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3484829;LU;302;;3;
W03-D-Sint-Niklaas-FH02;3484829;SU;0;;0;
W03-D-Sint-Niklaas-FH02;3484780;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3484780;LU;2;;1;
W03-D-Sint-Niklaas-FH02;3484780;LU;3;;2;
W03-D-Sint-Niklaas-FH02;3484780;LU;4;;3;
W03-D-Sint-Niklaas-FH02;56080;BU;1;;0;
W03-D-Sint-Niklaas-FH02;56080;LU;101;;1;
W03-D-Sint-Niklaas-FH02;56080;LU;201;;2;
W03-D-Sint-Niklaas-FH02;56080;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3518061;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3518061;LU;101;;1;
W03-D-Sint-Niklaas-FH02;4448694;LU;1;;0;
W03-D-Sint-Niklaas-FH02;4448694;LU;101;;1;
W03-D-Sint-Niklaas-FH02;4448694;LU;201;;2;
W03-D-Sint-Niklaas-FH02;4448694;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3484723;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3484723;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3516630;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3516630;LU;2;;1;
W03-D-Sint-Niklaas-FH02;3516630;BU;3;;0;
W03-D-Sint-Niklaas-FH02;3516630;SU;0;;0;
W03-D-Sint-Niklaas-FH02;3504348;BU;0;;0;
W03-D-Sint-Niklaas-FH02;3504348;LU;1;;1;
W03-D-Sint-Niklaas-FH02;3504348;LU;2;;2;
W03-D-Sint-Niklaas-FH02;3504348;LU;3;;3;
W03-D-Sint-Niklaas-FH02;3504348;LU;4;;4;
W03-D-Sint-Niklaas-FH02;62529;BU;1;;0;
W03-D-Sint-Niklaas-FH02;62529;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3504344;BU;1;;;
W03-D-Sint-Niklaas-FH02;3504344;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3948738;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3948738;LU;2;;0;
W03-D-Sint-Niklaas-FH02;3948738;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3948738;LU;102;;1;
W03-D-Sint-Niklaas-FH02;3948738;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3948738;LU;202;;2;
W03-D-Sint-Niklaas-FH02;3948738;LU;203;;2;
W03-D-Sint-Niklaas-FH02;3504378;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3504378;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3948535;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3948535;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3948787;BU;Bus 0;;;
W03-D-Sint-Niklaas-FH02;3948787;LU;Bus 1;;1;
W03-D-Sint-Niklaas-FH02;3948787;LU;Bus 2;;1;
W03-D-Sint-Niklaas-FH02;3948787;LU;Bus 3;;2;
W03-D-Sint-Niklaas-FH02;3948787;LU;Bus 4;;2;
W03-D-Sint-Niklaas-FH02;3948735;LU;Bus 1;;1;
W03-D-Sint-Niklaas-FH02;3948735;LU;Bus 2;;2;
W03-D-Sint-Niklaas-FH02;3948735;LU;Bus 3;;3;
W03-D-Sint-Niklaas-FH02;3504335;BU;0;;0;
W03-D-Sint-Niklaas-FH02;3504335;LU;1;;1;
W03-D-Sint-Niklaas-FH02;3504335;LU;2;;2;
W03-D-Sint-Niklaas-FH02;3504335;LU;3;;3;
W03-D-Sint-Niklaas-FH02;56085;BU;0;;;
W03-D-Sint-Niklaas-FH02;56085;LU;1;;1;
W03-D-Sint-Niklaas-FH02;56085;LU;2;;2;
W03-D-Sint-Niklaas-FH02;56085;LU;3;;3;
W03-D-Sint-Niklaas-FH02;56085;LU;4;;4;
W03-D-Sint-Niklaas-FH02;3512835;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3512835;BU;101;;1;
W03-D-Sint-Niklaas-FH02;3512835;BU;201;;2;
W03-D-Sint-Niklaas-FH02;61732;LU;101;;1;
W03-D-Sint-Niklaas-FH02;61732;LU;201;;2;
W03-D-Sint-Niklaas-FH02;61732;LU;301;;3;
W03-D-Sint-Niklaas-FH02;61732;SU;0;;0;
W03-D-Sint-Niklaas-FH02;3504386;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3504386;LU;2;;2;
W03-D-Sint-Niklaas-FH02;61717;LU;1;;0;
W03-D-Sint-Niklaas-FH02;61717;LU;2;;1;
W03-D-Sint-Niklaas-FH02;61717;LU;3;;1;
W03-D-Sint-Niklaas-FH02;61717;LU;4;;2;
W03-D-Sint-Niklaas-FH02;61717;LU;5;;2;
W03-D-Sint-Niklaas-FH02;61717;LU;6;;3;
W03-D-Sint-Niklaas-FH02;61717;LU;7;;3;
W03-D-Sint-Niklaas-FH02;61717;LU;8;;4;
W03-D-Sint-Niklaas-FH02;3504364;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3504364;LU;2;;1;
W03-D-Sint-Niklaas-FH02;3504364;LU;3;;2;
W03-D-Sint-Niklaas-FH02;3504364;LU;4;;3;
W03-D-Sint-Niklaas-FH02;3504364;BU;5;;0;
W03-D-Sint-Niklaas-FH02;3504364;LU;6;;1;
W03-D-Sint-Niklaas-FH02;3504364;LU;7;;2;
W03-D-Sint-Niklaas-FH02;3504364;LU;8;;3;
W03-D-Sint-Niklaas-FH02;3504364;LU;9;;4;
W03-D-Sint-Niklaas-FH02;3500078;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3500078;LU;102;;1;
W03-D-Sint-Niklaas-FH02;3500078;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3500078;LU;202;;2;
W03-D-Sint-Niklaas-FH02;3500096;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3500096;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3500096;LU;201;;2;
W03-D-Sint-Niklaas-FH02;4449077;LU;1;;0;
W03-D-Sint-Niklaas-FH02;4449077;LU;2;;1;
W03-D-Sint-Niklaas-FH02;3504368;LU;Bus 1;;1;
W03-D-Sint-Niklaas-FH02;3504368;LU;Bus 2;;2;
W03-D-Sint-Niklaas-FH02;3504368;LU;Bus 3;;;
W03-D-Sint-Niklaas-FH02;3504368;LU;Bus 4;;;
W03-D-Sint-Niklaas-FH02;3504368;LU;Bus 5;;;
W03-D-Sint-Niklaas-FH02;3504368;SU;0;;;
W03-D-Sint-Niklaas-FH02;61719;BU;1;;0;
W03-D-Sint-Niklaas-FH02;61719;LU;2;;1;
W03-D-Sint-Niklaas-FH02;61719;LU;3;;2;
W03-D-Sint-Niklaas-FH02;61719;LU;4;;3;
W03-D-Sint-Niklaas-FH02;61722;LU;1;;1;
W03-D-Sint-Niklaas-FH02;61722;LU;2;;2;
W03-D-Sint-Niklaas-FH02;61722;LU;3;;3;
W03-D-Sint-Niklaas-FH02;61722;LU;4;;4;
W03-D-Sint-Niklaas-FH02;61722;LU;5;;5;
W03-D-Sint-Niklaas-FH02;61722;LU;6;;2;
W03-D-Sint-Niklaas-FH02;61722;LU;7;;3;
W03-D-Sint-Niklaas-FH02;61722;LU;8;;4;
W03-D-Sint-Niklaas-FH02;61722;LU;10;;1;
W03-D-Sint-Niklaas-FH02;61722;LU;11;;2;
W03-D-Sint-Niklaas-FH02;61722;LU;12;;3;
W03-D-Sint-Niklaas-FH02;61722;LU;13;;4;
W03-D-Sint-Niklaas-FH02;61722;LU;14;;5;
W03-D-Sint-Niklaas-FH02;3925975;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3925975;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3925975;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3948736;LU;31/jan;;1;
W03-D-Sint-Niklaas-FH02;3948736;LU;31/2;;2;
W03-D-Sint-Niklaas-FH02;3948736;LU;31/mrt;;3;
W03-D-Sint-Niklaas-FH02;3948736;LU;31/4;;4;
W03-D-Sint-Niklaas-FH02;3518049;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3518049;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3518049;LU;102;;1;
W03-D-Sint-Niklaas-FH02;3518049;LU;103;;1;
W03-D-Sint-Niklaas-FH02;3518049;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3518049;LU;202;;2;
W03-D-Sint-Niklaas-FH02;3518049;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3518049;LU;302;;3;
W03-D-Sint-Niklaas-FH02;3484914;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3484914;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484914;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3484920;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3484920;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484920;LU;102;;1;
W03-D-Sint-Niklaas-FH02;3484920;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3484920;LU;202;;2;
W03-D-Sint-Niklaas-FH02;56051;LU;1;;1;
W03-D-Sint-Niklaas-FH02;56051;LU;2;;2;
W03-D-Sint-Niklaas-FH02;56051;LU;3;;3;
W03-D-Sint-Niklaas-FH02;3504417;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3504417;LU;101;;1;
W03-D-Sint-Niklaas-FH02;4240773;LU;1;;0;
W03-D-Sint-Niklaas-FH02;4240773;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3516655;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3516655;LU;2;;1;
W03-D-Sint-Niklaas-FH02;3516655;LU;3;;2;
W03-D-Sint-Niklaas-FH02;3516655;LU;4;;3;
W03-D-Sint-Niklaas-FH02;3516652;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3516652;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3516652;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3516652;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3516636;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3516636;LU;101;;1;
W03-D-Sint-Niklaas-FH02;68436;LU;1;;2;
W03-D-Sint-Niklaas-FH02;68436;LU;2;;3;
W03-D-Sint-Niklaas-FH02;68436;LU;3;;4;
W03-D-Sint-Niklaas-FH02;3484885;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484885;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3484885;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3484885;SU;0;;0;
W03-D-Sint-Niklaas-FH02;3484889;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3484889;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484889;LU;102;;1;
W03-D-Sint-Niklaas-FH02;3484889;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3484889;LU;202;;2;
W03-D-Sint-Niklaas-FH02;5999565;LU;101;;1;
W03-D-Sint-Niklaas-FH02;5999565;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3525179;LU;1;;1;
W03-D-Sint-Niklaas-FH02;3525179;LU;2;;2;
W03-D-Sint-Niklaas-FH02;3525179;LU;3;;3;
W03-D-Sint-Niklaas-FH02;3948883;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3948883;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3948883;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3512806;BU;1;;0;
W03-D-Sint-Niklaas-FH02;3512806;LU;101;;1;
W03-D-Sint-Niklaas-FH02;4156366;LU;1;;0;
W03-D-Sint-Niklaas-FH02;4156366;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3512952;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3512952;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3512952;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3512952;LU;401;;4;
W03-D-Sint-Niklaas-FH02;3512942;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3512942;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3512942;LU;102;;1;
W03-D-Sint-Niklaas-FH02;3512942;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3512942;LU;202;;2;
W03-D-Sint-Niklaas-FH02;3512942;LU;301;;3;
