Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Postcode;Municipality
ANTWERPEN-WEST - FH09;BUILDING template;1736233;1736233;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;1736234;1736234;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;55144;55144;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;55498;55498;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;55499;55499;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;59563;59563;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;59564;59564;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;59579;59579;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;59580;59580;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;59581;59581;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;59582;59582;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;59583;59583;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;197322;197322;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw20c9036;NB-Antw20c9036;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw2A8357;NB-Antw2A8357;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw57e2677;NB-Antw57e2677;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw79bf703;NB-Antw79bf703;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw8b51b59;NB-Antw8b51b59;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw14ce8060;NB-Antw14ce8060;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw16A3a66;NB-Antw16A3a66;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;12629;12629;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw2804f690;NB-Antw2804f690;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw321a7205;NB-Antw321a7205;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;4504280;4504280;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw344bad50;NB-Antw344bad50;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;4504282;4504282;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;NB-Antw38651275;NB-Antw38651275;774;Arenbergstraat;2000;Antwerpen
ANTWERPEN-WEST - FH09;BUILDING template;1736221;1736221;774;Arenbergstraat;2000;Antwerpen
