Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Municipality
EVERE - FH01;BUILDING template;5694815;5694815;25;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;Evere - Evere
EVERE - FH01;BUILDING template;5479937;5479937;25;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;Evere - Evere
EVERE - FH01;BUILDING template;5479938;5479938;25;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;Evere - Evere
EVERE - FH01;BUILDING template;5862169;5862169;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5866850;5866850;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5856588;5856588;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5946627;5946627;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5921614;5921614;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5946628;5946628;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5946626;5946626;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5866853;5866853;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5866854;5866854;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5935345;5935345;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5931199;5931199;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;5943706;5943706;36;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;Evere - Evere
EVERE - FH01;BUILDING template;1620431;1620431;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620432;1620432;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620433;1620433;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620434;1620434;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620435;1620435;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620436;1620436;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620437;1620437;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620438;1620438;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;4121356;4121356;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620439;1620439;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620440;1620440;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620441;1620441;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1620442;1620442;39;Clos Pierre Dupont - Pierre Dupontgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903896;5903896;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903904;5903904;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903902;5903902;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903905;5903905;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903903;5903903;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903906;5903906;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903901;5903901;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903907;5903907;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903908;5903908;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903909;5903909;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903910;5903910;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903911;5903911;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5899999;5899999;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903912;5903912;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5903897;5903897;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5786181;5786181;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5786182;5786182;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5785803;5785803;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;5786183;5786183;40;Clos de la Glaisière - Leemputgaarde;Evere - Evere
EVERE - FH01;BUILDING template;1120015;1120015;377;Avenue Artemis - Artemislaan;Evere - Evere
