LAMKEY;ADRES;TSA;SSV;HANDTEKENING
1623633;kolonelbourgstraat105;True;False;False
1623988;oudstrijderslaan82;False;True;False
1621784;franzguillaumelaan;False;True;False
1621025;maquisstraat83;True;False;False
6130927;l.mommaertslaan111;True;False;False
1622160;sintjozefstraat28;False;True;False
1622808;jandepaduwaplaats15;True;False;False
1624360;tweehuizenstraat;False;True;False
1621882;fernandlegerstraat;False;True;False
1120066;franzguillaumelaan57;True;False;False
1622154;sintjozefstraat;False;True;False
1623645;kolonelbourgstraat152;True;False;False
1620909;leuvensesteenweg927;True;False;False
1621790;franzguillaumelaan;False;True;False
725360;leuvensesteenweg775;False;True;False
1624260;vdaylaan16;True;False;False
1621757;longrosjeanlaanavenuelo5;True;False;False
1621104;optimismelaan35;True;False;False
726872;begeertenlaan11;True;False;False
1621768;leongrosjeanlaan;False;True;False
1624254;vdaylaan10;False;True;False
1623833;kerkhofvanbrussellaan34;True;False;False
1120056;leuvensesteenweg871;False;True;False
726794;gelukzaligheidslaan37;True;False;False
1622149;sintjozefstraat15;True;False;False
726791;gelukzaligheidslaan5;True;False;False
726787;oudstrijderslaan37d;False;True;False
5894343;cicerolaan17;True;False;False
1621782;franzguillaumelaan;False;True;False
1621767;leongrosjeanlaan37;True;False;False
5583274;henrydunantlaan25;True;False;False
1620919;leuvensesteenweg944;True;False;False
726783;oudstrijderslaan25;False;True;False
1623615;julesbordetlaan;False;True;False
1620865;leuvensesteenweg837;False;True;False
1621771;leongrosjeanlaan53;True;False;False
726071;hugoverrieststraat;False;True;False
1620858;leuvensesteenweg821;False;True;False
1289386;leuvensesteenweg946;True;False;False
1621738;hugoverrieststraat37;True;False;False
726184;vdaylaan30;True;False;False
1622008;g.delombaerdestraat19;True;False;False
726785;oudstrijderslaan35;False;True;False
1623824;kerkhofvanbrussellaan20;True;False;False
1623972;oudstrijderslaan60;False;True;False
1623957;oudstrijderslaan32;False;True;False
726071;hugoverrieststraat;False;True;False
1620537;begeertenlaan24;False;True;False
725248;franzguillaumelaan;False;True;False
1624262;vdaylaan18;True;False;False
1623634;kolonelbourgstraat;False;True;False
25441;leuvensesteenweg1002;True;False;False
726858;optimismelaan39;True;False;False
5862169;willyvan;False;True;False
725363;oudstrijderslaan6;False;True;False
726861;optimismelaan31;False;True;False
1624263;sitesurvey;False;True;False
1621803;franzguillaumelaan54;True;False;False
1137204;kolonelbourgstraat136;True;False;False
4114527;leuvensesteenweg948;True;False;False
1623958;oudstrijderslaan34;True;False;False
1623844;kerkhofvanbrussellaan55;True;False;False
726784;oudstrijderslaan23;False;True;False
726778;leuvensesteenweg795;True;False;False
1120077;kerkhofvanbrussellaan106;True;False;False
1620931;leuvensesteenweg962;True;False;False
1165076;fernandlegerstraat;False;True;False
726063;leuvensesteenweg894;False;True;False
1620473;gelukzaligheidslaan13;True;False;False
1620538;begeertenlaan25;True;False;False
1620860;leuvensesteenweg825;False;True;False
1120653;franzguillaumelaan44;True;False;False
1137195;kolonelbourgstraat;False;True;False
1120035;henrydunantlaan;False;True;False
1624315;pieterdupontstraat200;True;False;False
1621807;franzguillaumelaan63;True;False;False
4109326;kerkhofvanbrussellaan43;True;False;False
1622149;sintjozefstraat;False;True;False
1622019;g.delombaerdestraat50;True;False;False
1621761;leongrosjeanlaan21;True;False;False
1620969;maquisstraat3;True;False;False
1356999;franzguillaumelaan;False;True;False
1622015;g.delombaerdestraat43;True;False;False
5046525;kerkhofvan;False;True;False
1624360;tweehuizenstraat54;True;False;True
726868;begeertenlaan21;True;False;False
1621793;franzguillaumelaan28;True;False;False
1623857;kerkhofvan;False;True;False
726084;zeventienaprilstraat;False;True;False
1620523;begeertenlaan6;True;False;False
1120049;tweehuizenstraat78;True;False;False
1620910;leuvensesteenweg928;True;False;False
731599;henrydunantlaan23;True;False;False
1621796;franzguillaumelaan;False;True;False
1620924;leuvensesteenweg954;False;True;False
726793;gelukzaligheidslaan17;True;False;False
1623993;oudstrijderslaan86;True;False;False
1621801;franzguillaumelaan50;True;False;False
1620926;leuvensesteenweg956;True;False;False
1620467;gelukzaligheidslaan7;True;False;False
726782;oudstrijderslaan43;True;False;False
756583;henrydunantlaan11;True;False;False
1623954;oudstrijderslaan29;False;True;False
725248;franzguillaumelaan;False;True;False
726067;jande;False;True;False
1120044;kerkhofvanbrussellaan66;True;False;True
726100;leongrosjeanlaan17;True;False;False
1620871;leuvensesteenweg867;False;True;False
1623636;kolonelbourgstraat;False;True;False
1,2,3,4;g.de;False;True;False
1120038;henrydunantlaan84;True;False;False
1621768;leongrosjeanlaan39;True;False;False
1620459;artemislaan24;True;False;False
46324;hugoverrieststraat;False;True;False
1621086;optimismelaan1;True;False;False
1621798;franzguillaumelaan40;True;False;False
1446973;vdaylaan4;True;False;True
