LAM MK;TOTAAL;SU;BU;LU;Zip;File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM City Code;LAM Street Code;Nr;Suffix;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid;Street;Municipality;LANGUAGE;BT
664082;4;0;0;4;4020;;;;Zoning;8464350;20191109094846;W03-C-Liege-FH11;8464350;20191109094846;W03-C-Liege-FH11;21413;FTTH-Cu;;;;;;;;;;563044;20190909114344;37700000;29094;295;;;236271,605;147614,09;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;MODIFY;;;;;;;LU;1;;;;;;;;;;;;;;;;;;NEW;;;;664082;;Rue Basse Wez;Liege;NL;MDU
664082;4;0;0;4;4020;;;;Zoning;8464350;20191109094846;W03-C-Liege-FH11;8464350;20191109094846;W03-C-Liege-FH11;21413;FTTH-Cu;;;;;;;;;;563044;20190909114344;37700000;29094;295;;;236271,605;147614,09;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;MODIFY;;;;;;;LU;1;;;;;;;;;;;;;;;;;;NEW;;;;664082;;Rue Basse Wez;Liege;NL;MDU
664082;4;0;0;4;4020;;;;Zoning;8464350;20191109094846;W03-C-Liege-FH11;8464350;20191109094846;W03-C-Liege-FH11;21413;FTTH-Cu;;;;;;;;;;563044;20190909114344;37700000;29094;295;;;236271,605;147614,09;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;MODIFY;;;;;;;LU;1;;;;;;;;;;;;;;;;;;NEW;;;;664082;;Rue Basse Wez;Liege;NL;MDU
664083;1;0;0;1;4020;;;;Zoning;8464350;20191109094846;W03-C-Liege-FH11;8464350;20191109094846;W03-C-Liege-FH11;21413;FTTH-Cu;;;;;;;;;;563045;20130610114421;37700000;29094;210;;;236246,706;147578,719;;N;IRREG;0;0;Unknown;Unknown;;None;;;;;;;;DELETE;;;;1;1328290;;LU;0;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;DELETE;;;;664083;1328290;Rue Basse Wez;Liege;NL;SDU
664084;1;0;0;1;4020;;;;Zoning;8464350;20191109094846;W03-C-Liege-FH11;8464350;20191109094846;W03-C-Liege-FH11;21413;FTTH-Cu;;;;;;;;;;563046;20190909114345;37700000;29094;212;A;;236250,25;147554,633;;Y;NA;2;4;Unknown;Unknown;D - Facade Box;None;;;;;;;;MODIFY;;;;1;1328467;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;KEEP;;;;664084;1328467;Rue Basse Wez;Liege;NL;SDU
664085;3;0;0;3;4020;;;;Zoning;8464350;20191109094846;W03-C-Liege-FH11;8464350;20191109094846;W03-C-Liege-FH11;21413;FTTH-Cu;;;;;;;;;;563047;20190909114345;37700000;29094;228;;;236259,593;147477,649;;N;IRREG;2;0;Unknown;Unknown;;None;;;;;;;;MODIFY;;;;1;1330682;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;KEEP;;;;664085;1330682;Rue Basse Wez;Liege;NL;MDU
664085;3;0;0;3;4020;;;;Zoning;8464350;20191109094846;W03-C-Liege-FH11;8464350;20191109094846;W03-C-Liege-FH11;21413;FTTH-Cu;;;;;;;;;;563047;20190909114345;37700000;29094;228;;;236259,593;147477,649;;N;IRREG;2;0;Unknown;Unknown;;None;;;;;;;;MODIFY;;;;;;;LU;1;;;;;;;;;;;;;;;;;;NEW;;;;664085;;Rue Basse Wez;Liege;NL;MDU
664085;3;0;0;3;4020;;;;Zoning;8464350;20191109094846;W03-C-Liege-FH11;8464350;20191109094846;W03-C-Liege-FH11;21413;FTTH-Cu;;;;;;;;;;563047;20190909114345;37700000;29094;228;;;236259,593;147477,649;;N;IRREG;2;0;Unknown;Unknown;;None;;;;;;;;MODIFY;;;;;;;LU;1;;;;;;;;;;;;;;;;;;NEW;;;;664085;;Rue Basse Wez;Liege;NL;MDU
664086;3;0;0;3;4020;;;;Zoning;8464350;20191109094846;W03-C-Liege-FH11;8464350;20191109094846;W03-C-Liege-FH11;21413;FTTH-Cu;;;;;;;;;;563048;20190909114345;37700000;29094;246;;;236261,726;147422,948;;Y;NA;3;8;Unknown;Unknown;D - Facade Box;None;;;;;;;;MODIFY;;;;1;1334174;;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;KEEP;;;;664086;1334174;Rue Basse Wez;Liege;NL;MDU
664086;3;0;0;3;4020;;;;Zoning;8464350;20191109094846;W03-C-Liege-FH11;8464350;20191109094846;W03-C-Liege-FH11;21413;FTTH-Cu;;;;;;;;;;563048;20190909114345;37700000;29094;246;;;236261,726;147422,948;;Y;NA;3;8;Unknown;Unknown;D - Facade Box;None;;;;;;;;MODIFY;;;;2;1334175;;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;KEEP;;;;664086;1334175;Rue Basse Wez;Liege;NL;MDU
