LAM MK;TOTAAL;SU;BU;LU;Zip;File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM City Code;LAM Street Code;Nr;Suffix;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;Street;Municipality;LANGUAGE;BT
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;10;1899779;3578307;LU;1;10;;;;;Y;#BL.DG.OG2/242/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;11;1899780;3578308;LU;1;11;;;;;Y;#BL.DG.OG2/243/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;12;1899781;3578309;LU;1;12;;;;;Y;#BL.DG.OG2/244/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;13;1899782;3578310;LU;1;13;;;;;Y;#BL.DG.OG2/245/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;14;1899783;3578311;LU;1;14;;;;;Y;#BL.DG.OG2/246/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;15;1899784;3578312;LU;1;15;;;;;Y;#BL.DG.OG2/247.248/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;16;1899785;3578313;LU;1;16;;;;;Y;#BL.DG.OG2/250/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;17;1899786;3578314;LU;1;17;;;;;Y;#BL.DG.OG2/251/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;18;1899787;3578315;LU;1;18;;;;;Y;#BL.DG.OG2/253/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;19;1899788;3578316;LU;1;19;;;;;Y;#BL.DG.OG2/255/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
