ZONE_NAME;FIS_MDU;FIS_SDU;MDU_TOTAL;SDU_TOTAL;BUILDINGS_TOTAL;FIS_PROCENT;UNITS_TOTAL;FTS_TODO;FTS_TOTAL;FTS_PROCENT;MDU_SSV;SSV_PROCENT;STS;STS_PROCENT;STS_TODO;SSV_TODO;TSA_SIGNED;TSA_REJECTED;TSA_PROCENT
W02-D-Hasselt-FH01;260;2;300;684;984;86.67;2012;30;95;31.58;300;100.0;370;37.6;614;0;47;0;49.47
W02-D-Hasselt-FH02;724;56;826;1407;2233;87.65;3314;64;142;45.07;426;51.57;609;27.27;1624;400;55;4;41.55
W02-D-Leuven-FH01;192;45;200;769;969;96.0;2095;58;63;92.06;198;99.0;435;44.89;534;2;167;0;265.08
W02-D-Leuven-FH02;130;8;670;887;1557;19.4;3674;0;96;0.0;604;90.15;1519;97.56;38;66;13;0;13.54
W02-D-Leuven-FH03;481;0;525;1045;1570;91.62;4520;78;177;44.07;523;99.62;650;41.4;920;2;73;9;46.33
W02-D-Liege-FH01;360;176;449;537;986;80.18;1011;69;114;60.53;258;57.46;714;72.41;272;191;145;0;127.19
W02-D-Liege-FH02;288;12;409;90;499;70.42;355;67;90;74.44;166;40.59;322;64.53;177;243;32;0;35.56
W02-D-Liege-FH03;259;12;358;84;442;72.35;1699;81;119;68.07;241;67.32;303;68.55;139;117;40;0;33.61
W02-D-Uccle-FH01;454;17;483;295;778;94.0;3473;83;151;54.97;466;96.48;734;94.34;44;17;61;0;40.4
W02-D-Uccle-FH02;469;12;511;407;918;91.78;4335;114;198;57.58;477;93.35;823;89.65;95;34;89;0;44.95
W03-C-Antwerpen-West-FH01;405;0;437;150;587;92.68;3011;92;219;42.01;437;100.0;576;98.13;11;0;124;1;57.08
W03-C-Antwerpen-West-FH02;0;0;677;284;961;0.0;3201;0;17;0.0;158;23.34;960;99.9;1;519;0;0;0.0
W03-C-Antwerpen-West-FH03;0;0;322;192;514;0.0;1726;0;67;0.0;244;75.78;399;77.63;115;78;0;0;0.0
W03-C-Antwerpen-West-FH04;703;0;804;458;1262;87.44;4610;50;210;23.81;796;99.0;1228;97.31;34;8;34;7;19.52
