BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
701149;701149;;;;;;;NOK;
3937474;3937474;Lazarijstraat;94;;C;;;NOK;
2425362;2425362;;;;;;;NOK;
2425371;2425371;;;;;;;NOK;
700914;700914;;;;;2020-08-05;;;
3937202;3937202;;;;;2020-08-11;;;
700913;700913;;;;;;;NOK;
2410967;2410967;;;;;;;NOK;
5816536;Hendrik Van Veldekesingel 39-39A;Hendrik van Veldekesingel;39;;C;2020-07-12;2020-07-14;;
1421;Hendrik Van Veldekesingel 39-39A;Hendrik van Veldekesingel;39;;C;2020-07-12;2020-07-14;;
2436619;2436619;;;;;;;NOK;
3937445;3937445;;;;;2020-06-26;;;
1355665;1355665;;;;;2020-07-17;;;
701278;701278;;;;;;;NOK;
3937461;3937461;;;;;;;NOK;
3937462;3937462;;;;;;;NOK;
3937581;3937581;;;;;2020-08-11;;;
2410955;2410955;;;;;;;NOK;
701317;701317;;;;;2020-11-19;;;
700945;Plantenstraat 31-33;Plantenstraat;31;;E;2020-08-31;2020-08-31;;
4890530;Plantenstraat 31-33;Plantenstraat;31;;E;2020-08-31;2020-08-31;;
700925;700925;;;;;2020-08-05;;;
