BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
4882284;4882284;Armand Hertzstraat;38;;C;;18/11/2019;;
1121094;1121094;Grote Breemstraat;17;;C;;13/02/2020;;
3937364;3937364;Heilig-Hartplein;3;;C;;1/08/2019;;
701128;Heilig Hartplein 14a-15-16;Heilig-Hartplein;15;;E;;19/11/2019;;
3937366;Heilig Hartplein 14a-15-16;Heilig-Hartplein;15;;E;;19/11/2019;;
5309827;Heilig Hartplein 14a-15-16;Heilig-Hartplein;15;;E;;19/11/2019;;
701162;701162;Hekkelaarstraat;1;;C;;20/11/2019;;
1421;Hendrik Van Veldekesingel 39-39A;Hendrik van Veldekesingel;39;;C;;14/07/2020;;
5816536;Hendrik Van Veldekesingel 39-39A;Hendrik van Veldekesingel;39;;C;;14/07/2020;;
701317;701317;Kuringersteenweg;1;;C;;19/11/2019;;
3937448;3937448;Kuringersteenweg;3;;C;;19/11/2019;;
2423858;2423858;Kuringersteenweg;95;;D;;2/01/2020;;
3937461;3937461;Kuringersteenweg;247;;C;;2/02/2020;;
3937462;3937462;Kuringersteenweg;251;;C;;2/02/2020;;
2423994;2423994;Kuringersteenweg;170;A;C;;25/10/2019;;
4886734;4886734;Lazarijstraat;36;;C;;25/11/2019;;
4886736;4886736;Lazarijstraat;38;;C;;25/11/2019;;
3937474;3937474;Lazarijstraat;94;;C;;18/07/2019;;
3937201;3937201;Lijmstraat;7;;C;;8/01/2020;;
4269620;4269620;Lijmstraat;13;;C;;8/01/2020;;
700913;700913;Lijmstraat;17;;D;;2/02/2020;;
3937442;3937442;Oude Kuringerbaan;37;;C;;1/08/2019;;
2423637;2423637;Oude Kuringerbaan;39;;C;;1/08/2019;;
701142;701142;Oude Kuringerbaan;41;;C;;1/08/2019;;
701278;701278;Oude Kuringerbaan;121;;D;;2/02/2020;;
3937446;3937446;Oude Kuringerbaan;130;;C;;11/09/2019;;
3937586;3937586;Plantenstraat;8;;C;;5/09/2019;;
2436619;2436619;Rozenstraat;5;;C;;2/02/2020;;
