BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
2024913;Nassaustraat 18A-20-22;Nassaustraat;20;;XA;;2020-03-18;;
4059303;Nassaustraat 18A-20-22;Nassaustraat;20;;XA;;2020-03-18;;
2024906;Nassaustraat 18A-20-22;Nassaustraat;20;;XA;;2020-03-18;;
2024854;Nassaustraat 1-3;;;;;;;NOK;
108067;Nassaustraat 1-3;;;;;;;NOK;
4505621;Verbindingsdok-Westkaai 22-24;Verbindingsdok-Westkaai;22;;E;2020-03-19;2020-06-11;;
1128020;Verbindingsdok-Westkaai 22-24;Verbindingsdok-Westkaai;22;;E;2020-03-19;2020-06-11;;
109140;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
109139;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
5507308;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
5507312;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
2024759;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
2024771;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
2024775;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
5508518;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
5507311;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
5507310;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
5507309;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
4510550;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
4510554;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
2024763;Bordeauxstraat 10-10A-12-14-16_Napoleonkaai 11-13-15-17-19-21-23-25-27_Verbindingsdok-Oostkaai 21-23-27-29;Bordeauxstraat;12;;XA;;2020-06-11;;
