BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
5579530;5579530;;;;;2020-09-07;;;
297125;297125;Louis Parentstraat;17;;C;;;NOK;NOK
1491084;1491084;;;;;2020-09-07;;;
297133;297133;Eerste-Geniestraat;1;;C;;;NOK;NOK
2758020;2758020;;;;;2020-09-07;;;
302684;302684;;;;;2020-09-07;;;
302692;302692;;;;;2020-09-07;;;
302702;Zeedijk-Heist 290_Louis Parentstraat 2;Louis Parentstraat;2;;A;;;NOK;NOK
302675;Zeedijk-Heist 290_Louis Parentstraat 2;Louis Parentstraat;2;;A;;;NOK;NOK
2758771;2758771;Jozef Dhoorelaan;81;;A;;;NOK;NOK
2756904;2756904;Zeedijk-Heist;288;;A;;;NOK;NOK
2765019;2765019;;;;;2020-09-07;;;
292343;292343;;;;;2020-09-07;;;
4336094;4336094;Louis Parentstraat;19;;C;;;NOK;NOK
2756887;2756887;;;;;2020-09-07;;;
