BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
731598;731598;Avenue Henry Dunant - Henry Dunantlaan;31;;C;2020-05-26;2020-05-26;;
1120065;1120065;;;;;2020-07-17;;;
1624254;1624254;;;;;2020-07-06;;;
1624260;1624260;;;;;2020-07-17;;;
25447;25447;Avenue L̩on Grosjean - L̩on Grosjeanlaan;73;;XA;2019-12-17;2019-06-28;;
726872;726872;Avenue des D̩sirs - Begeertenlaan;11;;D;2020-05-25;2020-05-25;;
722662;722662;Avenue Jules Bordet - Jules Bordetlaan;142;;A;;2020-01-20;NOK;
1120031;Henry Dunantlaan 64-66;Avenue Henry Dunant - Henry Dunantlaan;66;;A;2020-10-25;2019-10-23;;
1120029;Henry Dunantlaan 64-66;Avenue Henry Dunant - Henry Dunantlaan;66;;A;2020-10-25;2019-10-23;;
1621811;Vincent Van Goghlaan 1-2-3-4-5-6-7-8-9-10;Avenue Vincent Van Gogh - Vincent Van Goghlaan;1;;C;2019-11-06;2020-03-29;;
1621812;Vincent Van Goghlaan 1-2-3-4-5-6-7-8-9-10;Avenue Vincent Van Gogh - Vincent Van Goghlaan;1;;C;2019-11-06;2020-03-29;;
1621813;Vincent Van Goghlaan 1-2-3-4-5-6-7-8-9-10;Avenue Vincent Van Gogh - Vincent Van Goghlaan;1;;C;2019-11-06;2020-03-29;;
1621814;Vincent Van Goghlaan 1-2-3-4-5-6-7-8-9-10;Avenue Vincent Van Gogh - Vincent Van Goghlaan;1;;C;2019-11-06;2020-03-29;;
1621815;Vincent Van Goghlaan 1-2-3-4-5-6-7-8-9-10;Avenue Vincent Van Gogh - Vincent Van Goghlaan;1;;C;2019-11-06;2020-03-29;;
1621816;Vincent Van Goghlaan 1-2-3-4-5-6-7-8-9-10;Avenue Vincent Van Gogh - Vincent Van Goghlaan;1;;C;2019-11-06;2020-03-29;;
1621817;Vincent Van Goghlaan 1-2-3-4-5-6-7-8-9-10;Avenue Vincent Van Gogh - Vincent Van Goghlaan;1;;C;2019-11-06;2020-03-29;;
3916119;Vincent Van Goghlaan 1-2-3-4-5-6-7-8-9-10;Avenue Vincent Van Gogh - Vincent Van Goghlaan;1;;C;2019-11-06;2020-03-29;;
3918850;Vincent Van Goghlaan 1-2-3-4-5-6-7-8-9-10;Avenue Vincent Van Gogh - Vincent Van Goghlaan;1;;C;2019-11-06;2020-03-29;;
4109913;Vincent Van Goghlaan 1-2-3-4-5-6-7-8-9-10;Avenue Vincent Van Gogh - Vincent Van Goghlaan;1;;C;2019-11-06;2020-03-29;;
1120033;1120033;Avenue Henry Dunant - Henry Dunantlaan;70;;A;;2019-12-20;NOK;
5583276;5583276;Avenue Henry Dunant - Henry Dunantlaan;72;;C;;2019-12-20;NOK;
1120034;1120034;Avenue Henry Dunant - Henry Dunantlaan;74;;A;;2019-12-20;NOK;
5583277;5583277;Avenue Henry Dunant - Henry Dunantlaan;76;;A;;2019-12-20;NOK;
1623644;1623644;Rue Colonel Bourg - Kolonel Bourgstraat;150;;XC;;2019-09-15;NOK;
731614;731614;;;;;2020-07-06;;;
1622015;1622015;Rue Georges De Lombaerde - G. De Lombaerdestraat;43;;D;;2020-02-04;NOK;
4129441;4129441;;;;;2020-07-06;;;
1468743;Leuvensesteenweg 913-913A-913B_Twee Huizenstraat 63;;;;;2019-10-01;;;
