BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
3515420;3515420;;;;;2020-07-17;;;
3512886;3512886;Regentiestraat;10;;XC;2020-07-06;29/06/2020;;
3512889;Regentiestraat 12-14;;;;;2020-08-04;;;
69561;Regentiestraat 12-14;;;;;2020-08-04;;;
3503470;3503470;;;;;2020-08-04;;;
3503476;3503476;;;;;2020-08-04;;;
3503478;Grote Markt 64-65;;;;;2020-08-04;;;
4443412;Grote Markt 64-65;;;;;2020-08-04;;;
69578;69578;;;;;2020-05-20;;;
3515375;3515375;Stationsstraat;80;;XC;2020-07-06;30/06/2020;;
3517985;3517985;;;;;2020-07-17;;;
3512864;Regentieplein 47-48-49-50-51-52;Regentieplein;47;;XA;2020-08-04;19/07/2019;;
3512866;Regentieplein 47-48-49-50-51-52;Regentieplein;47;;XA;2020-08-04;19/07/2019;;
3512868;Regentieplein 47-48-49-50-51-52;Regentieplein;47;;XA;2020-08-04;19/07/2019;;
3512870;Regentieplein 47-48-49-50-51-52;Regentieplein;47;;XA;2020-08-04;19/07/2019;;
3512871;Regentieplein 47-48-49-50-51-52;Regentieplein;47;;XA;2020-08-04;19/07/2019;;
3512873;Regentieplein 47-48-49-50-51-52;Regentieplein;47;;XA;2020-08-04;19/07/2019;;
4460318;4460318;;;;;2020-08-04;;;
69569;69569;;;;;2020-08-04;;;
106412;Grote Markt 70_Collegestraat 2;;;;;2020-07-17;;;
106417;Grote Markt 70_Collegestraat 2;;;;;2020-07-17;;;
3509104;3509104;;;;;2020-08-04;;;
76312;Grote Markt 49-50-51-52-53-54-55;;;;;2020-08-04;;;
3503467;Grote Markt 49-50-51-52-53-54-55;;;;;2020-08-04;;;
4460268;Grote Markt 49-50-51-52-53-54-55;;;;;2020-08-04;;;
3503468;Grote Markt 49-50-51-52-53-54-55;;;;;2020-08-04;;;
5577971;Grote Markt 49-50-51-52-53-54-55;;;;;2020-08-04;;;
3503463;Grote Markt 49-50-51-52-53-54-55;;;;;2020-08-04;;;
3503465;Grote Markt 49-50-51-52-53-54-55;;;;;2020-08-04;;;
1513912;1513912;;;;;2020-08-04;;;
1513938;1513938;Apostelstraat;30;;XC;2020-05-27;27/05/2020;;
76230;Houtbriel 18_Kalkstraat 1;;;;;2020-08-04;;;
76248;Houtbriel 18_Kalkstraat 1;;;;;2020-08-04;;;
1362196;1362196;;;;;2020-08-04;;;
76232;Sacramentsstraat 1-2;;;;;2020-08-04;;;
3513797;Sacramentsstraat 1-2;;;;;2020-08-04;;;
3487554;3487554;;;;;2020-07-17;;;
3487556;3487556;;;;;2020-07-17;;;
1353185;Dalstraat 7-9;;;;;2020-08-04;;;
3487559;Dalstraat 7-9;;;;;2020-08-04;;;
3511437;3511437;;;;;2020-08-04;;;
3503416;Grote Markt 11-12;Grote Markt;12;;XA;2020-08-04;16/07/2020;;
3503415;Grote Markt 11-12;Grote Markt;12;;XA;2020-08-04;16/07/2020;;
3503440;Grote Markt 31-32-33;;;;;2020-08-04;;;
3503443;Grote Markt 31-32-33;;;;;2020-08-04;;;
3503441;Grote Markt 31-32-33;;;;;2020-08-04;;;
3948703;Kokkelbeekstraat 69-73;;;;;2020-08-04;;;
3500636;Kokkelbeekstraat 69-73;;;;;2020-08-04;;;
96945;96945;;;;;2020-08-04;;;
3525151;3525151;Zamanstraat;44;;XC;2020-07-17;10/07/2020;;
3508563;3508563;;;;;2020-08-04;;;
6142599;6142599;;;;;;;NOK;
4442068;4442068;;;;;2020-08-04;;;
