LAM MK;LU;BU;SU;TOTAAL;BT
1786795;5;1;1;7;MDU
1786838;111;0;0;111;MDU
1786894;11;1;0;12;MDU
1786953;13;0;0;13;MDU
1786975;33;0;0;33;MDU
1866317;0;1;0;1;SDU
1892372;4;0;0;4;MDU
1892380;7;0;0;7;MDU
1892421;4;0;0;4;MDU
1892429;12;0;0;12;MDU
1892443;1;0;0;1;SDU
1892503;3;1;0;4;MDU
1905254;2;0;0;2;MDU
1905268;2;1;0;3;MDU
1905273;1;1;0;2;MDU
1905398;14;0;0;14;MDU
1905577;0;1;0;1;SDU
1905601;6;2;0;8;MDU
1905643;2;1;0;3;MDU
1905662;2;0;0;2;MDU
1948956;0;2;0;2;MDU
1948967;0;4;0;4;MDU
1949013;0;1;0;1;SDU
1949119;5;1;1;7;MDU
1949129;0;3;1;4;MDU
1949160;7;1;0;8;MDU
1949181;4;0;1;5;MDU
1949212;0;1;0;1;SDU
1950413;0;2;0;2;MDU
1960564;1;0;0;1;SDU
1960565;1;0;1;2;SDU
1960566;4;0;1;5;MDU
1960567;10;0;0;10;MDU
1960568;2;1;0;3;MDU
1960569;6;0;1;7;MDU
1960570;2;0;0;2;MDU
1960571;7;0;1;8;MDU
1960572;0;1;0;1;SDU
1960573;3;0;0;3;MDU
1960577;0;1;0;1;SDU
1960580;3;2;1;6;MDU
1960581;6;1;0;7;MDU
1960582;6;1;0;7;MDU
1960583;2;1;0;3;MDU
1960584;8;1;0;9;MDU
1960586;0;2;0;2;MDU
1960587;10;0;0;10;MDU
1960880;0;1;0;1;SDU
1960881;1;0;1;2;SDU
1960882;2;0;1;3;MDU
1960885;4;0;0;4;MDU
1960886;4;0;1;5;MDU
1960887;4;0;0;4;MDU
1960888;3;1;0;4;MDU
1960890;4;1;0;5;MDU
1960891;3;1;0;4;MDU
1960892;5;1;0;6;MDU
1960893;5;1;0;6;MDU
1960897;10;0;0;10;MDU
1970926;11;4;0;15;MDU
1970933;0;1;0;1;SDU
1970943;11;0;0;11;MDU
1970946;2;1;0;3;MDU
1970954;3;1;0;4;MDU
1970973;5;0;0;5;MDU
1970980;2;1;1;4;MDU
1970984;0;3;0;3;MDU
1970988;0;1;0;1;SDU
1984031;0;2;0;2;MDU
1984033;0;1;0;1;SDU
1986445;0;1;0;1;SDU
1986450;0;1;0;1;SDU
1986469;0;3;0;3;MDU
1986483;4;1;0;5;MDU
1986487;0;3;1;4;MDU
