Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH01;2448148;113;;;2448148;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;1;;C;2020-06-25;Jo De Clippel;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;707228;113;;;707228;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;7;;C;2020-06-25 09:20:24;Jo De Clippel;MDU;2;0;0;2;BUILDING template
HASSELT - FH01;4903189;113;;;4903189;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;1;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2406662;113;;;2406662;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;2;;C;2019-05-09;Dieu Jocelin;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406664;113;;;2406664;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;3;;C;2019-05-09;Dieu Jocelin;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406665;113;;;2406665;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;4;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2406667;113;;;2406667;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;5;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2406668;113;;;2406668;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;6;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;4186027;113;;;4186027;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;7;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;4903196;113;;;4903196;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;8;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2406669;113;;;2406669;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;9;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2406670;113;;;2406670;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;10;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2406672;113;;;2406672;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;11;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2406673;113;;;2406673;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;12;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2406674;113;;;2406674;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;13;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2406675;113;;;2406675;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;14;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;4903204;113;;;4903204;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;15;;C;2019-05-09;Dieu Jocelin;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;4162140;113;;;4162140;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;16;;C;2019-05-09;Dieu Jocelin;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406676;113;;;2406676;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;17;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2406677;113;;;2406677;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;Woutersplein;18;;C;2017-11-16;;MDU;;;;;BUILDING template
HASSELT - FH01;2448151;113;;;2448151;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;3;;C;2018-09-16;Geert Stockman;MDU;0;11;0;11;BUILDING template
HASSELT - FH01;2448160;113;;;2448160;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;11;;C;2018-09-16;Geert Stockman;MDU;0;7;0;7;BUILDING template
HASSELT - FH01;2448161;113;;;2448161;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;13;;C;2018-09-16;Geert Stockman;MDU;0;6;0;6;BUILDING template
HASSELT - FH01;2448163;113;;;2448163;7072280;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;15;;C;2019-05-09;Dieu Jocelin;MDU;1;0;0;1;BUILDING template
HASSELT - FH01;NB-35009B6c69;113;;;NB-35009B6c69;;Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;5;;C;2019-11-05;Jo De Clippel;MDU;0;2;0;2;BUILDING template
