Projectnummer;Opdrachtnummer;Blok;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
MECHELEN - FH01;6380419;BL0122;6380419;;;Steenweg;1;;;;2018-12-14;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;905652;BL0110;905652;;;Drabstraat;2;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;5749434;BL0104;5749434;;;Varkensstraat;17;;;;2018-11-12;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;3033822;BL0110;3033822;;;Drabstraat;4;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;929556;BL0108;929556;;;Schoutetstraat;1;;;;;Kevin Dekens;MDU;0;2;1;3;BUILDING template
MECHELEN - FH01;3033823;BL0110;3033823;;;Drabstraat;6;;;D;2020-01-14 12:10:21;Jo De Clippel;MDU;0;3;0;3;BUILDING template
MECHELEN - FH01;904218;BL0128;904218;;;Korte Schipstraat;1;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;929557;BL0101;929557;;;Schoutetstraat;2;;;;;Kevin Dekens;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;6592010;BL0113;6592010;;;Thaborstraat;35;B;;;2019-10-28;Dirk Marien;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;3047553;BL0128;3047553;;;Korte Schipstraat;3;;;D;2018-09-06;Bernardo Kana da Rosa;MDU;0;2;0;2;BUILDING template
MECHELEN - FH01;4740708;BL0108;4740708;;;Schoutetstraat;3;;;;;Kevin Dekens;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;3035224;BL0122;3035224;;;Geitestraat;23;;;;2020-03-09 11:05:10;Marouane Zoubir;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;904239;BL0128;904239;;;Korte Schipstraat;5;;;XC;2020-01-08;Jo De Clippel;MDU;0;6;0;6;BUILDING template
MECHELEN - FH01;3047870;BL0101;3047870;;;Schoutetstraat;4;;;;;Kevin Dekens;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;3035202;BL0122;3035202;;;Geitestraat;3;;;D;2020-02-04;Dieu Jocelin;MDU;1;3;1;5;BUILDING template
MECHELEN - FH01;4748739;BL0110;4748739;;;Drabstraat;14;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;904260;BL0128;904260;;;Korte Schipstraat;7;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;4732895;BL0101;4732895;;;Schoutetstraat;6;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;904904;BL0122;904904;;;Geitestraat;1;;;D;2020-03-09 10:20:09;Marouane Zoubir;MDU;1;0;1;2;BUILDING template
MECHELEN - FH01;3052863;BL0107;3052863;;;Wollemarkt;30;;;;2019-10-28;Dirk Marien;SDU;1;0;0;1;BUILDING template
MECHELEN - FH01;905649;BL0110;905649;;;Drabstraat;18;;;D;2020-01-15 09:25:18;Jo De Clippel;MDU;1;1;0;2;BUILDING template
MECHELEN - FH01;903516;BL0126;903516;;;Korte Schipstraat;8;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
