Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH08;4224151;BL0012;;4224151;;Acaciastraat 84-86-86A;Acaciastraat;84;;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
HASSELT - FH08;2407627;BL0012;;2407627;;Acaciastraat 84-86-86A;Acaciastraat;86;;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
HASSELT - FH08;4167761;BL0012;;4167761;;Acaciastraat 84-86-86A;Acaciastraat;86;A;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
HASSELT - FH08;3937241;BL0013;;3937241;;Boekstraat 104-106;Boekstraat;104;;;;;Geert Stockman;MDU;0;2;0;2;BUILDING template
HASSELT - FH08;3937242;BL0013;;3937242;;Boekstraat 104-106;Boekstraat;106;;;;;Geert Stockman;MDU;0;3;0;3;BUILDING template
HASSELT - FH08;708377;BL0001;;708377;;Hendrik van Veldekesingel 1-3;Hendrik van Veldekesingel;1;;;;;Maayken Vanfleteren;MDU;0;12;1;13;BUILDING template
HASSELT - FH08;708378;BL0001;;708378;;Hendrik van Veldekesingel 1-3;Hendrik van Veldekesingel;3;;;;;Maayken Vanfleteren;MDU;0;11;1;12;BUILDING template
HASSELT - FH08;708375;BL0001;;708375;;Hendrik van Veldekesingel 9-11;Hendrik van Veldekesingel;9;;;;;Maayken Vanfleteren;MDU;0;16;1;17;BUILDING template
HASSELT - FH08;708374;BL0001;;708374;;Hendrik van Veldekesingel 9-11;Hendrik van Veldekesingel;11;;;;;Maayken Vanfleteren;MDU;0;17;1;18;BUILDING template
HASSELT - FH08;5969810;BL0006;;5969810;;Jef Koningslaan 2-4-6-8-10-12;Jef Koningslaan;2;;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
HASSELT - FH08;6020649;BL0006;;6020649;;Jef Koningslaan 2-4-6-8-10-12;Jef Koningslaan;4;;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
HASSELT - FH08;6174512;BL0006;;6174512;;Jef Koningslaan 2-4-6-8-10-12;Jef Koningslaan;6;;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
HASSELT - FH08;6627459;BL0006;;6627459;;Jef Koningslaan 2-4-6-8-10-12;Jef Koningslaan;8;;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
HASSELT - FH08;5975879;BL0006;;5975879;;Jef Koningslaan 2-4-6-8-10-12;Jef Koningslaan;10;;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
HASSELT - FH08;6644172;BL0006;;6644172;;Jef Koningslaan 2-4-6-8-10-12;Jef Koningslaan;12;;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
HASSELT - FH08;5508969;BL0002;;5508969;;Jef Koningslaan 7A-7B;Jef Koningslaan;7;B;;;;Maayken Vanfleteren;MDU;0;1;0;1;BUILDING template
HASSELT - FH08;5908169;BL0002;;5908169;;Jef Koningslaan 7A-7B;Jef Koningslaan;7;A;;;;Maayken Vanfleteren;MDU;0;1;0;1;BUILDING template
HASSELT - FH08;3937739;BL0019;;3937739;;Monseigneur Kerkhofsstraat 16-18;Monseigneur Kerkhofsstraat;16;;;;;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
HASSELT - FH08;3937740;BL0019;;3937740;;Monseigneur Kerkhofsstraat 16-18;Monseigneur Kerkhofsstraat;18;;;;;Hidde Kiekens;MDU;0;4;0;4;BUILDING template
HASSELT - FH08;5853063;BL0018;;5853063;;Vredestraat 2-2A-4-6;Vredestraat;2;;;;;Hidde Kiekens;MDU;0;26;0;26;BUILDING template
HASSELT - FH08;6239974;BL0018;;6239974;;Vredestraat 2-2A-4-6;Vredestraat;2;A;;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
HASSELT - FH08;704806;BL0018;;704806;;Vredestraat 2-2A-4-6;Vredestraat;4;;;;;Hidde Kiekens;MDU;2;10;1;13;BUILDING template
HASSELT - FH08;5900971;BL0018;;5900971;;Vredestraat 2-2A-4-6;Vredestraat;6;;;;;Hidde Kiekens;MDU;2;15;1;18;BUILDING template
