Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
ROESELARE - FH03;3417961;BL0324;;165783;3417961;;Polenplein 17A-18-18A;Polenplein;18;;D;2018-02-22;Belhassen OUERTANI;MDU;0;9;1;10;N;;BUILDING template
ROESELARE - FH03;3417960;BL0324;;165782;3417960;;Polenplein 17A-18-18A;Polenplein;17;A;D;2017-09-30;;MDU;1;0;0;1;N;;BUILDING template
ROESELARE - FH03;4351246;BL0324;;177047;4351246;;Polenplein 17A-18-18A;Polenplein;18;A;D;2017-09-30;;MDU;1;0;0;1;N;;BUILDING template
