Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate;TSA SIGNED;Meetstaat
ANTWERPEN-WEST - FH05;2067003;BL0504;;35730079;2067003;;;Zwartzustersstraat;21;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;1863704;BL0554;;641174;1863704;;;Kromme-Elleboogstraat;7;;;;Marouane Zoubir;SDU;0;1;0;1;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;2008254;BL0560;;662449;2008254;;Sint Michielskaai 19-20;Sint-Michielskaai;19;;;;Marouane Zoubir;MDU;0;5;1;6;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;2061185;BL0546;;683188;2061185;;;Vlasmarkt;17;;;;Marouane Zoubir;MDU;0;4;0;4;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;4509488;BL0533;;706943;4509488;;;Sint-Katelijnevest;14;;;;;SDU;1;0;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;58125;BL0519;;714040;58125;;;Vleeshouwersstraat;15;;;;;MDU;0;2;0;2;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;2067004;BL0504;;35730077;2067004;;;Zwartzustersstraat;23;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;1863706;BL0554;;641175;1863706;;;Kromme-Elleboogstraat;9;;;;Marouane Zoubir;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2008352;BL0562;;662450;2008352;;;Sint-Michielskaai;31;;;;Marouane Zoubir;MDU;1;6;0;7;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;2061186;BL0548;;683189;2061186;;;Vlasmarkt;18;;;;Marouane Zoubir;MDU;1;9;0;10;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;4509497;BL0533;;706944;4509497;;;Hendrik Conscienceplein;10;;;;;MDU;2;0;0;2;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;58126;BL0519;;714041;58126;;;Vleeshouwersstraat;23;;;;;MDU;0;6;0;6;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2067008;BL0509;;35730076;2067008;;;Zwartzustersstraat;26;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;1863707;BL0556;;641176;1863707;;;Kromme-Elleboogstraat;10;;;;Marouane Zoubir;MDU;0;4;0;4;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2008376;BL0562;;662451;2008376;;;Sint-Michielskaai;32;;;;Marouane Zoubir;MDU;0;5;0;5;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;2061187;BL0546;;683190;2061187;;;Vlasmarkt;19;;;;Marouane Zoubir;SDU;1;0;0;1;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;4509500;BL0533;;706945;4509500;;;Hendrik Conscienceplein;16;;;;;MDU;1;2;0;3;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;58127;BL0505;;714042;58127;;;Kleine Kraaiwijk;14;;;;;MDU;5;0;0;5;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2067011;BL0509;;35730075;2067011;;;Zwartzustersstraat;30;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;1863717;BL0554;;641177;1863717;;;Kromme-Elleboogstraat;11;;;;Marouane Zoubir;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2008397;BL0562;;662452;2008397;;;Sint-Michielskaai;33;;;;Marouane Zoubir;MDU;3;5;1;9;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;2061189;BL0546;;683191;2061189;;;Vlasmarkt;21;;;;Marouane Zoubir;SDU;1;0;0;1;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;4509574;BL0505;;706947;4509574;;;Kleine Kraaiwijk;6;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;58130;BL0519;;714043;58130;;;Zirkstraat;12;;;;;SDU;1;0;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2068337;BL0533;;35730094;2068337;;;Sint-Katelijnevest;8;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;1863722;BL0556;;641178;1863722;;;Kromme-Elleboogstraat;12;;;;Marouane Zoubir;MDU;0;3;0;3;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2008479;BL0564;;11525582;2008479;;Sint-Michielskaai 35-36;Sint-Michielskaai;35;;;;Marouane Zoubir;MDU;1;6;1;8;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;2061190;BL0548;;683192;2061190;;;Vlasmarkt;22;;;;Marouane Zoubir;MDU;1;3;0;4;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;4509598;BL0505;;706948;4509598;;;Gorterstraat;13;;;;;MDU;0;8;0;8;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;58131;BL0508;;714044;58131;;;Zirkstraat;9;;;;;MDU;0;3;0;3;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2069007;BL0539;;35730104;2069007;;;Gildekamersstraat;2;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;1863732;BL0554;;641179;1863732;;;Kromme-Elleboogstraat;13;;;;Marouane Zoubir;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2008606;BL0564;;662454;2008606;;;Sint-Michielskaai;37;;;;Marouane Zoubir;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2061191;BL0546;;683193;2061191;;;Vlasmarkt;23;;;;Marouane Zoubir;MDU;1;7;0;8;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;4509599;BL0505;;706949;4509599;;;Gorterstraat;19;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;58132;BL0508;;714045;58132;;;Zirkstraat;1;;;;;MDU;0;3;0;3;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2069055;BL0524;;35730108;2069055;;;Zilversmidstraat;5;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;1865629;BL0514;;641405;1865629;;;Engelse Beurs;3;;;;;MDU;1;1;0;2;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2008650;BL0564;;662455;2008650;;;Sint-Michielskaai;38;;;;Marouane Zoubir;MDU;0;6;0;6;N;;BUILDING template;;
ANTWERPEN-WEST - FH05;2061192;BL0548;;683194;2061192;;;Vlasmarkt;24;;;;Marouane Zoubir;MDU;1;2;0;3;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;4509607;BL0520;;706951;4509607;;;Burchtgracht;51;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;58134;BL0519;;714046;58134;;;Lange Doornikstraat;8;;;;;MDU;0;2;0;2;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;2069056;BL0539;;35730105;2069056;;;Zilversmidstraat;6;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
ANTWERPEN-WEST - FH05;1865632;BL0514;;641406;1865632;;;Engelse Beurs;5;;;;;SDU;0;1;0;1;Y;;BUILDING template;;
