Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ROESELARE - FH04;18607;404;;;18607;;;Kaaistraat;7;;C;2018-02-02 09:10:39;Rudi Caes;MDU;1;9;1;11;BUILDING template
ROESELARE - FH04;4353055;404;;;4353055;;Spanjestraat 8-10-12;Spanjestraat;8;;C;2018-02-14 15:41:03;Rudi Caes;MDU;0;9;1;10;BUILDING template
ROESELARE - FH04;1252322;419;;;1252322;;;Beversesteenweg;24;;A;2019-06-07;Bjorn De Pauw;MDU;2;9;1;12;BUILDING template
ROESELARE - FH04;4271792;410;;;4271792;;;Bruanestraat;44;;D;2018-03-19 16:21:19;Gunther Lamberts;MDU;0;9;0;9;BUILDING template
ROESELARE - FH04;3417544;409;;;3417544;;;Nijverheidsstraat;5;;D;2018-02-16 09:44:06;Rudi Caes;MDU;1;8;0;9;BUILDING template
ROESELARE - FH04;6059683;416;;;6059683;;;Mandellaan;182;;E;2018-03-19 16:21:11;Rudi Caes;MDU;0;8;1;9;BUILDING template
ROESELARE - FH04;3417067;412;;;3417067;;;Mandellaan;350;;D;2018-03-19 16:11:17;Muzaffer Erkoç;MDU;0;8;0;8;BUILDING template
ROESELARE - FH04;1252055;429;;;1252055;;Beversesteenweg 194-196;Beversesteenweg;194;;B;2018-03-20 14:31:01;Muzaffer Erkoç;MDU;0;8;0;8;BUILDING template
ROESELARE - FH04;1252056;429;;;1252056;;Beversesteenweg 194-196;Beversesteenweg;196;;B;2018-03-21 08:15:27;Muzaffer Erkoç;MDU;0;8;0;8;BUILDING template
ROESELARE - FH04;862516;429;;;862516;;Beversesteenweg 198-200;Beversesteenweg;198;;B;2018-03-21 08:55:02;Muzaffer Erkoç;MDU;0;8;0;8;BUILDING template
ROESELARE - FH04;1252065;429;;;1252065;;Beversesteenweg 198-200;Beversesteenweg;200;;B;2018-03-21 09:05:02;Muzaffer Erkoç;MDU;0;8;0;8;BUILDING template
