Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate;TSA SIGNED;Meetstaat
HASSELT - FH01;2407552;BL0102;3;381511;2407552;;Torenstraat 40-42_Abelenstraat 7;Abelenstraat;7;;XA;2019-09-05;Kurt Holsteyns;MDU;0;11;1;12;N;;BUILDING template;2018-04-11 14:21;Y
HASSELT - FH01;2442323;BL0119;2;390942;2442323;;;Thonissenlaan;42;;XA;2019-09-09;Kurt Holsteyns;MDU;2;7;1;10;N;;BUILDING template;2019-09-09 10:19:43;Y
HASSELT - FH01;707232;BL0101;3;5158092;707232;8410404;Vooruitzichtstraat 50_Sint-Truiderssteenweg 93;Sint-Truidersteenweg;93;;XC;2018-06-15;Kevin Dekens;MDU;0;1;1;2;Y;;BUILDING template;2018-09-25 11:59;Y
HASSELT - FH01;707206;BL0102;3;5158088;707206;9163878;Torenstraat 22-24-26;Torenstraat;22;;XA;2019-09-05;Kurt Holsteyns;MDU;0;11;1;12;N;;BUILDING template;2018-04-11 14:12;Y
HASSELT - FH01;3937674;BL0102;3;394785;3937674;9163879;Torenstraat 28-30-32;Torenstraat;32;;XA;2019-09-05;Kurt Holsteyns;MDU;0;12;1;13;N;;BUILDING template;2018-04-11 14:15;Y
HASSELT - FH01;2442776;BL0102;3;5157808;2442776;;Torenstraat 34-36-38;Torenstraat;34;;XA;2019-09-05;Kurt Holsteyns;MDU;0;12;1;13;N;;BUILDING template;2018-04-11 14:18;Y
HASSELT - FH02;2442438;BL0201;4;390966;2442438;21140776;Thonissenlaan 81-83_Demerstraat 94-92-90-88-86;Thonissenlaan;83;;XC;2019-08-23 11:15:27;Jo De Clippel;MDU;0;12;1;13;N;N;BUILDING template;2019-07-09;Y
HASSELT - FH02;2442280;BL0202;4;390936;2442280;;;Thonissenlaan;33;;XA;2020-07-17;Jo De Clippel;MDU;2;10;1;13;N;;BUILDING template;2019-08-28;Y
HASSELT - FH02;2438199;BL0242;5;390139;2438199;;;de Schiervellaan;15;;XA;2020-07-08;Jo De Clippel;MDU;0;10;1;11;NA;;BUILDING template;2019-08-30;Y
HASSELT - FH02;655206;BL0204;1;400114;655206;;;Martelarenlaan;5;;XA;2019-09-09;Jo De Clippel;MDU;2;9;1;12;N;;BUILDING template;2019-09-06;Y
HASSELT - FH04;3937581;BL0409;2;394722;3937581;;;Palmstraat;44;A;XC;2019-10-21 13:05:17;Jo De Clippel;MDU;0;4;0;4;Y;;BUILDING template;2020-08-11;Y
HASSELT - FH05;2405872;BL0003;1;10522556;2405872;33629368;Gouverneur Roppesingel 133-135_Oude Luikerbaan 160;Gouverneur Roppesingel;133;;XC;2020-09-23 10:05:08;Jo De Clippel;MDU;1;0;3;4;N;N;BUILDING template;2020-09-22 13:33:16;Y
HASSELT - FH05;3937166;BL0003;1;10522567;3937166;33629368;Gouverneur Roppesingel 133-135_Oude Luikerbaan 160;Gouverneur Roppesingel;135;;XC;2020-09-23 10:00:14;Jo De Clippel;MDU;1;3;3;7;N;Y;BUILDING template;2020-09-22 13:33:47;Y
HASSELT - FH05;2426334;BL0003;1;5166168;2426334;33629368;Gouverneur Roppesingel 133-135_Oude Luikerbaan 160;Oude Luikerbaan;160;;XC;2020-09-23 11:10:12;Jo De Clippel;MDU;0;4;1;5;N;Y;BUILDING template;2020-09-22 13:32:46;Y
HASSELT - FH06;2426287;BL0004;3;387545;2426287;35760058;Oude Luikerbaan 63A-65;Oude Luikerbaan;63;A;XC;2020-06-22 08:25:09;Dieu Jocelin;MDU;1;2;1;4;N;;BUILDING template;2020-07-06;Y
HASSELT - FH06;78331;BL0004;3;404455;78331;35760058;Oude Luikerbaan 63A-65;Oude Luikerbaan;65;;XC;2020-06-22 08:55:08;Dieu Jocelin;MDU;0;3;1;4;N;;BUILDING template;2020-07-06;Y
