Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH01;108067;108067;;Nassaustraat 1-3;Nassaustraat;1;;;A;2020-02-18 17:10:15;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;3962177;3962177;20521214;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;40;;20191004142326;XA;2020-02-06;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1960586;1960586;;Kattendijkdok-Westkaai 31-32-32A;Kattendijkdok-Westkaai;31;;;A;2020-02-18 12:30:36;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1960587;1960587;;Kattendijkdok-Westkaai 31-32-32A;Kattendijkdok-Westkaai;32;;;A;2020-02-18 12:30:36;olivier collignon;MDU;0;10;1;11;BUILDING template
ANTWERPEN-WEST - FH01;4505465;4505465;;Kempischdok-Westkaai 14-20;Kempischdok-Westkaai;14;;;D;2019-09-13 10:50:12;Senel Koksal;MDU;0;4;0;4;BUILDING template
ANTWERPEN-WEST - FH01;108785;108785;;Kribbestraat 2-4;Kribbestraat;2;;;A;2019-12-16 17:10:13;Senel Koksal;MDU;0;3;0;3;BUILDING template
ANTWERPEN-WEST - FH01;3962176;3962176;;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;38;;20191004142326;XA;2020-02-06;olivier collignon;MDU;0;12;2;14;BUILDING template
ANTWERPEN-WEST - FH01;1970943;1970943;14286066;Kribbestraat 6-8;Kribbestraat;6;;20190913130011;XA;2019-09-23 18:30:21;Geert Stockman;MDU;0;11;2;14;BUILDING template
ANTWERPEN-WEST - FH01;6242346;6242346;20521214;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;42;;20191004142326;XA;2020-02-06;olivier collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1970933;1970933;11196785;Kribbestraat 2-4;Kribbestraat;4;;20190705082415;A;2019-12-16 17:10:13;Senel Koksal;MDU;0;3;0;2;BUILDING template
ANTWERPEN-WEST - FH01;1970946;1970946;14286066;Kribbestraat 6-8;Kribbestraat;8;;20190913130011;XA;2019-09-23 18:30:21;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;5804911;5804911;20689391;Kattendijkdok Westkaai 51-54-56;Kattendijkdok-Westkaai;56;;20191011213223;A;2019-10-15 16:49:38;Geert Stockman;MDU;1;0;0;1;BUILDING template
