Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;;OPMERKINGEN;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
SCHAERBEEK - FH03;1675494;BL0010;;31152463;1675494;;Adolphe Lacomblélaan 14-16;Adolphe Lacomblélaan;14;;;;;;Yunus Emre;MDU;0;11;1;12;Y;;BUILDING template
SCHAERBEEK - FH03;950442;BL0010;;38006415;950442;;Adolphe Lacomblélaan 14-16;Adolphe Lacomblélaan;16;;;;;;Yunus Emre;MDU;0;11;1;12;Y;;BUILDING template
SCHAERBEEK - FH03;5585177;BL0010;;31152638;5585177;;Adolphe Lacomblélaan 18-20;Adolphe Lacomblélaan;18;;;;;;Yunus Emre;MDU;0;10;1;11;Y;;BUILDING template
SCHAERBEEK - FH03;950432;BL0010;;38006416;950432;;Adolphe Lacomblélaan 18-20;Adolphe Lacomblélaan;20;;;;;;Yunus Emre;MDU;0;10;1;11;Y;;BUILDING template
SCHAERBEEK - FH03;4117089;BL0010;;31152627;4117089;;Adolphe Lacomblélaan 22-24;Adolphe Lacomblélaan;22;;;;;;Yunus Emre;MDU;0;11;1;12;Y;;BUILDING template
SCHAERBEEK - FH03;950431;BL0010;;38006417;950431;;Adolphe Lacomblélaan 22-24;Adolphe Lacomblélaan;24;;;;;;Yunus Emre;MDU;0;11;1;12;Y;;BUILDING template
SCHAERBEEK - FH03;950434;BL0010;;31152739;950434;;Adolphe Lacomblélaan 4-6;Adolphe Lacomblélaan;4;;;;;;Yunus Emre;MDU;0;12;1;13;Y;;BUILDING template
SCHAERBEEK - FH03;1675489;BL0010;;38006411;1675489;;Adolphe Lacomblélaan 4-6;Adolphe Lacomblélaan;6;;;;;;Yunus Emre;MDU;0;12;1;13;Y;;BUILDING template
SCHAERBEEK - FH03;950433;BL0010;;38006412;950433;;Adolphe Lacomblélaan 8-10;Adolphe Lacomblélaan;10;;;;;;Yunus Emre;MDU;0;10;1;11;Y;;BUILDING template
SCHAERBEEK - FH03;5585175;BL0010;;31152637;5585175;;Adolphe Lacomblélaan 8-10;Adolphe Lacomblélaan;8;;;;;;Yunus Emre;MDU;0;10;1;11;Y;;BUILDING template
SCHAERBEEK - FH03;949582;BL0002;;31152702;949582;;Auguste Reyerslaan 15-17;Auguste Reyerslaan;15;;;;;;Yunus Emre;MDU;0;12;1;13;Y;;BUILDING template
SCHAERBEEK - FH03;1678050;BL0002;;38006430;1678050;;Auguste Reyerslaan 15-17;Auguste Reyerslaan;17;;;;;;Yunus Emre;MDU;0;12;1;13;Y;;BUILDING template
SCHAERBEEK - FH03;1678056;BL0008;;31152551;1678056;;Auguste Reyerslaan 41-43;Auguste Reyerslaan;41;;;;;;Yunus Emre;MDU;0;20;1;21;Y;;BUILDING template
SCHAERBEEK - FH03;951310;BL0008;;31152740;951310;;Auguste Reyerslaan 41-43;Auguste Reyerslaan;43;;;;;;Yunus Emre;MDU;0;20;1;21;Y;;BUILDING template
SCHAERBEEK - FH03;1678059;BL0008;;31152552;1678059;;Auguste Reyerslaan 45-47;Auguste Reyerslaan;45;;;;;;Yunus Emre;MDU;1;16;1;18;Y;;BUILDING template
SCHAERBEEK - FH03;1678060;BL0008;;38006431;1678060;;Auguste Reyerslaan 45-47;Auguste Reyerslaan;47;;;;;;Yunus Emre;MDU;1;16;1;18;Y;;BUILDING template
SCHAERBEEK - FH03;5585257;BL0009;;31152641;5585257;;Auguste Reyerslaan 67-69;Auguste Reyerslaan;67;;;;;;Yunus Emre;MDU;0;16;1;17;Y;;BUILDING template
SCHAERBEEK - FH03;951339;BL0009;;31152754;951339;;Auguste Reyerslaan 67-69;Auguste Reyerslaan;69;;;;;;Yunus Emre;MDU;0;16;1;17;Y;;BUILDING template
SCHAERBEEK - FH03;4119457;BL0005;;31152629;4119457;;Diamantlaan 12-14;Diamantlaan;12;;;;;;Yunus Emre;MDU;1;0;0;1;Y;;BUILDING template
SCHAERBEEK - FH03;1681470;BL0005;;38006435;1681470;;Diamantlaan 12-14;Diamantlaan;14;;;;;;Yunus Emre;MDU;1;0;0;1;Y;;BUILDING template
SCHAERBEEK - FH03;5585369;BL0009;;31152644;5585369;;Diamantlaan 144-146;Diamantlaan;144;;;;;;Yunus Emre;MDU;1;0;0;1;Y;;BUILDING template
SCHAERBEEK - FH03;951340;BL0009;;38006442;951340;;Diamantlaan 144-146;Diamantlaan;146;;;;;;Yunus Emre;MDU;0;7;2;9;Y;;BUILDING template
SCHAERBEEK - FH03;1681561;BL0009;;31152593;1681561;;Diamantlaan 158-160;Diamantlaan;158;;;;;;Yunus Emre;MDU;1;4;0;5;Y;;BUILDING template
SCHAERBEEK - FH03;1504945;BL0009;;38006443;1504945;;Diamantlaan 158-160;Diamantlaan;160;;;;;;Yunus Emre;MDU;1;4;0;5;Y;;BUILDING template
SCHAERBEEK - FH03;947981;BL0005;;31152645;947981;;Diamantlaan 2-4;Diamantlaan;2;;;;;;Yunus Emre;MDU;1;4;0;5;Y;;BUILDING template
SCHAERBEEK - FH03;1681462;BL0005;;38006434;1681462;;Diamantlaan 2-4;Diamantlaan;4;;;;;;Yunus Emre;MDU;1;4;0;5;Y;;BUILDING template
SCHAERBEEK - FH03;1332839;BL0005;;31152316;1332839;;Diamantlaan 26-28;Diamantlaan;26;;;;;;Yunus Emre;MDU;1;10;1;12;Y;;BUILDING template
