Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
KNOKKE - FH01;5976533;5976533;13685212;Piers de Raveschootlaan 45-45A_Alfred Verweeplein 12-13-14-15;Piers de Raveschootlaan;45;;2,01907E+13;XA;2019-09-25;Peter Cremers;MDU;0;6;2;8;BUILDING template
KNOKKE - FH01;4347655;4347655;21601682;Piers de Raveschootlaan 47-49;Piers de Raveschootlaan;49;;2,01912E+13;XC;2019-09-27;Peter Cremers;MDU;1;0;0;1;BUILDING template
KNOKKE - FH01;338438;338438;21601682;Piers de Raveschootlaan 47-49;Piers de Raveschootlaan;47;;2,01912E+13;XC;2019-09-27;Peter Cremers;MDU;0;10;1;11;BUILDING template
KNOKKE - FH01;333507;333507;20942078;Sebastiaan Nachtegaelestraat 2_Smedenstraat1;Sebastiaan Nachtegaelestraat;2;;2,01911E+13;A;2019-08-06;Geert Stockman;MDU;0;23;1;24;BUILDING template
KNOKKE - FH01;2766219;2766219;20942078;Sebastiaan Nachtegaelestraat 2_Smedenstraat1;Smedenstraat;1;;2,01911E+13;A;2019-08-06;Geert Stockman;MDU;0;9;1;10;BUILDING template
KNOKKE - FH01;4343343;4343343;21436795;Sebastiaan Nachtegaelestraat 5-7;Sebastiaan Nachtegaelestraat;7;;2,01911E+13;XC;2019-09-25;Peter Cremers;MDU;0;8;2;10;BUILDING template
KNOKKE - FH01;1279172;1279172;21436795;Sebastiaan Nachtegaelestraat 5-7;Sebastiaan Nachtegaelestraat;5;;2,01911E+13;XC;2019-09-25;Peter Cremers;MDU;0;8;1;9;BUILDING template
KNOKKE - FH01;6628880;6628880;20943880;Smedenstraat 13-15;Smedenstraat;13;;2,02002E+13;D;2019-10-12;Geert Stockman;MDU;0;1;0;1;BUILDING template
KNOKKE - FH01;2766237;2766237;20943880;Smedenstraat 13-15;Smedenstraat;15;;2,02002E+13;D;2019-10-12;Geert Stockman;MDU;1;0;1;2;BUILDING template
KNOKKE - FH01;321020;321020;;Victor Lamoralstraat 1-3;Victor Lamoralstraat;1;;;A;2019-10-20;Geert Stockman;MDU;1;5;1;7;BUILDING template
KNOKKE - FH01;6590818;6590818;20942064;Victor Lamoralstraat 1-3;Victor Lamoralstraat;3;;2,0191E+13;A;2019-10-20;Geert Stockman;MDU;0;1;0;1;BUILDING template
