Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH05;6590590;BL0006;;6590590;;;Gouverneur Roppesingel;159;;;;;;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;328550;BL0004;;328550;;;Danielsstraat;26;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;2448981;BL0004;;2448981;;;Zomerstraat;44;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;6590591;BL0006;;6590591;;;Gouverneur Roppesingel;157;;;;;;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;2412591;BL0006;;2412591;;;Danielsstraat;27;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;2448982;BL0004;;2448982;;;Zomerstraat;46;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;6590592;BL0003;;6590592;;;Herfststraat;12;;;;;;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;2412594;BL0006;;2412594;;;Danielsstraat;29;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;4896825;BL0005;;4896825;;;Zomerstraat;47;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;6590593;BL0003;;6590593;;;Herfststraat;10;;;;;;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;2412597;BL0006;;2412597;;;Danielsstraat;31;;;;;Dieu Jocelin;MDU;0;6;0;6;BUILDING template
HASSELT - FH05;4896800;BL0004;;4896800;;;Zomerstraat;48;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;6590594;BL0003;;6590594;;;Herfststraat;4;;;;;;SDU;0;1;0;1;BUILDING template
HASSELT - FH05;2405870;BL0003;;2405870;;;Gouverneur Roppesingel;131;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH05;2448983;BL0005;;2448983;;;Zomerstraat;49;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
