Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
EVERE - FH03;828533;BL0321;;828533;;A Vanden Bosschestraat 48_Onze Lieve Vrouwlaan 134;A. Vanden Bosschestraat - Rue A. Vanden Bossche;48;;;;;Marouane Zoubir;MDU;0;10;0;10;BUILDING template
EVERE - FH03;25028;BL0314;;25028;;A Vanden Bosschestraat 48_Onze Lieve Vrouwlaan 134;Onze Lieve Vrouwlaan - Avenue Notre-Dame;134;;;;;Marouane Zoubir;MDU;1;0;0;1;BUILDING template
EVERE - FH03;1623773;BL0323;;1623773;;A Vanden Bosschestraat 63-65;A. Vanden Bosschestraat - Rue A. Vanden Bossche;63;;;;;Marouane Zoubir;MDU;0;2;0;2;BUILDING template
EVERE - FH03;4106903;BL0323;;4106903;;A Vanden Bosschestraat 63-65;A. Vanden Bosschestraat - Rue A. Vanden Bossche;65;;;;;Marouane Zoubir;MDU;0;2;0;2;BUILDING template
EVERE - FH03;1517718;BL0337;;1517718;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;10;;;;;Marouane Zoubir;MDU;0;14;1;15;BUILDING template
EVERE - FH03;1620378;BL0337;;1620378;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;11;;;;;Marouane Zoubir;MDU;1;0;1;2;BUILDING template
EVERE - FH03;6663506;BL0337;;6663506;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;12;;;;;Marouane Zoubir;MDU;0;1;0;1;BUILDING template
EVERE - FH03;1330950;BL0337;;1330950;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;13;;;;;Marouane Zoubir;MDU;0;10;1;11;BUILDING template
EVERE - FH03;6663508;BL0337;;6663508;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;14;;;;;Marouane Zoubir;MDU;0;1;0;1;BUILDING template
EVERE - FH03;1620379;BL0337;;1620379;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;15;;;;;Marouane Zoubir;MDU;0;1;0;1;BUILDING template
EVERE - FH03;1286900;BL0337;;1286900;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;16;;;;;Marouane Zoubir;MDU;0;8;1;9;BUILDING template
EVERE - FH03;1331803;BL0337;;1331803;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;17;;;;;Marouane Zoubir;MDU;1;0;0;1;BUILDING template
EVERE - FH03;1359110;BL0337;;1359110;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;18;;;;;Marouane Zoubir;MDU;1;0;0;1;BUILDING template
EVERE - FH03;1303896;BL0337;;1303896;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;19;;;;;Marouane Zoubir;MDU;0;10;1;11;BUILDING template
EVERE - FH03;1299874;BL0337;;1299874;;Andalusielaan 10-11-12-13-14-15-16-17-18-19-20;Andalusielaan - Avenue de l Andalousie;20;;;;;Marouane Zoubir;MDU;0;15;1;16;BUILDING template
EVERE - FH03;1620377;BL0343;;1620377;;Andalusielaan 8-9;Andalusielaan - Avenue de l Andalousie;8;;;;;Marouane Zoubir;MDU;0;22;1;23;BUILDING template
EVERE - FH03;1329510;BL0343;;1329510;;Andalusielaan 8-9;Andalusielaan - Avenue de l Andalousie;9;;;;;Marouane Zoubir;MDU;0;22;1;23;BUILDING template
EVERE - FH03;4245253;BL0331;;4245253;;August De Boeckstraat 31-33;August De Boeckstraat - Rue Auguste De Boeck;31;;;;;Marouane Zoubir;MDU;0;1;0;1;BUILDING template
EVERE - FH03;4114665;BL0331;;4114665;;August De Boeckstraat 31-33;August De Boeckstraat - Rue Auguste De Boeck;33;;;;;Marouane Zoubir;MDU;0;1;0;1;BUILDING template
EVERE - FH03;838794;BL0334;;838794;;August De Boeckstraat 54-56-58;August De Boeckstraat - Rue Auguste De Boeck;54;;;;;Marouane Zoubir;MDU;0;10;1;11;BUILDING template
EVERE - FH03;839670;BL0334;;839670;;August De Boeckstraat 54-56-58;August De Boeckstraat - Rue Auguste De Boeck;56;;;;;Marouane Zoubir;MDU;0;10;0;10;BUILDING template
EVERE - FH03;839671;BL0334;;839671;;August De Boeckstraat 54-56-58;August De Boeckstraat - Rue Auguste De Boeck;58;;;;;Marouane Zoubir;MDU;0;8;0;8;BUILDING template
EVERE - FH03;830609;BL0302;;830609;;Edward Deknoopstraat 25-27;Edward Deknoopstraat - Rue Edouard Deknoop;25;;;;;Marouane Zoubir;MDU;0;12;1;13;BUILDING template
EVERE - FH03;830608;BL0302;;830608;;Edward Deknoopstraat 25-27;Edward Deknoopstraat - Rue Edouard Deknoop;27;;;;;Marouane Zoubir;MDU;0;12;1;13;BUILDING template
