Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Bg Name ifh;Kolom1;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
SINT-NIKLAAS - FH02;75749;BL0210;2;75749;;Walburgstraat 24-24A;;ONWAAR;Walburgstraat;24;;;;;Youssef Abdellaoui;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;;BL0203;;;;Vermorgenstraat 30A-30B;#N/B;#N/B;Vermorgenstraat;30;A;;;;;MDU;;;;;
SINT-NIKLAAS - FH02;5820396;BL0203;1;5820396;11489697;Vermorgenstraat 30A-30B;Vermorgenstraat 30-30B;ONWAAR;Vermorgenstraat;30;B;20200107114555;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;5714641;BL0203;1;5714641;;Vermorgenstraat 28A-28B-28C-28D-28E-28F;;ONWAAR;Vermorgenstraat;28;B;;XC;2020-05-11 11:15;Geert Stockman;MDU;0;6;2;8;BUILDING template
SINT-NIKLAAS - FH02;5720110;BL0203;1;5720110;;Vermorgenstraat 28A-28B-28C-28D-28E-28F;;ONWAAR;Vermorgenstraat;28;C;;XC;2020-05-11 13:25;Geert Stockman;MDU;0;7;1;8;BUILDING template
SINT-NIKLAAS - FH02;5804176;BL0203;1;5804176;;Vermorgenstraat 28A-28B-28C-28D-28E-28F;;ONWAAR;Vermorgenstraat;28;D;;C;2020-05-11 13:20;Geert Stockman;MDU;0;7;0;7;BUILDING template
SINT-NIKLAAS - FH02;5720112;BL0203;1;5720112;;Vermorgenstraat 28A-28B-28C-28D-28E-28F;;ONWAAR;Vermorgenstraat;28;E;;XC;2020-05-11 11:15;Geert Stockman;MDU;0;8;1;9;BUILDING template
SINT-NIKLAAS - FH02;5714642;BL0203;1;5714642;;Vermorgenstraat 28A-28B-28C-28D-28E-28F;;ONWAAR;Vermorgenstraat;28;F;;XC;2020-05-11 13:35;Geert Stockman;MDU;0;3;0;3;BUILDING template
SINT-NIKLAAS - FH02;4448869;BL0201;1;4448869;11489717;Vermorgenstraat 28A-28B-28C-28D-28E-28F;Vermorgenstraat_66_68;ONWAAR;Vermorgenstraat;68;;20200107085000;;2020-05-11 06:30;Geert Stockman;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;5458181;BL0203;1;5458181;;Vermorgenstraat 28A-28B;;ONWAAR;Vermorgenstraat;28;A;;XC;2020-05-11 11:15;Geert Stockman;MDU;0;13;2;15;BUILDING template
SINT-NIKLAAS - FH02;4455427;BL0211;2;4455427;;Veldstraat 87-89;;ONWAAR;Veldstraat;89;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3517712;BL0211;2;3517712;;Veldstraat 87-89;;ONWAAR;Veldstraat;87;;;;2018-12-13;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;75554;BL0211;2;75554;;Veldstraat 71-73-75;;ONWAAR;Veldstraat;71;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3517692;BL0211;2;3517692;;Veldstraat 71-73-75;;ONWAAR;Veldstraat;75;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;75555;BL0211;2;75555;;Veldstraat 71-73-75;;ONWAAR;Veldstraat;73;;;;;Kevin Dekens;MDU;0;1;0;1;BUILDING template
