Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Bg Name ifh;Kolom1;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
SINT-NIKLAAS - FH02;62537;BL0202;1;62537;;;;WAAR;De Gravestraat;47;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4448302;BL0202;1;4448302;;;;WAAR;De Gravestraat;51;;;;2019-10-23;Dirk Marien;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4448304;BL0202;1;4448304;;;;WAAR;De Gravestraat;53;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3490718;BL0202;1;3490718;;;;WAAR;De Gravestraat;57;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3490723;BL0202;1;3490723;;;;WAAR;De Gravestraat;61;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4448313;BL0202;1;4448313;;;;WAAR;De Gravestraat;65;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;5411555;BL0202;1;5411555;;;;WAAR;De Gravestraat;69;C;;;2020-02-17 13:46:18;Abdelmalek Lamkoref;MDU;0;3;0;3;BUILDING template
SINT-NIKLAAS - FH02;1505687;BL0202;1;1505687;;;;WAAR;De Gravestraat;69;;;D;2020-03-03;Geert Stockman;MDU;0;3;0;3;BUILDING template
SINT-NIKLAAS - FH02;9433;BL0217;3;9433;;;;WAAR;Grote Peperstraat;1;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3511268;BL0217;3;3511268;;;;WAAR;Grote Peperstraat;5;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3511273;BL0217;3;3511273;;;;WAAR;Grote Peperstraat;9;;;D;2018-09-12;Abdelmalek Lamkoref;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;3511280;BL0217;3;3511280;;;;WAAR;Grote Peperstraat;13;;;;;Youssef Abdellaoui;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;72529;BL0217;3;72529;;;;WAAR;Grote Peperstraat;17;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4215963;BL0217;3;4215963;;;;WAAR;Grote Peperstraat;21;;;;2020-02-19 13:20:16;Marouane Zoubir;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;72530;BL0217;3;72530;;;;WAAR;Grote Peperstraat;27;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;1513901;BL0217;3;1513901;;;;WAAR;Grote Peperstraat;31;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;1513905;BL0217;3;1513905;;;;WAAR;Grote Peperstraat;35;;;D;2018-09-12;Abdelmalek Lamkoref;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;1513908;BL0217;3;1513908;;;;WAAR;Grote Peperstraat;39;;;;;Youssef Abdellaoui;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;1513911;BL0217;3;1513911;;;;WAAR;Grote Peperstraat;43;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;1513915;BL0217;3;1513915;;;;WAAR;Grote Peperstraat;47;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4098446;BL0217;3;4098446;;;;WAAR;Grote Peperstraat;51;;;XC;2020-02-20 08:35:16;Marouane Zoubir;MDU;0;4;0;4;BUILDING template
SINT-NIKLAAS - FH02;75753;BL0217;3;75753;;;;WAAR;Hospitaalstraat;1;;;D;2020-03-20 13:58:42;Youssef Abdellaoui;MDU;1;0;1;2;BUILDING template
SINT-NIKLAAS - FH02;1514092;BL0217;3;1514092;;;;WAAR;Hospitaalstraat;5;;;D;2018-09-13;Abdelmalek Lamkoref;MDU;1;1;1;3;BUILDING template
SINT-NIKLAAS - FH02;1514099;BL0217;3;1514099;;;;WAAR;Hospitaalstraat;13;;;D;2018-09-13;Abdelmalek Lamkoref;MDU;1;1;0;2;BUILDING template
SINT-NIKLAAS - FH02;75759;BL0217;3;75759;;;;WAAR;Hospitaalstraat;17;;;;;Youssef Abdellaoui;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3504588;BL0209;2;3504588;;;;WAAR;Houtbriel;15;;;;2020-02-07;Maayken Vanfleteren;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;76231;BL0209;2;76231;;;;WAAR;Houtbriel;17;;;;2020-02-10 09:41:51;;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;3497443;BL0209;2;3497443;;;;WAAR;Kalkstraat;6;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3497453;BL0209;2;3497453;;;;WAAR;Kalkstraat;12;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3497462;BL0209;2;3497462;;;;WAAR;Kalkstraat;18;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4460287;BL0209;2;4460287;;;;WAAR;Kalkstraat;20;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4460290;BL0209;2;4460290;;;;WAAR;Kalkstraat;24;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3497477;BL0209;2;3497477;;;;WAAR;Kalkstraat;26;;;;2018-07-30;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3497487;BL0209;2;3497487;;;;WAAR;Kalkstraat;30;;;D;2020-02-10 13:14:21;Steffen Verhofste;MDU;1;0;1;2;BUILDING template
SINT-NIKLAAS - FH02;3497490;BL0209;2;3497490;;;;WAAR;Kalkstraat;34;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;75561;BL0210;2;75561;;;;WAAR;Kalkstraat;35;;;;;Youssef Abdellaoui;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3497498;BL0210;2;3497498;;;;WAAR;Kalkstraat;39;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3948683;BL0210;2;3948683;;;;WAAR;Kalkstraat;43;;;D;2018-09-19;Abdelmalek Lamkoref;MDU;0;3;0;3;BUILDING template
SINT-NIKLAAS - FH02;3497503;BL0210;2;3497503;;;;WAAR;Kalkstraat;47;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3497514;BL0210;2;3497514;;;;WAAR;Kalkstraat;51;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;75565;BL0211;2;75565;;;;WAAR;Kalkstraat;52;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;75563;BL0211;2;75563;;;;WAAR;Kalkstraat;54;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;75567;BL0210;2;75567;;;;WAAR;Kalkstraat;57;;;;;Youssef Abdellaoui;MDU;0;8;0;8;BUILDING template
SINT-NIKLAAS - FH02;1514014;BL0211;2;1514014;;;;WAAR;Kalkstraat;58;;;D;2018-09-19;Abdelmalek Lamkoref;MDU;1;1;0;2;BUILDING template
SINT-NIKLAAS - FH02;1514017;BL0210;2;1514017;;;;WAAR;Kalkstraat;61;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;6331900;BL0211;2;6331900;;;;WAAR;Kalkstraat;62;C;;;2019-10-23;Dirk Marien;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;1514018;BL0211;2;1514018;;;;WAAR;Kalkstraat;62;;;D;2020-02-21 08:35:16;Geert Stockman;MDU;3;0;0;3;BUILDING template
SINT-NIKLAAS - FH02;1514021;BL0210;2;1514021;;;;WAAR;Kalkstraat;65;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;1514024;BL0211;2;1514024;;;;WAAR;Kalkstraat;68;;;D;2020-02-21 08:40:18;Geert Stockman;MDU;0;5;0;5;BUILDING template
SINT-NIKLAAS - FH02;75743;BL0211;2;75743;;;;WAAR;Kalkstraat;72;;;D;2020-02-21 08:45:22;Geert Stockman;MDU;0;4;0;4;BUILDING template
SINT-NIKLAAS - FH02;1514027;BL0210;2;1514027;;;;WAAR;Kalkstraat;73;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;75739;BL0210;2;75739;;;;WAAR;Kalkstraat;77;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;1514032;BL0211;2;1514032;;;;WAAR;Kalkstraat;80;;;D;2020-02-21 08:50:15;Geert Stockman;MDU;0;8;0;8;BUILDING template
SINT-NIKLAAS - FH02;1514033;BL0210;2;1514033;;;;WAAR;Kalkstraat;81;;;;;Youssef Abdellaoui;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3497552;BL0210;2;3497552;;;;WAAR;Kalkstraat;91;;;D;2020-02-20 15:15:30;Maayken Vanfleteren;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;3497555;BL0210;2;3497555;;;;WAAR;Kalkstraat;95;;;D;2018-09-07;Abdelmalek Lamkoref;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;4210065;BL0210;2;4210065;;;;WAAR;Kalkstraat;99;;;D;2018-09-07;Abdelmalek Lamkoref;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;75741;BL0210;2;75741;;;;WAAR;Kalkstraat;105;;;X;2020-02-20;Maayken Vanfleteren;MDU;1;3;0;4;BUILDING template
SINT-NIKLAAS - FH02;977887;BL0210;2;977887;;;;WAAR;Kleine Peperstraat;1;;;D;2020-02-20 14:45:41;Maayken Vanfleteren;MDU;1;2;1;4;BUILDING template
SINT-NIKLAAS - FH02;1513896;BL0210;2;1513896;;;;WAAR;Kleine Peperstraat;7;;;D;2020-02-20 13:45:21;Maayken Vanfleteren;MDU;0;3;0;3;BUILDING template
SINT-NIKLAAS - FH02;3511361;BL0210;2;3511361;;;;WAAR;Kleine Peperstraat;13;;;;2020-02-20 13:40:18;Maayken Vanfleteren;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500067;BL0208;1;3500067;;;;WAAR;Klein-Hulststraat;3;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;9407;BL0205;1;9407;;;;WAAR;Klein-Hulststraat;6;;;;2018-12-13;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500071;BL0208;1;3500071;;;;WAAR;Klein-Hulststraat;7;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500072;BL0205;1;3500072;;;;WAAR;Klein-Hulststraat;8;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500073;BL0208;1;3500073;;;;WAAR;Klein-Hulststraat;11;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4449040;BL0205;1;4449040;;;;WAAR;Klein-Hulststraat;12;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4037770;BL0208;1;4037770;;;;WAAR;Klein-Hulststraat;15;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500078;BL0205;1;3500078;;;;WAAR;Klein-Hulststraat;16;;;D;2020-01-31 10:45:24;Hidde Kiekens;MDU;0;4;0;4;BUILDING template
SINT-NIKLAAS - FH02;4444733;BL0208;1;4444733;;;;WAAR;Klein-Hulststraat;19;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;56056;BL0205;1;56056;;;;WAAR;Klein-Hulststraat;20;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;1332094;BL0205;1;1332094;;;;WAAR;Klein-Hulststraat;24;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500084;BL0208;1;3500084;;;;WAAR;Klein-Hulststraat;25;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4449052;BL0205;1;4449052;;;;WAAR;Klein-Hulststraat;28;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500086;BL0208;1;3500086;;;;WAAR;Klein-Hulststraat;29;;;D;2020-02-09 14:25:16;Maayken Vanfleteren;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;4057353;BL0208;1;4057353;;;;WAAR;Klein-Hulststraat;33;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500087;BL0208;1;3500087;;;;WAAR;Klein-Hulststraat;37;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;4027354;BL0208;1;4027354;;;;WAAR;Klein-Hulststraat;41;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4444743;BL0208;1;4444743;;;;WAAR;Klein-Hulststraat;45;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500090;BL0208;1;3500090;;;;WAAR;Klein-Hulststraat;49;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500092;BL0208;1;3500092;;;;WAAR;Klein-Hulststraat;53;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500094;BL0205;1;3500094;;;;WAAR;Klein-Hulststraat;56;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;68430;BL0208;1;68430;;;;WAAR;Klein-Hulststraat;57;;;;2018-12-13;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;68428;BL0209;2;68428;;;;WAAR;Klein-Hulststraat;59;;;;;Francois Glaude;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500096;BL0205;1;3500096;;;;WAAR;Klein-Hulststraat;60;;;D;2020-01-31 10:50:14;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
SINT-NIKLAAS - FH02;3500098;BL0209;2;3500098;;;;WAAR;Klein-Hulststraat;63;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500099;BL0205;1;3500099;;;;WAAR;Klein-Hulststraat;64;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500105;BL0209;2;3500105;;;;WAAR;Klein-Hulststraat;71;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500111;BL0205;1;3500111;;;;WAAR;Klein-Hulststraat;74;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4444810;BL0209;2;4444810;;;;WAAR;Klein-Hulststraat;77;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;63260;BL0205;1;63260;;;;WAAR;Klein-Hulststraat;78;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4447871;BL0205;1;4447871;;;;WAAR;Klein-Hulststraat;82;;;;2020-01-31 11:01:33;Hidde Kiekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;68429;BL0209;2;68429;;;;WAAR;Klein-Hulststraat;83;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500119;BL0205;1;3500119;;;;WAAR;Klein-Hulststraat;90;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500125;BL0205;1;3500125;;;;WAAR;Klein-Hulststraat;102;;;;;Bernardo Kana da Rosa;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;4069906;BL0205;1;4069906;;;;WAAR;Klein-Hulststraat;106;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500130;BL0205;1;3500130;;;;WAAR;Klein-Hulststraat;112;;;D;2020-02-13 13:55:21;Hidde Kiekens;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;4447884;BL0205;1;4447884;;;;WAAR;Klein-Hulststraat;114;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4447887;BL0205;1;4447887;;;;WAAR;Klein-Hulststraat;118;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;63261;BL0205;1;63261;;;;WAAR;Klein-Hulststraat;124;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500136;BL0205;1;3500136;;;;WAAR;Klein-Hulststraat;128;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500234;BL0214;3;3500234;;;;WAAR;Knaptandstraat;6;;;D;2020-02-14 13:45:40;Marouane Zoubir;MDU;1;1;0;2;BUILDING template
SINT-NIKLAAS - FH02;3500240;BL0214;3;3500240;;;;WAAR;Knaptandstraat;10;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4260305;BL0214;3;4260305;;;;WAAR;Knaptandstraat;14;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500258;BL0215;3;3500258;;;;WAAR;Knaptandstraat;20;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500263;BL0215;3;3500263;;;;WAAR;Knaptandstraat;24;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;5904901;BL0215;3;5904901;;;;WAAR;Knaptandstraat;26;A;;;;;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500266;BL0215;3;3500266;;;;WAAR;Knaptandstraat;26;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3948699;BL0215;3;3948699;;;;WAAR;Knaptandstraat;30;;;D;2020-02-18 12:40:17;Marouane Zoubir;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;3500289;BL0215;3;3500289;;;;WAAR;Knaptandstraat;38;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4468665;BL0215;3;4468665;;;;WAAR;Knaptandstraat;42;;;;;Youssef Abdellaoui;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500293;BL0215;3;3500293;;;;WAAR;Knaptandstraat;46;;;;;Youssef Abdellaoui;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;91077;BL0215;3;91077;;;;WAAR;Knaptandstraat;50;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500299;BL0215;3;3500299;;;;WAAR;Knaptandstraat;54;;;;;Kevin Dekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500305;BL0215;3;3500305;;;;WAAR;Knaptandstraat;58;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500310;BL0215;3;3500310;;;;WAAR;Knaptandstraat;70;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4468716;BL0215;3;4468716;;;;WAAR;Knaptandstraat;86;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;96954;BL0214;3;96954;;;;WAAR;Kokkelbeekstraat;2;;;;2019-10-22;Dirk Marien;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4140440;BL0214;3;4140440;;;;WAAR;Kokkelbeekstraat;8;;;D;2020-03-20 14:09:46;Abdelmalek Lamkoref;MDU;0;1;1;2;BUILDING template
SINT-NIKLAAS - FH02;96721;BL0214;3;96721;;;;WAAR;Kokkelbeekstraat;12;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500539;BL0214;3;3500539;;;;WAAR;Kokkelbeekstraat;16;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500548;BL0214;3;3500548;;;;WAAR;Kokkelbeekstraat;20;;;D;2020-02-14 13:45:44;Marouane Zoubir;MDU;0;2;2;4;BUILDING template
SINT-NIKLAAS - FH02;3500559;BL0214;3;3500559;;;;WAAR;Kokkelbeekstraat;24;;;D;2020-02-14 13:45:46;Marouane Zoubir;MDU;0;4;0;4;BUILDING template
SINT-NIKLAAS - FH02;4462476;BL0214;3;4462476;;;;WAAR;Kokkelbeekstraat;26;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500573;BL0214;3;3500573;;;;WAAR;Kokkelbeekstraat;34;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500578;BL0214;3;3500578;;;;WAAR;Kokkelbeekstraat;36;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;96722;BL0214;3;96722;;;;WAAR;Kokkelbeekstraat;42;;;D;2020-02-17 08:10:20;Marouane Zoubir;MDU;1;2;0;3;BUILDING template
SINT-NIKLAAS - FH02;3500596;BL0214;3;3500596;;;;WAAR;Kokkelbeekstraat;46;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500604;BL0214;3;3500604;;;;WAAR;Kokkelbeekstraat;52;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500609;BL0214;3;3500609;;;;WAAR;Kokkelbeekstraat;56;;;D;2018-09-12;Abdelmalek Lamkoref;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;3500613;BL0214;3;3500613;;;;WAAR;Kokkelbeekstraat;60;;;;;Abdelmalek Lamkoref;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3500620;BL0214;3;3500620;;;;WAAR;Kokkelbeekstraat;66;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;96957;BL0214;3;96957;;;;WAAR;Kokkelbeekstraat;70;;;;2020-02-17 08:25:17;Marouane Zoubir;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3501705;BL0209;2;3501705;;;;WAAR;Lamstraat;2;B;;;2019-10-23;Dirk Marien;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;75457;BL0209;2;75457;;;;WAAR;Lamstraat;4;;;;;Bernardo Kana da Rosa;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;5424647;BL0212;2;5424647;;;;WAAR;Lamstraat;10;A;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4464758;BL0212;2;4464758;;;;WAAR;Lamstraat;14;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3501711;BL0212;2;3501711;;;;WAAR;Lamstraat;18;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3501717;BL0213;2;3501717;;;;WAAR;Lamstraat;24;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4464716;BL0213;2;4464716;;;;WAAR;Lamstraat;30;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3501726;BL0213;2;3501726;;;;WAAR;Lamstraat;34;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3501737;BL0213;2;3501737;;;;WAAR;Lamstraat;42;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;75452;BL0218;3;75452;;;;WAAR;Lamstraat;44;;;;;Youssef Abdellaoui;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3501742;BL0218;3;3501742;;;;WAAR;Lamstraat;48;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3501744;BL0218;3;3501744;;;;WAAR;Lamstraat;52;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4466418;BL0218;3;4466418;;;;WAAR;Lamstraat;56;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3501751;BL0218;3;3501751;;;;WAAR;Lamstraat;60;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3501759;BL0218;3;3501759;;;;WAAR;Lamstraat;64;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3948710;BL0218;3;3948710;;;;WAAR;Lamstraat;68;;;D;2020-03-07 14:10:07;Geert Stockman;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;1514043;BL0218;3;1514043;;;;WAAR;Lodewijk De Meesterstraat;3;;;;;Kevin Dekens;SDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;1514050;BL0211;2;1514050;;;;WAAR;Lodewijk De Meesterstraat;12;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;1514054;BL0211;2;1514054;;;;WAAR;Lodewijk De Meesterstraat;16;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;1514058;BL0211;2;1514058;;;;WAAR;Lodewijk De Meesterstraat;20;;;D;2020-02-21 11:40:23;Geert Stockman;MDU;0;3;0;3;BUILDING template
SINT-NIKLAAS - FH02;75479;BL0211;2;75479;;;;WAAR;Lodewijk De Meesterstraat;30;;;D;2018-09-12;Abdelmalek Lamkoref;MDU;0;2;0;2;BUILDING template
SINT-NIKLAAS - FH02;1514070;BL0211;2;1514070;;;;WAAR;Lodewijk De Meesterstraat;34;;;;2018-07-24;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;1514071;BL0211;2;1514071;;;;WAAR;Lodewijk De Meesterstraat;36;;;;;Youssef Abdellaoui;SDU;0;1;0;1;BUILDING template
