Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
ANTWERPEN-WEST - FH10;1753012;BL0007;;13724178;1753012;;Admiraal de Boisotstraat 19-21;Admiraal de Boisotstraat;19;;;;Marouane Zoubir;MDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH10;1753019;BL0007;;35168226;1753019;;Admiraal de Boisotstraat 19-21;Admiraal de Boisotstraat;21;;;;Marouane Zoubir;MDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH10;1734881;BL0013;;13724171;1734881;;Amerikalei 100-102;Amerikalei;100;;;;Marouane Zoubir;MDU;0;6;1;7;Y;;BUILDING template
ANTWERPEN-WEST - FH10;1734883;BL0013;;35168415;1734883;;Amerikalei 100-102;Amerikalei;102;;;;Marouane Zoubir;MDU;0;6;0;6;Y;;BUILDING template
ANTWERPEN-WEST - FH10;5575005;BL0026;;712166;5575005;;Amerikalei 10-12-14;Amerikalei;10;;;;Marouane Zoubir;MDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH10;976321;BL0026;;35168407;976321;;Amerikalei 10-12-14;Amerikalei;14;;;;Marouane Zoubir;MDU;0;0;1;1;N;;BUILDING template
ANTWERPEN-WEST - FH10;1734835;BL0026;;622489;1734835;;Amerikalei 10-12-14;Amerikalei;12;;;;Marouane Zoubir;MDU;1;21;1;23;N;;BUILDING template
ANTWERPEN-WEST - FH10;5575013;BL0012;;712170;5575013;;Amerikalei 106-108;Amerikalei;106;;;;Marouane Zoubir;MDU;1;0;1;2;Y;;BUILDING template
ANTWERPEN-WEST - FH10;762805;BL0012;;13724259;762805;;Amerikalei 106-108;Amerikalei;108;;;;Marouane Zoubir;MDU;0;14;1;15;Y;;BUILDING template
ANTWERPEN-WEST - FH10;5575014;BL0007;;712171;5575014;;Amerikalei 132-134;Amerikalei;132;;;;Marouane Zoubir;MDU;1;0;1;2;Y;;BUILDING template
