Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH04;2001382;BL0419;4;2001382;;Meir 1-3 5-7-9_Sint Katelijnenevest 67_Twaalfmaandenstraat 14;Meir;7;;;XA;2020-02-26 19:45:10;Hidde Kiekens;MDU;0;12;0;12;BUILDING template
ANTWERPEN-WEST - FH04;2068369;BL0419;4;2068369;;Meir 1-3 5-7-9_Sint Katelijnenevest 67_Twaalfmaandenstraat 14;Sint-Katelijnevest;67;;;XA;2020-02-26 19:45:10;Hidde Kiekens;MDU;0;14;1;15;BUILDING template
ANTWERPEN-WEST - FH04;2057933;BL0419;4;2057933;;Meir 1-3 5-7-9_Sint Katelijnenevest 67_Twaalfmaandenstraat 14;Twaalfmaandenstraat;14;;;XA;2020-02-26 19:45:10;Hidde Kiekens;MDU;0;8;0;8;BUILDING template
ANTWERPEN-WEST - FH04;5575982;BL0427;6;5575982;;Meir 22-24 ;Meir;24;;;;;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;59993;BL0427;6;59993;;Meir 22-24 ;Meir;22;;;;;Peter Van Leeuwen;MDU;2;28;0;30;BUILDING template
ANTWERPEN-WEST - FH04;59994;BL0427;6;59994;;Meir 26-28-30 ;Meir;26;;;D;2020-03-24 13:18:41;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;5575984;BL0427;6;5575984;;Meir 26-28-30 ;Meir;30;;;D;2020-03-24 13:18:41;Peter Van Leeuwen;MDU;2;0;1;3;BUILDING template
ANTWERPEN-WEST - FH04;59995;BL0427;6;59995;;Meir 26-28-30 ;Meir;28;;;D;2020-03-24 13:18:41;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;60582;BL0421;5;60582;;Meir 31-33 ;Meir;31;;;D;2020-04-08 15:49:41;Peter Van Leeuwen;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;6524102;BL0421;5;6524102;;Meir 31-33 ;Meir;33;;;D;2020-04-08 15:49:41;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;4507529;BL0427;6;4507529;;Meir 32-34-36 ;Meir;34;;;XA;2020-02-10 19:40:15;Hidde Kiekens;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;2001442;BL0427;6;2001442;;Meir 32-34-36 ;Meir;36;;;XA;2020-02-10 19:40:15;Hidde Kiekens;MDU;0;20;1;21;BUILDING template
