Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH04;4888731;4888731;25947672;Ambachtsschoolstraat 5-5A-7-9;Ambachtsschoolstraat;5;;20200117154530;B;2019-10-14;Jo De Clippel;MDU;0;1;0;1;BUILDING template
HASSELT - FH04;3987979;3987979;25947672;Ambachtsschoolstraat 5-5A-7-9;Ambachtsschoolstraat;7;;20200117154530;B;2019-10-14;Jo De Clippel;MDU;0;1;0;1;BUILDING template
HASSELT - FH04;2408080;2408080;25947672;Ambachtsschoolstraat 5-5A-7-9;Ambachtsschoolstraat;9;;20200117154530;B;2019-10-14;Jo De Clippel;MDU;0;7;0;7;BUILDING template
HASSELT - FH04;4253694;4253694;25947672;Ambachtsschoolstraat 5-5A-7-9;Ambachtsschoolstraat;5;A;20200117154530;B;2019-10-14;Jo De Clippel;MDU;0;1;0;1;BUILDING template
HASSELT - FH04;701700;701700;25872505;Grote Breemstraat 21-21A;Grote Breemstraat;21;;20200115090753;XC;2019-09-12 15:15:21;Jo De Clippel;MDU;0;8;1;9;BUILDING template
HASSELT - FH04;3954984;3954984;25872505;Grote Breemstraat 21-21A;Grote Breemstraat;21;A;20200115090753;XC;2019-09-12 15:15:21;Jo De Clippel;MDU;0;10;1;11;BUILDING template
HASSELT - FH04;2433797;2433797;;;Palmstraat;40;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;4886739;4886739;21588489;Lazarijstraat 40_Palmstraat 2;Lazarijstraat;40;;20200130104353;C;2019-08-01 13:50:13;Jo De Clippel;MDU;0;12;1;13;BUILDING template
HASSELT - FH04;28291;28291;21588489;Lazarijstraat 40_Palmstraat 2;Palmstraat;2;;20200130104353;C;2019-08-01 13:50:13;Jo De Clippel;MDU;0;1;0;1;BUILDING template
HASSELT - FH04;2423637;2423637;20608201;Plantenstraat 27-29;Oude Kuringerbaan;39;;20191113094725;C;2019-08-01 13:05:10;Jo De Clippel;MDU;0;12;1;13;BUILDING template
HASSELT - FH04;2434204;2434204;20608204;Plantenstraat 27-29;Plantenstraat;27;;20191113094725;C;2019-08-01 13:05:10;Jo De Clippel;MDU;0;8;1;9;BUILDING template
HASSELT - FH04;2434206;2434206;20608204;Plantenstraat 27-29;Plantenstraat;29;;20191113094725;C;2019-08-01 13:05:10;Jo De Clippel;MDU;0;12;1;13;BUILDING template
HASSELT - FH04;700945;700945;27507446;Plantenstraat 31-33;Plantenstraat;31;;20200128134114;C;2019-09-06 10:25:20;Dieu Jocelin;MDU;0;8;0;8;BUILDING template
HASSELT - FH04;701336;701336;;;Blijde-Inkomststraat;2;;;D;2019-10-07 09:40:18;Jo De Clippel;MDU;1;1;0;2;BUILDING template
HASSELT - FH04;3937451;3937451;;;Kuringersteenweg;33;;;;;Jo De Clippel;SDU;1;0;0;1;BUILDING template
HASSELT - FH04;2425304;2425304;;;Lazarijstraat;90;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;3937588;3937588;;;Plantenstraat;72;;;D;2019-07-16 07:40:12;Dieu Jocelin;MDU;0;3;0;3;BUILDING template
HASSELT - FH04;2418814;2418814;;;Blijde-Inkomststraat;4;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;4893029;4893029;;;Kuringersteenweg;34;;;D;2019-10-10;Jo De Clippel;MDU;0;3;0;3;BUILDING template
HASSELT - FH04;2425305;2425305;;;Lazarijstraat;91;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;701156;701156;;;Plantenstraat;74;;;D;2019-07-16 07:40:14;Dieu Jocelin;MDU;0;3;0;3;BUILDING template
HASSELT - FH04;701337;701337;;;Blijde-Inkomststraat;5;;;D;2019-07-29 12:00:17;Dieu Jocelin;MDU;0;3;0;3;BUILDING template
HASSELT - FH04;2423750;2423750;;;Kuringersteenweg;35;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;2425306;2425306;;;Lazarijstraat;92;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;701149;701149;;;Plantenstraat;75;;;B;2019-10-08 10:00:29;Jo De Clippel;MDU;0;2;0;2;BUILDING template
HASSELT - FH04;2418815;2418815;;;Blijde-Inkomststraat;6;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;2423754;2423754;;;Kuringersteenweg;36;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;2425307;2425307;;;Lazarijstraat;93;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;701157;701157;;;Plantenstraat;76;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;2418817;2418817;;;Blijde-Inkomststraat;7;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;2423759;2423759;;;Kuringersteenweg;37;;;;;Dieu Jocelin;SDU;1;0;0;1;BUILDING template
HASSELT - FH04;3937474;3937474;;;Lazarijstraat;94;;;B;2019-07-18 10:15:17;Dieu Jocelin;MDU;0;5;0;5;BUILDING template
HASSELT - FH04;701148;701148;;;Plantenstraat;79;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;4889008;4889008;;;Blijde-Inkomststraat;8;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH04;3937452;3937452;;;Kuringersteenweg;38;;;D;2019-08-27 10:30:20;Dieu Jocelin;MDU;0;8;0;8;BUILDING template
