Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
ANTWERPEN-WEST - FH06;11192601;BL0608;;;1884727;;;Korte Gasthuisstraat;18;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192602;BL0608;;;1884727;;;Korte Gasthuisstraat;18;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192603;BL0608;;;1884727;;;Korte Gasthuisstraat;18;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192607;BL0605;;;1884988;;;Lange Gasthuisstraat;12;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192208;BL0616;;;1921177;;;Groenplaats;8;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192209;BL0622;;;1921273;;;Groenplaats;26;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192218;BL0607;;;1959770;;;Kammenstraat;39;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192219;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192220;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192221;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192222;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192223;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192224;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192225;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192227;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192228;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192229;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192230;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192231;BL0607;;;1959778;;;Kammenstraat;47;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192233;BL0607;;;1959782;;;Kammenstraat;53;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192234;BL0607;;;1959782;;;Kammenstraat;53;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192239;BL0601;;;1960303;;;Kasteelpleinstraat;7;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192240;BL0601;;;1960303;;;Kasteelpleinstraat;7;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192248;BL0621;;;1968721;;;Oude Koornmarkt;3;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192249;BL0621;;;1968739;;;Oude Koornmarkt;9;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192250;BL0616;;;1968891;;;Oude Koornmarkt;49;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192251;BL0616;;;1968899;;;Oude Koornmarkt;51;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192252;BL0616;;;1968902;;;Oude Koornmarkt;53;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192255;BL0607;;;1992456;;;Lombardenstraat;34;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192256;BL0607;;;1992456;;;Lombardenstraat;34;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192257;BL0607;;;1992456;;;Lombardenstraat;34;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192258;BL0607;;;1992456;;;Lombardenstraat;34;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192259;BL0607;;;1992459;;;Lombardenstraat;36;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192260;BL0607;;;1992459;;;Lombardenstraat;36;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192261;BL0607;;;1992459;;;Lombardenstraat;36;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192266;BL0605;;;1998308;;;Kleine Markt;11;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192269;BL0603;;;1999501;;;Mechelseplein;14;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192270;BL0603;;;1999501;;;Mechelseplein;14;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192271;BL0603;;;1999501;;;Mechelseplein;14;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192272;BL0603;;;1999509;;;Mechelseplein;18;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192341;BL0622;;;2001929;;;Melkmarkt;28;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192343;BL0618;;;2001942;;;Melkmarkt;35;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192344;BL0618;;;2001942;;;Melkmarkt;35;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192346;BL0617;;;2001958;;;Melkmarkt;42;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192357;BL0624;;;2027591;;;Korte Nieuwstraat;10;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192358;BL0624;;;2027591;;;Korte Nieuwstraat;10;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192359;BL0624;;;2027639;;;Korte Nieuwstraat;30;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192360;BL0624;;;2027639;;;Korte Nieuwstraat;30;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192637;BL0606;;;2035180;;;Oudaan;15;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192400;BL0602;;;2048652;;;Rosier;12;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192401;BL0604;;;2048670;;;Rosier;39;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192402;BL0604;;;2048672;;;Rosier;41;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192403;BL0604;;;2048672;;;Rosier;41;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192410;BL0603;;;2050648;;;Schermersstraat;9;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192411;BL0603;;;2050648;;;Schermersstraat;9;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192412;BL0612;;;2052139;;;Schrijnwerkersstraat;3;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192413;BL0612;;;2052140;;;Schrijnwerkersstraat;5;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192414;BL0612;;;2052140;;;Schrijnwerkersstraat;5;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192415;BL0612;;;2052140;;;Schrijnwerkersstraat;5;;;;;;;;;;;;(L/B/S)U template
ANTWERPEN-WEST - FH06;11192416;BL0612;;;2052140;;;Schrijnwerkersstraat;5;;;;;;;;;;;;(L/B/S)U template
