Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
ANTWERPEN-WEST - FH04;1208696;BL0430;4;614651;1208696;33717630;;Meir;76;;;2020-05-27;Hidde Kiekens;MDU;0;6;0;6;N;;BUILDING template
ANTWERPEN-WEST - FH04;1311788;BL0430;4;616069;1311788;33717630;;Meir;78;;;27/05/2020 15:51;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH04;5575987;BL0430;4;712449;5575987;33717630;Hopland 31_Kolveniersstraat 7_Meir 78;Meir;80;;XC;2020-02-20;Hidde Kiekens;MDU;0;6;1;7;N;;BUILDING template
ANTWERPEN-WEST - FH04;110183;BL0430;4;613084;110183;33717630;;Meir;82;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH04;1966298;BL0430;4;13455624;1966298;33717630;;Kolveniersstraat;11;;;27/05/2020 15:33;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH04;1944485;BL0430;4;12736316;1944485;33717630;Hopland 31_Kolveniersstraat 7_Meir 78;Hopland;31;;XC;27/05/2020 15:29;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH04;3927706;BL0430;4;690977;3927706;33717630;;Hopland;33;;;2020-02-20;Hidde Kiekens;MDU;0;4;1;5;N;;BUILDING template
ANTWERPEN-WEST - FH04;1944487;BL0430;4;12736317;1944487;33717630;;Hopland;35;;;27/05/2020 15:30;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH04;1944488;BL0430;4;12736318;1944488;33717630;;Hopland;37;;;2020-05-27;Hidde Kiekens;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH04;6162458;BL0430;4;35523920;6162458;33717630;;Meir;84;;;27/05/2020 15:44;Hidde Kiekens;MDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH04;1966287;BL0430;4;12736386;1966287;33717630;Hopland 31_Kolveniersstraat 7_Meir 78;Kolveniersstraat;7;;XC;2020-05-27;Hidde Kiekens;MDU;40;1;0;41;N;;BUILDING template
ANTWERPEN-WEST - FH04;1966295;BL0430;4;8422542;1966295;33717630;;Kolveniersstraat;9;;XA;2020-02-20;Hidde Kiekens;MDU;0;12;1;13;N;;BUILDING template
