Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Opdrachttemplate
ANTWERPEN-WEST - FH01;59272;59272;;;Adriaan Brouwerstraat;3;;;BUILDING template
ANTWERPEN-WEST - FH01;1088922;1088922;;;Adriaan Brouwerstraat;5;;;BUILDING template
ANTWERPEN-WEST - FH01;59274;59274;20604519;;Adriaan Brouwerstraat;9;;20191001141309;BUILDING template
ANTWERPEN-WEST - FH01;1781985;1781985;;;Adriaan Brouwerstraat;13;;;BUILDING template
ANTWERPEN-WEST - FH01;59271;59271;;;Adriaan Brouwerstraat;17;;;BUILDING template
ANTWERPEN-WEST - FH01;1782029;1782029;;;Adriaan Brouwerstraat;21;;;BUILDING template
ANTWERPEN-WEST - FH01;1782040;1782040;;;Adriaan Brouwerstraat;27;;;BUILDING template
ANTWERPEN-WEST - FH01;1782047;1782047;;;Adriaan Brouwerstraat;29;;;BUILDING template
ANTWERPEN-WEST - FH01;1782050;1782050;;;Adriaan Brouwerstraat;31;;;BUILDING template
ANTWERPEN-WEST - FH01;182977;182977;;;Adriaan Brouwerstraat;33;;;BUILDING template
ANTWERPEN-WEST - FH01;1735088;1735088;14079336;20+18+16+14+1+5+7+11+30;Amsterdamstraat;14;;20191105091418;BUILDING template
ANTWERPEN-WEST - FH01;1735094;1735094;14079336;20+18+16+14+1+5+7+11+30;Amsterdamstraat;16;;20191105091418;BUILDING template
ANTWERPEN-WEST - FH01;1735095;1735095;14079336;20+18+16+14+1+5+7+11+30;Amsterdamstraat;18;;20191105091418;BUILDING template
ANTWERPEN-WEST - FH01;1735096;1735096;14079336;20+18+16+14+1+5+7+11+30;Amsterdamstraat;20;;20191105091418;BUILDING template
ANTWERPEN-WEST - FH01;52537;52537;;;Amsterdamstraat;21;;;BUILDING template
ANTWERPEN-WEST - FH01;108082;108082;;;Amsterdamstraat;22;;;BUILDING template
ANTWERPEN-WEST - FH01;1735097;1735097;;;Amsterdamstraat;23;;;BUILDING template
ANTWERPEN-WEST - FH01;108083;108083;;;Amsterdamstraat;24;;;BUILDING template
ANTWERPEN-WEST - FH01;1735098;1735098;;;Amsterdamstraat;25;;;BUILDING template
ANTWERPEN-WEST - FH01;1735099;1735099;;;Amsterdamstraat;27;;;BUILDING template
ANTWERPEN-WEST - FH01;1128021;1128021;;;Amsterdamstraat;28;;;BUILDING template
ANTWERPEN-WEST - FH01;1735100;1735100;;;Amsterdamstraat;29;;;BUILDING template
ANTWERPEN-WEST - FH01;1128023;1128023;;;Amsterdamstraat;30;;;BUILDING template
ANTWERPEN-WEST - FH01;1735101;1735101;;;Amsterdamstraat;31;;;BUILDING template
ANTWERPEN-WEST - FH01;1128022;1128022;;;Amsterdamstraat;32;;;BUILDING template
ANTWERPEN-WEST - FH01;1735103;1735103;;;Amsterdamstraat;34;;;BUILDING template
ANTWERPEN-WEST - FH01;1735104;1735104;;;Amsterdamstraat;35;;;BUILDING template
ANTWERPEN-WEST - FH01;108085;108085;;;Amsterdamstraat;36;;;BUILDING template
ANTWERPEN-WEST - FH01;109084;109084;;;Amsterdamstraat;37;;;BUILDING template
ANTWERPEN-WEST - FH01;1735105;1735105;;;Amsterdamstraat;39;;;BUILDING template
ANTWERPEN-WEST - FH01;52539;52539;;;Amsterdamstraat;41;;;BUILDING template
ANTWERPEN-WEST - FH01;4510623;4510623;;;Ankerrui;1;;;BUILDING template
ANTWERPEN-WEST - FH01;62445;62445;;;Ankerrui;3;;;BUILDING template
ANTWERPEN-WEST - FH01;1735143;1735143;;;Ankerrui;5;;;BUILDING template
ANTWERPEN-WEST - FH01;1735144;1735144;;;Ankerrui;7;;;BUILDING template
ANTWERPEN-WEST - FH01;186520;186520;;;Ankerrui;9;;;BUILDING template
ANTWERPEN-WEST - FH01;62446;62446;;;Ankerrui;11;;;BUILDING template
ANTWERPEN-WEST - FH01;5575022;5575022;;;Ankerrui;13;;;BUILDING template
ANTWERPEN-WEST - FH01;4510642;4510642;11196802;;Ankerrui;15;;20191007115510;BUILDING template
ANTWERPEN-WEST - FH01;108276;108276;;;August Michielsstraat;2;;;BUILDING template
ANTWERPEN-WEST - FH01;2008888;2008888;;;August Michielsstraat;4;;;BUILDING template
ANTWERPEN-WEST - FH01;2008915;2008915;;;August Michielsstraat;6;;;BUILDING template
