Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH06;4248312;BL0007;;4248312;;;Oudstrijderslaan;58;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429173;BL0019;;2429173;;;Geraard Mercatorlaan;36;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662566;BL0001;;662566;;;Plankeweidelaan;1;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429177;BL0012;;2429177;;;Geraard Mercatorlaan;37;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662567;BL0006;;662567;;;Plankeweidelaan;2;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429180;BL0019;;2429180;;;Geraard Mercatorlaan;38;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2434152;BL0001;;2434152;;;Plankeweidelaan;3;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;4861498;BL0012;;4861498;;;Geraard Mercatorlaan;39;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2434153;BL0006;;2434153;;;Plankeweidelaan;4;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;4127726;BL0019;;4127726;;;Geraard Mercatorlaan;40;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2434154;BL0001;;2434154;;;Plankeweidelaan;5;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662045;BL0012;;662045;;;Geraard Mercatorlaan;41;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2434157;BL0006;;2434157;;;Plankeweidelaan;6;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429189;BL0019;;2429189;;;Geraard Mercatorlaan;42;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;4181864;BL0001;;4181864;;;Plankeweidelaan;7;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;6632844;BL0017;;6632844;;;Jan van Helmontlaan;30;;;;;Filip Van Dyck;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429191;BL0019;;2429191;;;Geraard Mercatorlaan;44;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2434158;BL0006;;2434158;;;Plankeweidelaan;8;;;;;Dieu Jocelin;MDU;1;3;0;4;BUILDING template
HASSELT - FH06;2429195;BL0012;;2429195;;;Geraard Mercatorlaan;45;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662565;BL0001;;662565;;;Plankeweidelaan;9;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;6632845;BL0017;;6632845;;;Jan van Helmontlaan;16;;;;;Filip Van Dyck;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2429199;BL0019;;2429199;;;Geraard Mercatorlaan;46;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662564;BL0006;;662564;;;Plankeweidelaan;10;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
