Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate;TSA SIGNED;Meetstaat
MECHELEN - FH02;4756699;BL0232;6;446552;4756699;;;Hendrik Speecqvest;24;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;4186920;BL0232;6;442373;4186920;;;Hendrik Speecqvest;26;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;4756701;BL0232;6;446553;4756701;;;Hendrik Speecqvest;28;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048217;BL0232;6;437295;3048217;;;Hendrik Speecqvest;30;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;402661;BL0232;6;441524;402661;;;Hendrik Speecqvest;32;;D;2019-12-17 14:55:21;Andreas Versteeven;MDU;1;1;0;2;Y;;BUILDING template;;
MECHELEN - FH02;402663;BL0232;6;441525;402663;;;Hendrik Speecqvest;34;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048219;BL0232;6;437296;3048219;;;Hendrik Speecqvest;36;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048221;BL0232;6;437297;3048221;;;Hendrik Speecqvest;38;;XA;2019-03-11 16:35:45;Yannick Lambrechts;MDU;0;10;0;10;Y;;BUILDING template;;Y
MECHELEN - FH02;3048223;BL0232;6;7092719;3048223;;;Hendrik Speecqvest;42;;A;2019-12-17 22:30:19;Andreas Versteeven;MDU;0;16;1;17;Y;;BUILDING template;;
MECHELEN - FH02;3048225;BL0232;6;437299;3048225;;;Hendrik Speecqvest;46;;D;2018-09-12;Bernardo Kana da Rosa;MDU;0;3;0;3;Y;;BUILDING template;;
MECHELEN - FH02;3048226;BL0232;6;437300;3048226;;;Hendrik Speecqvest;48;;D;2020-08-12;Andreas Versteeven;MDU;0;4;0;4;Y;;BUILDING template;;
MECHELEN - FH02;3048228;BL0232;6;437301;3048228;;;Hendrik Speecqvest;50;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;4149031;BL0232;6;441957;4149031;;;Hendrik Speecqvest;52;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;3048230;BL0232;6;437302;3048230;;;Hendrik Speecqvest;54;;;;Kevin Dekens;SDU;0;1;0;1;Y;;BUILDING template;;
MECHELEN - FH02;4756728;BL0232;6;446554;4756728;11447162;Hendrik Speecqvest 56-58;Hendrik Speecqvest;56;;D;2020-09-01;Andreas Versteeven;MDU;0;2;0;2;Y;Y;BUILDING template;;
MECHELEN - FH02;3048231;BL0232;6;11440019;3048231;11447162;Hendrik Speecqvest 56-58;Hendrik Speecqvest;58;;D;2020-09-01;Andreas Versteeven;MDU;1;1;0;2;Y;N;BUILDING template;;
