Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH03;3995724;BL0007;;21122927;3995724;;Grote Kauwenberg 30-32;Grote Kauwenberg;32;;;;Karel Verschueren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH03;1960618;;;652237;1960618;;Grote Kauwenberg 30-32;Grote Kauwenberg;30;;;;Karel Verschueren;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH03;109349;L00010;;612841;109349;;Grote Kauwenberg 33-37-39-41-47-49_Pieter van Hobokenstraat 3;Pieter van Hobokenstraat;3;;;;Karel Verschueren;MDU;2;0;0;2;BUILDING template
ANTWERPEN-WEST - FH03;109371;L00010;;612857;109371;;Grote Kauwenberg 33-37-39-41-47-49_Pieter van Hobokenstraat 3;Grote Kauwenberg;49;;;;Karel Verschueren;MDU;2;0;0;2;BUILDING template
ANTWERPEN-WEST - FH03;1960620;;;652239;1960620;;Grote Kauwenberg 33-37-39-41-47-49_Pieter van Hobokenstraat 3;Grote Kauwenberg;33;;;;Karel Verschueren;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH03;1960624;;;652243;1960624;;Grote Kauwenberg 33-37-39-41-47-49_Pieter van Hobokenstraat 3;Grote Kauwenberg;37;;;;Karel Verschueren;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH03;1960625;;;652244;1960625;;Grote Kauwenberg 33-37-39-41-47-49_Pieter van Hobokenstraat 3;Grote Kauwenberg;39;;;;Karel Verschueren;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH03;1960627;;;652246;1960627;;Grote Kauwenberg 33-37-39-41-47-49_Pieter van Hobokenstraat 3;Grote Kauwenberg;47;;;;Karel Verschueren;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH03;4508945;;;706887;4508945;;Grote Kauwenberg 33-37-39-41-47-49_Pieter van Hobokenstraat 3;Grote Kauwenberg;41;;;;Karel Verschueren;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH03;5575750;;;13492088;5575750;33729854;Italielei 84-86;ItaliÃ«lei;84;;;;;MDU;0;25;0;25;BUILDING template
ANTWERPEN-WEST - FH03;1951195;;;21122932;1951195;33729854;Italielei 84-86;Italiëlei;86;;;;;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH03;6525096;;;21122935;6525096;33729853;Italielei 92-94;Italiëlei;94;;;;;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH03;1089418;BL0011;;612639;1089418;33729853;Italielei 92-94;Italiëlei;92;;;;Karel Verschueren;MDU;1;6;0;7;BUILDING template
ANTWERPEN-WEST - FH03;1962134;;;21122938;1962134;33729857;Klapdorp 54-56;Klapdorp;56;;;;;MDU;0;8;0;8;BUILDING template
ANTWERPEN-WEST - FH03;1962132;;;653282;1962132;33729857;Klapdorp 54-56;Klapdorp;54;;;;;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH03;1962143;;;21122939;1962143;33729856;Klapdorp 66-68;Klapdorp;68;;;;;MDU;0;6;0;6;BUILDING template
ANTWERPEN-WEST - FH03;1479727;BL0001;;618893;1479727;33729856;Klapdorp 66-68;Klapdorp;66;;;;Karel Verschueren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH03;4513229;;;707380;4513229;;Klapdorp 82-84;Klapdorp;84;;;;Karel Verschueren;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH03;1962156;;;653300;1962156;;Klapdorp 82-84;Klapdorp;82;;;;;MDU;1;4;0;5;BUILDING template
ANTWERPEN-WEST - FH03;108836;BL0008;;612592;108836;;Kleine Kauwenberg 42_Vekestraat 51;Vekestraat;51;;;;Karel Verschueren;MDU;2;0;0;2;BUILDING template
ANTWERPEN-WEST - FH03;1960636;;;652254;1960636;;Kleine Kauwenberg 42_Vekestraat 51;Kleine Kauwenberg;42;;;;Karel Verschueren;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH03;109573;;;21445279;109573;33729876;Korte Winkelstraat 7_Van Boendalestraat 1;Van Boendalestraat;1;;;;;MDU;1;2;0;3;BUILDING template
ANTWERPEN-WEST - FH03;109205;BL0011;;612812;109205;33729876;Korte Winkelstraat 7_Van Boendalestraat 1;Korte Winkelstraat;7;;;;Karel Verschueren;MDU;1;1;0;2;BUILDING template
ANTWERPEN-WEST - FH03;1396178;BL0006;;617808;1396178;33729882;Lange Brilstraat 14-16;Lange Brilstraat;14;;;;Karel Verschueren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH03;1780488;;;632600;1780488;33729882;Lange Brilstraat 14-16;Lange Brilstraat;16;;;;Karel Verschueren;MDU;0;4;0;4;BUILDING template
ANTWERPEN-WEST - FH03;1101975;BL0006;;613093;1101975;33729875;Lange Brilstraat 2_Stadswaag 11;Stadswaag;11;;;;Karel Verschueren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH03;110254;BL0006;;613122;110254;33729875;Lange Brilstraat 2_Stadswaag 11;Lange Brilstraat;2;;;;Karel Verschueren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH03;1780491;;;632602;1780491;33729883;Lange Brilstraat 20-22;Lange Brilstraat;22;;;;Karel Verschueren;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH03;4027753;BL0006;;692387;4027753;33729883;Lange Brilstraat 20-22;Lange Brilstraat;20;;;;Karel Verschueren;MDU;0;2;0;2;BUILDING template
