Projectnummer;errors;Opdrachtnummer;Blok;Cluster_NR;Building_FID;LAM_MK;BG_Id;BG_Name;BG_Name_IFH;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;SSV_Date;Surveyor;Buildingtype;NR_BU;NR_LU;NR_SU;UNITS_TOTAL;LU;BU;SU;TOTAAL;Opdrachttemplate
KNOKKE-HEIST - FH04;BG Name diff;2768033;BL0411;1;25756770;2768033;;Zeedijk-Het Zoute 770-771;;Zeedijk-Het Zoute;770;;XA;25/06/2020 9:45;Hidde Kiekens;MDU;1;0;0;1;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH04;BG Name diff;2768035;BL0411;1;21158624;2768035;;Zeedijk-Het Zoute 770-771;;Zeedijk-Het Zoute;771;;XA;25/06/2020 9:40;Hidde Kiekens;MDU;0;7;1;8;8;0;1;9;BUILDING template
