Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH01;4903189;4903189;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;1;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406662;2406662;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;2;;;C;2019-05-09;Dieu Jocelin;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406664;2406664;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;3;;;C;2019-05-09;Dieu Jocelin;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406665;2406665;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;4;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406667;2406667;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;5;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406668;2406668;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;6;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;4186027;4186027;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;7;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;4903196;4903196;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;8;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406669;2406669;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;9;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406670;2406670;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;10;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406672;2406672;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;11;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406673;2406673;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;12;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406674;2406674;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;13;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406675;2406675;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;14;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;4903204;4903204;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;15;;;C;2019-05-09;Dieu Jocelin;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;4162140;4162140;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;16;;;C;2019-05-09;Dieu Jocelin;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406676;2406676;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;17;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2406677;2406677;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersplein;18;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2448148;2448148;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;1;;;C;2018-09-05;Geert Stockman;MDU;0;1;0;1;BUILDING template
HASSELT - FH01;2448151;2448151;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;3;;;C;2018-09-16;Geert Stockman;MDU;0;11;0;11;BUILDING template
HASSELT - FH01;707228;707228;7072280;Woutersplein 1-2-3-4-5-6-7-8-9-140-11-12-13-14-15-16-17-18_Woutersstraat 1-3-5-7-11-13-15;Woutersstraat;7;;;C;2017-11-16;;MDU;0;1;0;1;BUILDING template
