Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
EVERE - FH01;723892;BL0128;2;723892;;;Rue Paul Gauguin - Paul Gauguinstraat;24;;;;2019-12-20 08:00:46;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621722;BL0110;4;1621722;;;Rue Hugo Verriest - Hugo Verrieststraat;5;;;;2019-11-25 09:00:50;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5046524;BL0119;9;5046524;21301467;Kerkhof van Brussellaan 128-130;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;130;;20191120072941;XA;2019-08-27;Maayken Vanfleteren;MDU;0;13;1;14;BUILDING template
EVERE - FH01;723883;BL0128;2;723883;;;René Magrittestraat - Rue René Magritte;1;;;;2019-11-21 08:45:19;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621724;BL0110;4;1621724;;;Rue Hugo Verriest - Hugo Verrieststraat;7;;;;2019-11-22 07:45:21;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620997;BL0110;6;1620997;;;Rue du Maquis - Maquisstraat;38;;;;2019-11-04 09:15:24;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;584106;BL0126;2;584106;;Olympiadenlaan 10_Oud-Strijderslaan 135;Avenue des Anciens Combattants - Oud-Strijderslaan;135;;;C;;;MDU;1;0;3;4;BUILDING template
EVERE - FH01;5046525;BL0119;9;5046525;;;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;132;;;XA;2018-05-16;Jan Knegtel;MDU;0;12;1;13;BUILDING template
EVERE - FH01;723874;BL0128;2;723874;;;René Magrittestraat - Rue René Magritte;2;;;;2019-11-18 13:15:20;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621726;BL0110;4;1621726;;;Rue Hugo Verriest - Hugo Verrieststraat;9;;;D;2018-05-03 21:27:02;Raphael Use;MDU;0;2;0;2;BUILDING template
EVERE - FH01;1620998;BL0110;6;1620998;;;Rue du Maquis - Maquisstraat;40;;;;2019-11-04 08:40:13;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;4109321;BL0103;6;4109321;;;Chaussée de Louvain - Leuvensesteenweg;1022;;;;;;SDU;0;0;0;1;BUILDING template
EVERE - FH01;5046526;BL0119;9;5046526;;;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;134;;;A;2019-09-01;Maayken Vanfleteren;MDU;1;15;1;17;BUILDING template
EVERE - FH01;4108097;BL0128;2;4108097;;;René Magrittestraat - Rue René Magritte;3;;;;2019-11-21 08:45:22;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621728;BL0110;4;1621728;;;Rue Hugo Verriest - Hugo Verrieststraat;11;;;;2019-11-21 13:45:39;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;46319;BL0110;6;46319;;;Rue du Maquis - Maquisstraat;42;;;;2019-11-04 08:40:15;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
