Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH06;78243;BL0001;;78243;;Albrecht Rodenbachstraat 20_Zeven-Septemberlaan 13-15-17;Albrecht Rodenbachstraat;20;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH06;2448672;BL0001;;2448672;;Albrecht Rodenbachstraat 20_Zeven-Septemberlaan 13-15-17;Zeven-Septemberlaan;13;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH06;2448674;BL0001;;2448674;;Albrecht Rodenbachstraat 20_Zeven-Septemberlaan 13-15-17;Zeven-Septemberlaan;15;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH06;5962519;;;5962519;;Albrecht Rodenbachstraat 20_Zeven-Septemberlaan 13-15-17;Zeven-Septemberlaan;17;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH06;662321;BL0009;;662321;;Casterstraat 70-72_Sint-Katarinalaan 3;Casterstraat;70;;;;;Dieu Jocelin;MDU;0;43;0;43;BUILDING template
HASSELT - FH06;662323;BL0009;;662323;;Casterstraat 70-72_Sint-Katarinalaan 3;Casterstraat;72;;;;;Dieu Jocelin;MDU;1;0;0;1;BUILDING template
HASSELT - FH06;662332;BL0009;;662332;;Casterstraat 70-72_Sint-Katarinalaan 3;Sint-Katarinalaan;3;;;;;Dieu Jocelin;MDU;1;0;0;1;BUILDING template
HASSELT - FH06;5884925;BL0001;;5884925;;Casterstraat 77_Kunstlaan 1;Casterstraat;77;;;;;Dieu Jocelin;MDU;1;0;0;1;BUILDING template
HASSELT - FH06;4029706;BL0001;;4029706;;Casterstraat 77_Kunstlaan 1;Kunstlaan;1;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH06;1164596;BL0003;;1164596;;Helbeekplein 1-2;Helbeekplein;1;;;;;Dieu Jocelin;MDU;0;32;0;32;BUILDING template
