Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
KNOKKE-HEIST - FH11;2758681;BL1121;;2758681;;;Hendrik Consciencestraat;50;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762250;BL1126;;2762250;;;Kursaalstraat;44;;;;;Peter Van Leeuwen;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764792;BL1123;;2764792;;;Pannenstraat;110;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767421;BL1129;;2767421;;;Vredestraat;15;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336275;BL1137;;4336275;;;Marktstraat;35;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2763764;BL1108;;2763764;;;Nicolas Mengelaan;12;;;XA;2019-10-14 11:25:17;Ryan De Vries;MDU;0;6;0;6;BUILDING template
KNOKKE-HEIST - FH11;301783;BL1127;;301783;;;Hermans-Lybaertstraat;19;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2758683;BL1122;;2758683;;;Hendrik Consciencestraat;56;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762255;BL1126;;2762255;;;Kursaalstraat;54;;;D;2020-03-09 09:16:09;Maayken Vanfleteren;MDU;0;7;1;8;BUILDING template
KNOKKE-HEIST - FH11;2764795;BL1123;;2764795;;;Pannenstraat;112;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767424;BL1128;;2767424;;;Vredestraat;23;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336278;BL1137;;4336278;;;Marktstraat;45;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;301784;BL1105;;301784;;;Hermans-Lybaertstraat;3;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2758685;BL1122;;2758685;;;Hendrik Consciencestraat;58;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762257;BL1124;;2762257;;;Kursaalstraat;55;B;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764797;BL1123;;2764797;;;Pannenstraat;114;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767425;BL1133;;2767425;;;Vredestraat;24;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336284;BL1137;;4336284;;;Oud-Strijdersstraat;20;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2763768;BL1107;;2763768;;;Nicolas Mengelaan;17;;;XA;2019-10-14 12:45:20;Peter Cremers;MDU;1;9;0;10;BUILDING template
KNOKKE-HEIST - FH11;292516;BL1103;;292516;;Vlamingstraat 47-49;Vlamingstraat;49;;;XA;2020-02-18;Geert Stockman;MDU;0;13;1;14;BUILDING template
KNOKKE-HEIST - FH11;301786;BL1126;;301786;;;de Vrierestraat;13;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2758689;BL1122;;2758689;;;Hendrik Consciencestraat;64;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762259;BL1124;;2762259;;;Kursaalstraat;61;;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764798;BL1119;;2764798;;;Pannenstraat;115;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767429;BL1105;;2767429;;;de Vrierestraat;8;;;;2020-01-04 13:20:11;Maayken Vanfleteren;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336289;BL1137;;4336289;;;Bondgenotenlaan;14;;;D;2020-01-04 14:15:14;Hidde Kiekens;MDU;0;4;0;4;BUILDING template
KNOKKE-HEIST - FH11;292517;BL1103;;292517;;;Vlamingstraat;51;;;XA;2020-01-20 10:25:18;Geert Stockman;MDU;0;5;1;6;BUILDING template
KNOKKE-HEIST - FH11;301787;BL1105;;301787;;;de Vrierestraat;2;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2758690;BL1122;;2758690;;;Hendrik Consciencestraat;66;;;;2020-01-24 10:35:18;Hidde Kiekens;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762260;BL1136;;2762260;;;Kursaalstraat;66;;;D;2020-01-31 09:30:24;Maayken Vanfleteren;MDU;1;1;0;2;BUILDING template
KNOKKE-HEIST - FH11;2764800;BL1123;;2764800;;;Pannenstraat;116;;;D;2020-01-09 06:35:12;Geert Stockman;MDU;0;2;0;2;BUILDING template
KNOKKE-HEIST - FH11;2767431;BL1126;;2767431;;;de Vrierestraat;11;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
