Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
KNOKKE-HEIST - FH08;317284;BL0810;;31668026;317284;;Azalealaan 2_Meerlaan 139;Azalealaan;2;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH08;12834;BL0810;;31667779;12834;;Azalealaan 2_Meerlaan 139;Meerlaan;139;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH08;2759496;BL0819;;31667908;2759496;;Eeuwfeestlaan 42-44;Eeuwfeestlaan;42;;;;Geert Stockman;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH08;2759498;BL0819;;33593097;2759498;;Eeuwfeestlaan 42-44;Eeuwfeestlaan;44;;;;Geert Stockman;MDU;0;6;0;6;BUILDING template
KNOKKE-HEIST - FH08;5579360;BL0809;;31668198;5579360;;Elizabetlaan 206-208;Elizabetlaan;206;;;;Hidde Kiekens;MDU;0;7;1;8;BUILDING template
KNOKKE-HEIST - FH08;245254;BL0809;;33593103;245254;;Elizabetlaan 206-208;Elizabetlaan;208;;;;Hidde Kiekens;MDU;0;7;1;8;BUILDING template
KNOKKE-HEIST - FH08;317236;BL0806;;31668010;317236;;Elizabetlaan 209_Zeerobbenlaan 16;Zeerobbenlaan;16;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH08;317247;BL0806;;31668015;317247;;Elizabetlaan 209_Zeerobbenlaan 16;Elizabetlaan;209;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH08;12938;BL0807;;31667801;12938;;Elizabetlaan 219_Rozenlaan 12;Elizabetlaan;219;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH08;6399215;BL0807;;33593061;6399215;;Elizabetlaan 219_Rozenlaan 12;Rozenlaan;12;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
