Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate;TSA SIGNED;Meetstaat
EVERE - FH01;1621079;BL0126;2;967712;1621079;;;Avenue des Olympiades - Olympiadenlaan;2;;XA;2019-10-21;Jonathan Collignon;MDU;9;0;3;12;N;;BUILDING template;2020-05-25;Y
EVERE - FH01;5483807;BL0118;3;12495021;5483807;10563643;Leuvensesteenweg 913-913A-913B_Twee Huizenstraat 61-63;Chaussée de Louvain - Leuvensesteenweg;913;B;XC;2019-11-29 12:27:00;Jonathan Collignon;MDU;1;0;0;1;N;N;BUILDING template;2019-10-01;Y
EVERE - FH01;1620899;BL0118;3;12495001;1620899;10563643;Leuvensesteenweg 913-913A-913B_Twee Huizenstraat 61-63;Chaussée de Louvain - Leuvensesteenweg;913;A;XC;2020-06-30;Marouane Zoubir;MDU;0;11;2;13;N;Y;BUILDING template;2019-10-01;Y
EVERE - FH01;722653;BL0129;2;971147;722653;;;Avenue Jules Bordet - Jules Bordetlaan;70;;XA;2019-11-04;Marouane Zoubir;MDU;0;23;1;24;N;;BUILDING template;2020-03-29;Y
EVERE - FH01;5862169;BL0118;3;7462377;5862169;11976761;Willy Van Der Meerenstr 5-7-9-11-13;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;11;;XA;2020-07-01;Marouane Zoubir;MDU;0;11;2;13;N;Y;BUILDING template;2020-05-26 13:19;Y
EVERE - FH01;5866850;BL0118;3;7462378;5866850;11976761;Willy Van Der Meerenstr 5-7-9-11-13;Rue Willy Van Der Meeren - Willy Van Der Meerenstr;13;;XA;2019-10-30;Jonathan Collignon;MDU;0;10;2;12;N;N;BUILDING template;2020-05-26 13:19;Y
EVERE - FH01;1120077;BL0119;3;966852;1120077;;;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;106;;XA;2019-11-15;Jonathan Collignon;MDU;0;12;1;13;Y;;BUILDING template;2020-05-25;Y
EVERE - FH01;1623611;BL0129;2;5620863;1623611;;;Avenue Jules Bordet - Jules Bordetlaan;64;;XC;2018-05-16;Andreas Versteeven;MDU;0;8;1;9;Y;;BUILDING template;2020-03-31;Y
EVERE - FH01;726867;BL0115;8;971466;726867;;;Avenue des Désirs - Begeertenlaan;29;;XC;2020-07-07;Marouane Zoubir;MDU;1;0;1;2;N;;BUILDING template;2020-09-07;Y
EVERE - FH01;1620898;BL0118;3;5620853;1620898;10563643;Leuvensesteenweg 913-913A-913B_Twee Huizenstraat 61-63;Chaussée de Louvain - Leuvensesteenweg;913;;XC;2019-11-20;Jonathan Collignon;MDU;1;0;0;1;N;N;BUILDING template;2019-10-01;Y
EVERE - FH01;1120066;BL0119;3;966843;1120066;11447745;Franz Guillaumelaan 57-59-61-63-65;Avenue Franz Guillaume - Franz Guillaumelaan;57;;XA;2019-11-06;Jonathan Collignon;MDU;0;7;1;8;N;N;BUILDING template;2020-05-25;Y
