Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;LU;BU;SU;TOTAAL;Opdrachttemplate
HASSELT - FH06;BG Name diff;25182;BL0017;1;13396278;25182;;Harpstraat 2_Maastrichtersteenweg 153;;Harpstraat;2;;D;16/06/2020 11:05;Dieu Jocelin;MDU;0;2;0;2;2;0;0;2;BUILDING template
HASSELT - FH06;BG Name diff;666206;BL0017;1;400677;666206;;Harpstraat 2_Maastrichtersteenweg 153;;Maastrichtersteenweg;153;;D;16/06/2020 11:05;Dieu Jocelin;MDU;1;0;0;1;0;1;0;1;BUILDING template
HASSELT - FH06;BG Name diff;78331;BL0004;1;404455;78331;;Oude Luikerbaan 63A-65;;Oude Luikerbaan;65;;XC;22/06/2020 8:55;Dieu Jocelin;MDU;0;3;1;4;3;0;0;3;BUILDING template
HASSELT - FH06;;2426287;BL0004;1;387545;2426287;;Oude Luikerbaan 63A-65;;Oude Luikerbaan;63;A;XC;2020-06-22 08:25:09;Dieu Jocelin;MDU;1;2;1;4;;;;;
