Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
ANTWERPEN-WEST - FH03;1520877;BL0308;;619489;1520877;;;Kleine Kauwenberg;26;;D;2020-08-03 17:00:07;Andreas Versteeven;MDU;0;4;0;4;Y;;BUILDING template
ANTWERPEN-WEST - FH03;4033407;BL0308;;13492073;4033407;;;Kleine Kauwenberg;12;;;;Karel Verschueren;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH03;4267636;BL0308;;696795;4267636;;;Kleine Kauwenberg;34;;D;2020-08-03 17:00:09;Andreas Versteeven;MDU;0;2;0;2;Y;;BUILDING template
ANTWERPEN-WEST - FH03;4504914;BL0308;;13492075;4504914;;;Kleine Kauwenberg;8;;XC;2020-07-31 10:50:05;Andreas Versteeven;MDU;0;12;1;13;Y;;BUILDING template
ANTWERPEN-WEST - FH03;4504917;BL0308;;21122940;4504917;;;Kleine Kauwenberg;14;;;;;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH03;1960636;BL0308;;652254;1960636;37169141;Kleine Kauwenberg 42_Vekestraat 51;Kleine Kauwenberg;42;;D;2020-08-07 11:10:06;Andreas Versteeven;MDU;0;7;0;7;Y;;BUILDING template
ANTWERPEN-WEST - FH03;1960629;BL0308;;21122941;1960629;;;Kleine Kauwenberg;22;;;;;SDU;1;0;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH03;1960630;BL0308;;652248;1960630;;;Kleine Kauwenberg;24;;D;2020-08-04 10:35:16;Andreas Versteeven;MDU;0;4;0;4;Y;;BUILDING template
ANTWERPEN-WEST - FH03;1960632;BL0308;;652250;1960632;;;Kleine Kauwenberg;28;;D;2020-08-04 10:40:30;Andreas Versteeven;MDU;0;3;0;3;Y;;BUILDING template
ANTWERPEN-WEST - FH03;1960633;BL0308;;652251;1960633;;;Kleine Kauwenberg;30;;D;2020-08-04 10:45:11;Andreas Versteeven;MDU;0;2;0;2;Y;;BUILDING template
ANTWERPEN-WEST - FH03;1960634;BL0308;;652252;1960634;;;Kleine Kauwenberg;38;;;;;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH03;1960635;BL0308;;652253;1960635;;;Kleine Kauwenberg;40;;;;;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH03;1960628;BL0308;;13492054;1960628;;;Kleine Kauwenberg;4;;;;;MDU;0;3;0;3;Y;;BUILDING template
ANTWERPEN-WEST - FH03;109364;BL0309;;612853;109364;;;Kleine Kauwenberg;1;;D;2020-08-04 17:20:28;Andreas Versteeven;MDU;0;2;0;2;Y;;BUILDING template
ANTWERPEN-WEST - FH03;1960631;BL0309;;652249;1960631;;;Kleine Kauwenberg;27;;;;;SDU;1;0;0;1;Y;;BUILDING template
ANTWERPEN-WEST - FH03;4509095;BL0309;;38897681;4509095;;;Kleine Kauwenberg;7;;;;;MDU;0;8;0;8;N;;BUILDING template
ANTWERPEN-WEST - FH03;4509102;BL0309;;38897409;4509102;;;Kleine Kauwenberg;15;;;;;SDU;0;1;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH03;4509105;BL0309;;38897288;4509105;38897349;Kleine Kauwenberg 19-21;Kleine Kauwenberg;19;;;;;MDU;0;1;0;1;N;;BUILDING template
ANTWERPEN-WEST - FH03;4509106;BL0309;;38896999;4509106;38897349;Kleine Kauwenberg 19-21;Kleine Kauwenberg;21;;;;;MDU;0;1;0;1;N;;BUILDING template
