Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
MECHELEN - FH01;5904577;BL0102;1;5904577;;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;;Sint-Janstraat;8;B;;;;Kevin Dekens;MDU;0;5;1;6;BUILDING template
MECHELEN - FH01;5507055;BL0102;1;5507055;;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;;Sint-Janstraat;10;A;;;;Kevin Dekens;MDU;0;7;1;8;BUILDING template
MECHELEN - FH01;5530639;BL0102;1;5530639;;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;;Sint-Janstraat;8;D;;;;Kevin Dekens;MDU;0;5;1;6;BUILDING template
MECHELEN - FH01;5539175;BL0102;1;5539175;;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;;Sint-Janstraat;8;C;;;;Kevin Dekens;MDU;0;5;1;6;BUILDING template
MECHELEN - FH01;5900266;BL0102;1;5900266;;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;;Sint-Janstraat;8;A;;;;Kevin Dekens;MDU;0;5;1;6;BUILDING template
MECHELEN - FH01;901620;BL0102;1;901620;;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;;Sint-Janstraat;6;;;;;Kevin Dekens;MDU;0;3;0;3;BUILDING template
MECHELEN - FH01;5508105;BL0102;1;5508105;;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;;Sint-Janstraat;8;;;;;Kevin Dekens;MDU;0;26;1;27;BUILDING template
MECHELEN - FH01;5524627;BL0102;1;5524627;;Sint-Janstraat 6-8-8A-8B-8C-8D-10-10A;;Sint-Janstraat;10;;;;;Kevin Dekens;MDU;0;9;1;10;BUILDING template
