Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate;TSA SIGNED;Meetstaat
KNOKKE - FH01;4343326;BL0112;2;11217125;4343326;13685212;Alfred Verweeplein 13-14-15;Alfred Verweeplein;14;;A;2019-09-25;Peter Cremers;MDU;0;9;2;11;N;Y;BUILDING template;2020-09-08;Y
KNOKKE - FH01;4348071;BL0120;4;8502599;4348071;;;Paul Parmentierlaan;45;;C;2019-11-26;Peter Van Leeuwen;MDU;0;5;0;5;Y;;BUILDING template;2020-08-19 12:15;Y
KNOKKE - FH01;333260;BL0112;2;8502450;333260;13685212;Alfred Verweeplein 13-14-15;Alfred Verweeplein;13;;A;2019-09-25;Peter Cremers;MDU;1;0;0;1;N;N;BUILDING template;2020-09-08;Y
KNOKKE - FH01;4343327;BL0112;2;13684812;4343327;13685212;Alfred Verweeplein 13-14-15;Alfred Verweeplein;15;;A;2019-09-25;Peter Cremers;MDU;1;0;0;1;N;N;BUILDING template;2020-09-08;Y
KNOKKE - FH01;5713665;BL0122;3;8502620;5713665;;;Van Rysselberghestraat;1;;C;2019-12-10;olivier collignon;MDU;0;10;2;12;Y;;BUILDING template;2020-06-29;Y
KNOKKE - FH01;2765067;BL0120;4;8502277;2765067;;;Paul Parmentierlaan;61;;C;2019-12-02;Peter Van Leeuwen;MDU;0;4;1;5;Y;;BUILDING template;2020-10-06;Y
KNOKKE - FH01;2765077;BL0120;4;8502280;2765077;;;Paul Parmentierlaan;67;;C;2019-09-07;Geert Stockman;MDU;0;9;1;10;Y;;BUILDING template;2020-08-18 13:38;Y
KNOKKE - FH01;2765089;BL0124;3;8502287;2765089;;;Paul Parmentierlaan;76;;C;2019-09-07;Geert Stockman;MDU;0;5;1;6;Y;;BUILDING template;2020-08-18 13:39;Y
KNOKKE - FH01;2762626;BL0115;1;8502180;2762626;;;Victor Lamoralstraat;7;;C;2019-09-10;Geert Stockman;MDU;0;4;1;5;Y;;BUILDING template;2020-10-12;Y
KNOKKE - FH01;977638;BL0125;1;8502623;977638;;;Paul Parmentierlaan;104;;C;2019-11-03;Geert Stockman;MDU;0;4;2;6;N;;BUILDING template;2019-12-23;Y
KNOKKE - FH01;333278;BL0111;4;8502465;333278;;;Lippenslaan;34;;A;2020-06-10;Geert Stockman;MDU;2;10;1;13;N;;BUILDING template;2020-03-18;Y
KNOKKE - FH01;2765143;BL0123;3;8502301;2765143;;;Paul Parmentierlaan;127;;C;2019-09-24;Geert Stockman;MDU;0;5;1;6;Y;;BUILDING template;2020-09-14;Y
KNOKKE - FH01;4345694;BL0121;2;8502567;4345694;;;Lippenslaan;47;;A;2019-09-17;olivier collignon;MDU;1;10;2;13;N;;BUILDING template;2020-09-08;Y
KNOKKE - FH01;2765157;BL0123;3;8502304;2765157;;;Paul Parmentierlaan;135;;C;2019-11-15;Geert Stockman;MDU;0;10;1;11;Y;;BUILDING template;2020-09-08;Y
KNOKKE - FH01;2763029;BL0114;2;11217135;2763029;;;Lippenslaan;70;;A;2019-09-10;Geert Stockman;MDU;1;5;2;8;N;;BUILDING template;2020-10-12;Y
KNOKKE - FH01;2763034;BL0122;3;8502212;2763034;;;Lippenslaan;73;;A;2019-09-26;Ryan De Vries;MDU;1;6;2;9;N;;BUILDING template;2020-06-29;Y
KNOKKE - FH01;2763044;BL0122;3;8502215;2763044;;;Lippenslaan;79;;A;2019-09-26;Ryan De Vries;MDU;1;10;2;13;N;;BUILDING template;2020-06-29;Y
KNOKKE - FH01;2763049;BL0114;2;8502217;2763049;;;Lippenslaan;84;;A;2019-09-17;olivier collignon;MDU;0;10;2;12;N;;BUILDING template;2020-09-08;Y
KNOKKE - FH01;2763059;BL0114;2;8502219;2763059;;;Lippenslaan;90;;A;2019-08-19;Geert Stockman;MDU;0;10;1;11;N;;BUILDING template;2020-09-08;Y
KNOKKE - FH01;2763060;BL0122;3;8502220;2763060;;;Lippenslaan;91;;A;2019-08-06;Geert Stockman;MDU;0;10;1;11;N;;BUILDING template;2020-10-12;Y
KNOKKE - FH01;2758748;BL0115;1;8502102;2758748;;;Burg. Frans Desmidtplein;2;;A;2019-10-01;Ryan De Vries;MDU;1;6;1;8;N;;BUILDING template;2020-10-12;Y
KNOKKE - FH01;2758749;BL0115;1;8502103;2758749;;;Burg. Frans Desmidtplein;3;;A;2019-09-30;Geert Stockman;MDU;1;6;1;8;N;;BUILDING template;2020-09-08;Y
