Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;BG Name IFH;Actie;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH07;3928247;3928247;11382549;Korte ridderstraat 23-25;Korte ridderstraat 23-25;Toevoegen aan Buildinggroup 23-25;Korte Riddersstraat;23;;;;Olivier Collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2047293;2047293;11382549;Korte ridderstraat 23-25;Korte ridderstraat 23-25;Toevoegen aan Buildinggroup 23-25;Korte Riddersstraat;25;;;;Olivier Collignon;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2061334;2061334;11382499;Korte Vlierstraat 15-17;Korte Vlierstraat 15-17;Building Group Naam IFH wijzigen;Korte Vlierstraat;17;;;2019-10-21 11:15:26;Dave Ruelens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2061333;2061333;11382499;Korte Vlierstraat 15-17;Korte Vlierstraat 15-17;Building Group Naam IFH wijzigen;Korte Vlierstraat;15;;;2019-10-21 11:15:26;Dave Ruelens;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;3987038;3987038;11382523;Kronenburgstraat  24-26;Kronenburgstraat  24-26;Building Group Naam IFH wijzigen - Steffen QD maken;Kronenburgstraat;24;;D;2019-12-03 10:25:15;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;4516972;4516972;11382523;Kronenburgstraat  24-26;Kronenburgstraat  24-26;Building Group Naam IFH wijzigen - Steffen QD maken;Kronenburgstraat;26;;D;2019-12-03 10:25:15;Steffen Verhofsté;MDU;0;3;0;3;BUILDING template
ANTWERPEN-WEST - FH07;2047302;2047302;11382551;Lange Riddersstraat 11-13-15-17;Lange Riddersstraat 11-13-15-17;Building Group Naam IFH wijzigen;Lange Riddersstraat;11;;;;Olivier Collignon;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2047304;2047304;11382551;Lange Riddersstraat 11-13-15-17;Lange Riddersstraat 11-13-15-17;Building Group Naam IFH wijzigen;Lange Riddersstraat;17;;;;Olivier Collignon;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;4059803;4059803;11382551;Lange Riddersstraat 11-13-15-17;Lange Riddersstraat 11-13-15-17;Building Group Naam IFH wijzigen;Lange Riddersstraat;13;;;;Olivier Collignon;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;5394004;5394004;11382551;Lange Riddersstraat 11-13-15-17;Lange Riddersstraat 11-13-15-17;Building Group Naam IFH wijzigen;Lange Riddersstraat;15;;;;Olivier Collignon;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2061342;2061342;11382561;Lange vlierstraat 11-13;Lange vlierstraat 11-13;Building Group Naam IFH wijzigen - Steffen QD maken;Lange Vlierstraat;11;;D;2019-10-16 09:45:22;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;4506593;4506593;11382561;Lange vlierstraat 11-13;Lange vlierstraat 11-13;Building Group Naam IFH wijzigen - Steffen QD maken;Lange Vlierstraat;13;;D;2019-10-16 09:45:22;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2024986;2024986;11382581;Nationalestraat  4-10;;Building Group Naam IFH verwijderen;Nationalestraat;4;;A;2019-12-17 17:20:13;Peter Van Leeuwen;MDU;0;28;1;29;BUILDING template
ANTWERPEN-WEST - FH07;182832;182832;11382581;Nationalestraat  4-10;;Building Group Naam IFH verwijderen;Nationalestraat;10;;A;2019-12-17 16:35:14;Peter Van Leeuwen;MDU;0;12;1;13;BUILDING template
ANTWERPEN-WEST - FH07;182842;182842;11382520;Nationalestraat 12_Kammenstraat 11;Nationalestraat 12 - Kammenstraat 11;Building Group verwijderen;Kammenstraat;11;;D;2019-10-19 13:30:15;Peter Van Leeuwen;MDU;0;4;0;4;BUILDING template
ANTWERPEN-WEST - FH07;182836;182836;11382520;Nationalestraat 12_Kammenstraat 11;Nationalestraat 12 - Kammenstraat 11;Building Group verwijderen;Nationalestraat;12;;;;Emilie Vanfleteren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;61108;61108;11382575;Nationalestraat 28-32;Nationalestraat 28-32;Building Group Naam IFH wijzigen;Nationalestraat;28;;;;;MDU;6;0;0;6;BUILDING template
ANTWERPEN-WEST - FH07;1072862;1072862;11382575;Nationalestraat 28-32;Nationalestraat 28-32;Building Group Naam IFH wijzigen;Nationalestraat;32;;;;;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;6524083;6524083;11382484;Nationalestraat 38-40;Nationalestraat 38-40;Building Group Naam IFH wijzigen - Steffen QD maken;Nationalestraat;40;;D;2019-10-22 14:40:14;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;48927;48927;11382484;Nationalestraat 38-40;Nationalestraat 38-40;Building Group Naam IFH wijzigen - Steffen QD maken;Nationalestraat;38;;D;2019-10-22 14:40:14;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;60998;60998;11382527;Nationalestraat 64_Sint-Andriesstraat 44;Nationalestraat 64 - Sint-Andriesstraat 44;Building Group Naam IFH wijzigen - Steffen QD maken;Nationalestraat;64;;D;2019-10-22 14:40:14;Steffen Verhofsté;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;61010;61010;11382527;Nationalestraat 64_Sint-Andriesstraat 44;Nationalestraat 64 - Sint-Andriesstraat 44;Building Group Naam IFH wijzigen - Steffen QD maken;Sint-Andriesstraat;44;;D;2019-10-22 14:40:14;Steffen Verhofsté;MDU;0;4;0;4;BUILDING template
ANTWERPEN-WEST - FH07;2025189;2025189;11382528;Nationalestraat 66-68;Nationalestraat 66-68;Building Group Naam IFH wijzigen;Nationalestraat;66;;;;Olivier Collignon;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;60996;60996;11382528;Nationalestraat 66-68;Nationalestraat 66-68;Building Group Naam IFH wijzigen;Nationalestraat;68;;XA;2019-10-22 15:15:19;Ryan De Vries;MDU;0;16;2;18;BUILDING template
ANTWERPEN-WEST - FH07;1873270;1873270;11382486;Nationalestraat 76-78_Franckenstraat 23;Nationalestraat 76 + 78 - Franckenstraat 23;Building Group verwijderen;Franckenstraat;23;;D;2019-10-22 14:05:21;Peter Cremers;MDU;0;8;0;8;BUILDING template
